Interval_no,Peaks_Index, Peaks_value 
1, Rpeaks[0], 14 
1, Rpeaks[1], 52,stepDiff = 38 
1, Rpeaks[2], 87,stepDiff = 35 
1, Rpeaks[3], 125,stepDiff = 38 
1, Rpeaks[4], 161,stepDiff = 36 
1, Rpeaks[5], 196,stepDiff = 35 
1, Rpeaks[6], 232,stepDiff = 36 
1, Rpeaks[7], 266,stepDiff = 34 
1, Rpeaks[8], 302,stepDiff = 36 
1, Rpeaks[9], 339,stepDiff = 37 
1, Rpeaks[10], 375,stepDiff = 36 
1, Rpeaks[11], 411,stepDiff = 36 
1, Rpeaks[12], 448,stepDiff = 37 
1, Rpeaks[13], 484,stepDiff = 36 
1, Rpeaks[14], 519,stepDiff = 35 
1, Rpeaks[15], 555,stepDiff = 36 
1, Rpeaks[16], 590,stepDiff = 35 
1, Rpeaks[17], 628,stepDiff = 38 
1, Rpeaks[18], 665,stepDiff = 37 
1, Rpeaks[19], 701,stepDiff = 36 
1, Rpeaks[20], 737,stepDiff = 36 
1, Rpeaks[21], 775,stepDiff = 38 
1, Rpeaks[22], 810,stepDiff = 35 
1, Rpeaks[23], 845,stepDiff = 35 
1, Rpeaks[24], 883,stepDiff = 38 
1, Rpeaks[25], 919,stepDiff = 36 
1, Rpeaks[26], 956,stepDiff = 37 
1, Rpeaks[27], 990,stepDiff = 34 
1, Rpeaks[28], 1026,stepDiff = 36 
1, Rpeaks[29], 1063,stepDiff = 37 
1, Rpeaks[30], 1100,stepDiff = 37 
1, Rpeaks[31], 1136,stepDiff = 36 
1, Rpeaks[32], 1172,stepDiff = 36 
1, Rpeaks[33], 1209,stepDiff = 37 
1, Rpeaks[34], 1245,stepDiff = 36 
1, Rpeaks[35], 1280,stepDiff = 35 
1, Rpeaks[36], 1318,stepDiff = 38 
1, Rpeaks[37], 1354,stepDiff = 36 
1, Rpeaks[38], 1391,stepDiff = 37 
1, Rpeaks[39], 1426,stepDiff = 35 
1, Rpeaks[40], 1462,stepDiff = 36 
1, Rpeaks[41], 1498,stepDiff = 36 
1, Rpeaks[42], 1535,stepDiff = 37 
1, Rpeaks[43], 1568,stepDiff = 33 
1, Rpeaks[44], 1604,stepDiff = 36 
1, Rpeaks[45], 1641,stepDiff = 37 
1, Rpeaks[46], 1678,stepDiff = 37 
1, Rpeaks[47], 1713,stepDiff = 35 
1, Rpeaks[48], 1749,stepDiff = 36 
1, Rpeaks[49], 1784,stepDiff = 35 
1, Rpeaks[50], 1819,stepDiff = 35 
1, Rpeaks[51], 1855,stepDiff = 36 
1, Rpeaks[52], 1891,stepDiff = 36 
1, Rpeaks[53], 1926,stepDiff = 35 
1, Rpeaks[54], 1961,stepDiff = 35 
1, Rpeaks[55], 1996,stepDiff = 35 
1, Rpeaks[56], 2033,stepDiff = 37 
1, Rpeaks[57], 2069,stepDiff = 36 
1, Rpeaks[58], 2104,stepDiff = 35 
1, Rpeaks[59], 2140,stepDiff = 36 
1, Rpeaks[60], 2176,stepDiff = 36 
1, Rpeaks[61], 2210,stepDiff = 34 
1, Rpeaks[62], 2246,stepDiff = 36 
1, Rpeaks[63], 2283,stepDiff = 37 
1, Rpeaks[64], 2318,stepDiff = 35 
1, Rpeaks[65], 2351,stepDiff = 33 
1, Rpeaks[66], 2388,stepDiff = 37 
1, Rpeaks[67], 2424,stepDiff = 36 
1, Rpeaks[68], 2461,stepDiff = 37 
1, Rpeaks[69], 2494,stepDiff = 33 
1, Rpeaks[70], 2529,stepDiff = 35 
1, Rpeaks[71], 2565,stepDiff = 36 
1, Rpeaks[72], 2603,stepDiff = 38 
1, Rpeaks[73], 2637,stepDiff = 34 
1, Rpeaks[74], 2675,stepDiff = 38 
1, Rpeaks[75], 2711,stepDiff = 36 
1, Rpeaks[76], 2748,stepDiff = 37 
1, Rpeaks[77], 2781,stepDiff = 33 
1, Rpeaks[78], 2819,stepDiff = 38 
1, Rpeaks[79], 2855,stepDiff = 36 
1, Rpeaks[80], 2891,stepDiff = 36 
1, Rpeaks[81], 2926,stepDiff = 35 
1, Rpeaks[82], 2962,stepDiff = 36 
1, Rpeaks[83], 2997,stepDiff = 35 
2, Rpeaks[0], 62 
2, Rpeaks[1], 122,stepDiff = 60 
2, Rpeaks[2], 182,stepDiff = 60 
2, Rpeaks[3], 244,stepDiff = 62 
2, Rpeaks[4], 304,stepDiff = 60 
2, Rpeaks[5], 365,stepDiff = 61 
2, Rpeaks[6], 426,stepDiff = 61 
2, Rpeaks[7], 485,stepDiff = 59 
2, Rpeaks[8], 543,stepDiff = 58 
2, Rpeaks[9], 603,stepDiff = 60 
2, Rpeaks[10], 662,stepDiff = 59 
2, Rpeaks[11], 719,stepDiff = 57 
2, Rpeaks[12], 780,stepDiff = 61 
2, Rpeaks[13], 839,stepDiff = 59 
2, Rpeaks[14], 898,stepDiff = 59 
2, Rpeaks[15], 957,stepDiff = 59 
2, Rpeaks[16], 1017,stepDiff = 60 
2, Rpeaks[17], 1078,stepDiff = 61 
2, Rpeaks[18], 1139,stepDiff = 61 
2, Rpeaks[19], 1199,stepDiff = 60 
2, Rpeaks[20], 1260,stepDiff = 61 
2, Rpeaks[21], 1320,stepDiff = 60 
2, Rpeaks[22], 1378,stepDiff = 58 
2, Rpeaks[23], 1437,stepDiff = 59 
2, Rpeaks[24], 1496,stepDiff = 59 
2, Rpeaks[25], 1558,stepDiff = 62 
2, Rpeaks[26], 1619,stepDiff = 61 
2, Rpeaks[27], 1680,stepDiff = 61 
2, Rpeaks[28], 1738,stepDiff = 58 
2, Rpeaks[29], 1800,stepDiff = 62 
2, Rpeaks[30], 1861,stepDiff = 61 
2, Rpeaks[31], 1919,stepDiff = 58 
2, Rpeaks[32], 1979,stepDiff = 60 
2, Rpeaks[33], 2037,stepDiff = 58 
2, Rpeaks[34], 2099,stepDiff = 62 
2, Rpeaks[35], 2161,stepDiff = 62 
2, Rpeaks[36], 2221,stepDiff = 60 
2, Rpeaks[37], 2283,stepDiff = 62 
2, Rpeaks[38], 2344,stepDiff = 61 
2, Rpeaks[39], 2405,stepDiff = 61 
2, Rpeaks[40], 2466,stepDiff = 61 
2, Rpeaks[41], 2527,stepDiff = 61 
2, Rpeaks[42], 2583,stepDiff = 56 
