"x","y","z","interval_no","pause/unpause","data_sample_no","packet_no","App_Interval_no","RunType"
6.519043,4.645996,0.20996094,1,0,1,1,1,4
6.4194336,-0.09716797,2.6542969,1,0,2,1,1,4
3.725586,-3.3710938,2.3520508,1,0,3,1,1,4
4.6279297,-4.53125,0.5546875,1,0,4,1,1,4
3.8789062,-3.2524414,1.4677734,1,0,5,1,1,4
3.993164,-1.5185547,1.4780273,1,0,6,1,1,4
4.2436523,-0.013671875,1.4677734,1,0,7,1,1,4
4.5405273,0.62646484,1.3115234,1,0,8,1,1,4
4.8828125,1.1142578,0.7397461,1,0,9,1,1,4
4.692871,1.3442383,0.46044922,1,0,10,1,1,4
3.993164,0.8691406,0.8461914,1,0,11,1,1,4
3.409668,0.48779297,0.890625,1,0,12,1,1,4
3.3759766,0.19189453,0.6767578,1,0,13,1,1,4
3.0424805,-0.022460938,0.9223633,1,0,14,1,1,4
2.4189453,0.021972656,1.0834961,1,0,15,1,1,4
1.9526367,-0.03466797,1.347168,1,0,16,1,1,4
1.4140625,-0.3227539,1.4521484,1,0,17,1,1,4
0.8232422,-0.39648438,1.1523438,1,0,18,1,1,4
0.4169922,-0.21484375,1.0380859,1,0,19,2,1,4
0.20263672,0.009277344,1.4194336,1,0,20,2,1,4
0.080078125,0.26367188,1.6601562,1,0,21,2,1,4
-0.28857422,1.1010742,2.1538086,1,0,22,2,1,4
-0.7114258,1.390625,2.3271484,1,0,23,2,1,4
-1.2685547,1.21875,2.2451172,1,0,24,2,1,4
-1.4492188,0.91308594,1.8554688,1,0,25,2,1,4
-1.2519531,0.36279297,1.6884766,1,0,26,2,1,4
-0.93115234,-0.20019531,1.4794922,1,0,27,2,1,4
-0.6088867,-0.6254883,1.1079102,1,0,28,2,1,4
-0.22802734,-0.92333984,0.6323242,1,0,29,2,1,4
0.27490234,-0.9970703,0.5253906,1,0,30,2,1,4
0.6279297,-1.0336914,0.5991211,1,0,31,2,1,4
1.0551758,-1.0473633,1.0249023,1,0,32,2,1,4
1.8227539,-0.7895508,4.2333984,1,0,33,2,1,4
2.1240234,-0.5175781,3.5449219,1,0,34,2,1,4
4.5805664,-0.8017578,1.800293,1,0,35,2,1,4
6.701172,-1.6738281,1.3334961,1,0,36,2,1,4
4.9902344,0.80126953,2.3598633,1,0,37,3,1,4
4.165039,1.9819336,1.9672852,1,0,38,3,1,4
4.544922,3.190918,1.1367188,1,0,39,3,1,4
4.4960938,3.0507812,0.76660156,1,0,40,3,1,4
4.0908203,2.1220703,1.3618164,1,0,41,3,1,4
3.887207,1.3227539,1.2226562,1,0,42,3,1,4
4.3237305,0.87353516,1.0708008,1,0,43,3,1,4
4.647461,0.08544922,0.8354492,1,0,44,3,1,4
4.4526367,-0.7548828,0.57910156,1,0,45,3,1,4
3.7763672,-0.8105469,0.9584961,1,0,46,3,1,4
3.1259766,-0.57421875,0.81640625,1,0,47,3,1,4
2.8330078,-0.46044922,0.73583984,1,0,48,3,1,4
2.4453125,-0.21777344,1.03125,1,0,49,3,1,4
1.9716797,0.03564453,1.2451172,1,0,50,3,1,4
1.6787109,0.3852539,1.5219727,1,0,51,3,1,4
1.3828125,1.1142578,1.4428711,1,0,52,3,1,4
0.8876953,1.2060547,1.7216797,1,0,53,3,1,4
0.27685547,0.7084961,1.5561523,1,0,54,3,1,4
-0.032714844,-0.10205078,1.7871094,1,0,55,4,1,4
-0.38232422,-0.90283203,2.2573242,1,0,56,4,1,4
-0.5258789,-1.4326172,1.9047852,1,0,57,4,1,4
-0.7402344,-1.2329102,1.5878906,1,0,58,4,1,4
-0.7714844,-0.5180664,1.7299805,1,0,59,4,1,4
-0.6826172,0.061035156,1.8525391,1,0,60,4,1,4
-0.765625,0.328125,1.5917969,1,0,61,4,1,4
-0.9296875,0.33203125,1.0673828,1,0,62,4,1,4
-0.85839844,0.26904297,0.7573242,1,0,63,4,1,4
-0.41796875,0.26123047,0.7817383,1,0,64,4,1,4
