Interval_no,Peaks_Index, Peaks_value 
1, Rpeaks[0], 6 
1, Rpeaks[1], 40,stepDiff = 34 
1, Rpeaks[2], 72,stepDiff = 32 
1, Rpeaks[3], 105,stepDiff = 33 
1, Rpeaks[4], 138,stepDiff = 33 
1, Rpeaks[5], 170,stepDiff = 32 
1, Rpeaks[6], 202,stepDiff = 32 
1, Rpeaks[7], 236,stepDiff = 34 
1, Rpeaks[8], 268,stepDiff = 32 
1, Rpeaks[9], 301,stepDiff = 33 
1, Rpeaks[10], 333,stepDiff = 32 
1, Rpeaks[11], 364,stepDiff = 31 
1, Rpeaks[12], 397,stepDiff = 33 
1, Rpeaks[13], 428,stepDiff = 31 
1, Rpeaks[14], 458,stepDiff = 30 
1, Rpeaks[15], 490,stepDiff = 32 
1, Rpeaks[16], 523,stepDiff = 33 
1, Rpeaks[17], 554,stepDiff = 31 
1, Rpeaks[18], 587,stepDiff = 33 
1, Rpeaks[19], 618,stepDiff = 31 
1, Rpeaks[20], 651,stepDiff = 33 
1, Rpeaks[21], 683,stepDiff = 32 
1, Rpeaks[22], 715,stepDiff = 32 
1, Rpeaks[23], 743,stepDiff = 28 
1, Rpeaks[24], 772,stepDiff = 29 
1, Rpeaks[25], 799,stepDiff = 27 
1, Rpeaks[26], 822,stepDiff = 23 
1, Rpeaks[27], 855,stepDiff = 33 
1, Rpeaks[28], 895,stepDiff = 40 
1, Rpeaks[29], 930,stepDiff = 35 
1, Rpeaks[30], 964,stepDiff = 34 
1, Rpeaks[31], 997,stepDiff = 33 
1, Rpeaks[32], 1031,stepDiff = 34 
1, Rpeaks[33], 1062,stepDiff = 31 
1, Rpeaks[34], 1097,stepDiff = 35 
1, Rpeaks[35], 1132,stepDiff = 35 
1, Rpeaks[36], 1168,stepDiff = 36 
1, Rpeaks[37], 1202,stepDiff = 34 
1, Rpeaks[38], 1235,stepDiff = 33 
1, Rpeaks[39], 1267,stepDiff = 32 
1, Rpeaks[40], 1297,stepDiff = 30 
1, Rpeaks[41], 1328,stepDiff = 31 
1, Rpeaks[42], 1359,stepDiff = 31 
1, Rpeaks[43], 1388,stepDiff = 29 
1, Rpeaks[44], 1418,stepDiff = 30 
1, Rpeaks[45], 1450,stepDiff = 32 
1, Rpeaks[46], 1481,stepDiff = 31 
1, Rpeaks[47], 1513,stepDiff = 32 
1, Rpeaks[48], 1544,stepDiff = 31 
1, Rpeaks[49], 1575,stepDiff = 31 
1, Rpeaks[50], 1606,stepDiff = 31 
1, Rpeaks[51], 1637,stepDiff = 31 
1, Rpeaks[52], 1668,stepDiff = 31 
1, Rpeaks[53], 1699,stepDiff = 31 
1, Rpeaks[54], 1728,stepDiff = 29 
1, Rpeaks[55], 1760,stepDiff = 32 
1, Rpeaks[56], 1789,stepDiff = 29 
1, Rpeaks[57], 1820,stepDiff = 31 
1, Rpeaks[58], 1851,stepDiff = 31 
1, Rpeaks[59], 1881,stepDiff = 30 
1, Rpeaks[60], 1912,stepDiff = 31 
1, Rpeaks[61], 1944,stepDiff = 32 
1, Rpeaks[62], 1977,stepDiff = 33 
1, Rpeaks[63], 2008,stepDiff = 31 
1, Rpeaks[64], 2040,stepDiff = 32 
1, Rpeaks[65], 2072,stepDiff = 32 
1, Rpeaks[66], 2105,stepDiff = 33 
1, Rpeaks[67], 2136,stepDiff = 31 
1, Rpeaks[68], 2167,stepDiff = 31 
1, Rpeaks[69], 2199,stepDiff = 32 
1, Rpeaks[70], 2231,stepDiff = 32 
1, Rpeaks[71], 2259,stepDiff = 28 
1, Rpeaks[72], 2291,stepDiff = 32 
1, Rpeaks[73], 2323,stepDiff = 32 
1, Rpeaks[74], 2355,stepDiff = 32 
1, Rpeaks[75], 2385,stepDiff = 30 
1, Rpeaks[76], 2415,stepDiff = 30 
1, Rpeaks[77], 2448,stepDiff = 33 
1, Rpeaks[78], 2479,stepDiff = 31 
1, Rpeaks[79], 2511,stepDiff = 32 
1, Rpeaks[80], 2546,stepDiff = 35 
1, Rpeaks[81], 2578,stepDiff = 32 
1, Rpeaks[82], 2614,stepDiff = 36 
1, Rpeaks[83], 2647,stepDiff = 33 
1, Rpeaks[84], 2678,stepDiff = 31 
1, Rpeaks[85], 2710,stepDiff = 32 
1, Rpeaks[86], 2746,stepDiff = 36 
1, Rpeaks[87], 2782,stepDiff = 36 
1, Rpeaks[88], 2821,stepDiff = 39 
1, Rpeaks[89], 2857,stepDiff = 36 
