"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",49,"left"
1,"peaks[1]",84,"right"
1,"peaks[2]",119,"left"
1,"peaks[3]",155,"right"
1,"peaks[4]",190,"left"
1,"peaks[5]",225,"right"
1,"peaks[6]",259,"left"
1,"peaks[7]",294,"right"
1,"peaks[8]",329,"left"
1,"peaks[9]",364,"right"
1,"peaks[10]",398,"left"
1,"peaks[11]",435,"right"
1,"peaks[12]",469,"left"
1,"peaks[13]",505,"right"
1,"peaks[14]",539,"left"
1,"peaks[15]",575,"right"
1,"peaks[16]",610,"left"
1,"peaks[17]",646,"right"
1,"peaks[18]",680,"left"
1,"peaks[19]",716,"right"
1,"peaks[20]",750,"left"
1,"peaks[21]",786,"right"
1,"peaks[22]",821,"left"
1,"peaks[23]",857,"right"
1,"peaks[24]",891,"left"
1,"peaks[25]",926,"right"
1,"peaks[26]",961,"left"
1,"peaks[27]",998,"right"
1,"peaks[28]",1033,"left"
1,"peaks[29]",1068,"right"
1,"peaks[30]",1102,"left"
1,"peaks[31]",1138,"right"
1,"peaks[32]",1173,"left"
1,"peaks[33]",1209,"right"
1,"peaks[34]",1244,"left"
1,"peaks[35]",1279,"right"
1,"peaks[36]",1314,"left"
1,"peaks[37]",1349,"right"
1,"peaks[38]",1384,"left"
1,"peaks[39]",1420,"right"
1,"peaks[40]",1454,"left"
1,"peaks[41]",1490,"right"
1,"peaks[42]",1525,"left"
1,"peaks[43]",1561,"right"
1,"peaks[44]",1595,"left"
1,"peaks[45]",1630,"right"
1,"peaks[46]",1665,"left"
1,"peaks[47]",1701,"right"
1,"peaks[48]",1735,"left"
1,"peaks[49]",1772,"right"
1,"peaks[50]",1805,"left"
1,"peaks[51]",1840,"right"
1,"peaks[52]",1876,"left"
1,"peaks[53]",1911,"right"
1,"peaks[54]",1947,"left"
1,"peaks[55]",1982,"right"
1,"peaks[56]",2017,"left"
1,"peaks[57]",2052,"right"
1,"peaks[58]",2087,"left"
1,"peaks[59]",2123,"right"
1,"peaks[60]",2158,"left"
1,"peaks[61]",2193,"right"
1,"peaks[62]",2228,"left"
1,"peaks[63]",2265,"right"
1,"peaks[64]",2299,"left"
1,"peaks[65]",2335,"right"
1,"peaks[66]",2369,"left"
1,"peaks[67]",2406,"right"
1,"peaks[68]",2440,"left"
1,"peaks[69]",2475,"right"
1,"peaks[70]",2510,"left"
1,"peaks[71]",2546,"right"
1,"peaks[72]",2581,"left"
1,"peaks[73]",2616,"right"
1,"peaks[74]",2651,"left"
1,"peaks[75]",2686,"right"
1,"peaks[76]",2721,"left"
1,"peaks[77]",2757,"right"
1,"peaks[78]",2791,"left"
1,"peaks[79]",2828,"right"
1,"peaks[80]",2863,"left"
1,"peaks[81]",2899,"right"
1,"peaks[82]",2933,"left"
1,"peaks[83]",2969,"right"
