"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",68,"right"
1,"peaks[1]",105,"left"
1,"peaks[2]",143,"right"
1,"peaks[3]",181,"left"
1,"peaks[4]",219,"right"
1,"peaks[5]",258,"left"
1,"peaks[6]",296,"right"
1,"peaks[7]",334,"left"
1,"peaks[8]",372,"right"
1,"peaks[9]",410,"left"
1,"peaks[10]",448,"right"
1,"peaks[11]",486,"left"
1,"peaks[12]",524,"right"
1,"peaks[13]",562,"left"
1,"peaks[14]",600,"right"
1,"peaks[15]",637,"left"
1,"peaks[16]",676,"right"
1,"peaks[17]",715,"left"
1,"peaks[18]",752,"right"
1,"peaks[19]",789,"left"
1,"peaks[20]",827,"right"
1,"peaks[21]",866,"left"
1,"peaks[22]",904,"right"
1,"peaks[23]",940,"left"
1,"peaks[24]",978,"right"
1,"peaks[25]",1016,"left"
1,"peaks[26]",1055,"right"
1,"peaks[27]",1092,"left"
1,"peaks[28]",1131,"right"
1,"peaks[29]",1168,"left"
1,"peaks[30]",1205,"right"
1,"peaks[31]",1244,"left"
1,"peaks[32]",1283,"right"
1,"peaks[33]",1320,"left"
1,"peaks[34]",1358,"right"
1,"peaks[35]",1397,"left"
1,"peaks[36]",1436,"right"
1,"peaks[37]",1475,"left"
1,"peaks[38]",1513,"right"
1,"peaks[39]",1551,"left"
1,"peaks[40]",1589,"right"
1,"peaks[41]",1627,"left"
1,"peaks[42]",1665,"right"
1,"peaks[43]",1703,"left"
1,"peaks[44]",1742,"right"
1,"peaks[45]",1780,"left"
1,"peaks[46]",1818,"right"
1,"peaks[47]",1856,"left"
1,"peaks[48]",1892,"right"
1,"peaks[49]",1930,"left"
1,"peaks[50]",1967,"right"
1,"peaks[51]",2005,"left"
1,"peaks[52]",2043,"right"
1,"peaks[53]",2080,"left"
1,"peaks[54]",2118,"right"
1,"peaks[55]",2156,"left"
1,"peaks[56]",2193,"right"
1,"peaks[57]",2230,"left"
1,"peaks[58]",2269,"right"
1,"peaks[59]",2307,"left"
1,"peaks[60]",2346,"right"
1,"peaks[61]",2383,"left"
1,"peaks[62]",2421,"right"
1,"peaks[63]",2458,"left"
1,"peaks[64]",2496,"right"
1,"peaks[65]",2535,"left"
1,"peaks[66]",2573,"right"
1,"peaks[67]",2610,"left"
1,"peaks[68]",2648,"right"
1,"peaks[69]",2685,"left"
1,"peaks[70]",2724,"right"
1,"peaks[71]",2762,"left"
1,"peaks[72]",2799,"right"
1,"peaks[73]",2835,"left"
1,"peaks[74]",2872,"right"
1,"peaks[75]",2909,"left"
1,"peaks[76]",2947,"right"
