"x","y","z","interval_no","runtype","packet_no"
5.4282227,-0.84521484,3.3671875,1,4,1
4.1992188,-2.324707,3.1552734,1,4,2
4.6938477,-2.3232422,3.081543,1,4,3
4.3793945,-1.1040039,3.3061523,1,4,4
3.6064453,-0.4794922,2.5722656,1,4,5
3.034668,-0.07910156,2.4082031,1,4,6
2.4736328,0.44482422,2.175293,1,4,7
2.1362305,0.8857422,1.9448242,1,4,8
3.4873047,0.45703125,1.8535156,1,4,9
4.440918,0.28076172,1.9262695,1,4,10
4.9990234,-0.09472656,1.9418945,1,4,11
4.362793,0.08105469,1.8574219,1,4,12
3.625,0.29785156,2.1030273,1,4,13
3.0771484,0.22802734,1.8466797,1,4,14
2.5639648,0.24316406,2.,1,4,15
1.9555664,-0.34716797,1.847168,1,4,16
1.2583008,-0.4013672,1.4047852,1,4,17
0.66796875,-0.32373047,1.1064453,1,4,18
0.091796875,-0.029296875,0.9536133,1,4,19
-0.49804688,0.28320312,1.1147461,1,4,20
-0.78515625,0.41210938,1.3305664,1,4,21
-0.9501953,0.4189453,1.3168945,1,4,22
-1.3100586,0.18798828,1.472168,1,4,23
-1.5136719,-0.0034179688,1.5917969,1,4,24
-1.5610352,-0.29003906,1.3613281,1,4,25
-1.2998047,-0.6582031,1.0102539,1,4,26
-0.8930664,-0.8564453,0.9033203,1,4,27
-0.37451172,-1.0332031,0.79589844,1,4,28
0.2529297,-1.0810547,0.7397461,1,4,29
0.8847656,-0.8828125,0.83984375,1,4,30
1.2602539,-0.45263672,1.9360352,1,4,31
1.2485352,0.35986328,4.730957,1,4,32
0.96484375,0.78125,4.6933594,1,4,33
1.4936523,-0.88916016,2.8388672,1,4,34
4.2001953,-3.6411133,1.1201172,1,4,35
6.2680664,1.4287109,3.2460938,1,4,36
4.1098633,3.4311523,3.399414,1,4,37
4.1435547,4.0004883,2.4580078,1,4,38
4.820801,4.015625,2.7695312,1,4,39
4.036621,2.1030273,2.5917969,1,4,40
3.3989258,0.81396484,2.2026367,1,4,41
2.7646484,-0.23486328,2.0253906,1,4,42
3.1225586,-0.7084961,1.7939453,1,4,43
3.880371,-0.875,1.6635742,1,4,44
4.748535,-0.3935547,1.8549805,1,4,45
5.273926,0.33544922,1.9863281,1,4,46
4.4257812,0.46923828,1.7441406,1,4,47
4.0776367,0.84472656,1.9262695,1,4,48
3.6000977,1.2026367,1.6567383,1,4,49
2.765625,1.4321289,1.5400391,1,4,50
1.8051758,1.300293,1.4077148,1,4,51
0.88720703,1.0454102,1.0693359,1,4,52
0.26660156,0.41064453,1.3413086,1,4,53
-0.171875,-0.1538086,1.2773438,1,4,54
-0.9633789,-0.6225586,1.2607422,1,4,55
