"x","y","z","interval_no","runtype","packet_no"
-1.4462891,0.31591797,0.58447266,1,4,1
-1.6679688,0.4086914,0.85302734,1,4,2
-1.4711914,0.32617188,0.671875,1,4,3
-1.0019531,-0.31347656,0.7963867,1,4,4
-0.58691406,-1.222168,1.84375,1,4,5
-0.3178711,-1.6040039,2.975586,1,4,6
0.31445312,-1.2646484,3.442871,1,4,7
1.4438477,1.8862305,4.666992,1,4,8
2.5722656,2.53125,2.4926758,1,4,9
4.260742,0.43017578,2.0585938,1,4,10
4.773926,-1.5375977,2.4282227,1,4,11
5.7060547,-1.8754883,4.571289,1,4,12
6.7563477,-3.0166016,4.147461,1,4,13
4.7529297,-1.8779297,3.5126953,1,4,14
3.286621,-0.040039062,2.5703125,1,4,15
3.4248047,0.31103516,2.387207,1,4,16
3.9375,0.40429688,2.6142578,1,4,17
3.8129883,0.4897461,2.2763672,1,4,18
2.7426758,0.60302734,1.9521484,1,4,19
3.6484375,0.56884766,1.9511719,1,4,20
3.5986328,0.41552734,2.090332,1,4,21
3.7177734,0.13867188,1.9692383,1,4,22
3.7436523,-0.15283203,1.640625,1,4,23
3.7539062,-0.35107422,1.987793,1,4,24
3.4013672,-0.25195312,1.8857422,1,4,25
3.0527344,-0.0146484375,1.6479492,1,4,26
2.6655273,-0.024902344,1.534668,1,4,27
2.5444336,-0.075683594,1.6577148,1,4,28
2.3354492,-0.32373047,1.7651367,1,4,29
2.0004883,-0.4741211,1.4995117,1,4,30
1.4672852,-0.45507812,1.1503906,1,4,31
0.80615234,-0.7294922,0.984375,1,4,32
0.09814453,-0.7368164,1.1655273,1,4,33
-0.33154297,-0.72314453,1.152832,1,4,34
-0.54003906,-0.85009766,0.90478516,1,4,35
-0.7446289,-0.8076172,0.57714844,1,4,36
-1.6054688,-0.4111328,0.24072266,1,4,37
-1.9619141,-0.12988281,0.20263672,1,4,38
-1.7885742,-0.064941406,-0.14160156,1,4,39
-1.7504883,-0.06201172,0.18017578,1,4,40
-1.6430664,0.38183594,0.84765625,1,4,41
-0.81640625,0.97021484,1.3125,1,4,42
-0.29736328,1.3706055,1.5112305,1,4,43
-0.024902344,1.421875,1.9042969,1,4,44
-0.104003906,1.7685547,2.5966797,1,4,45
-0.14355469,-0.34033203,3.8046875,1,4,46
1.1079102,-1.8120117,3.8808594,1,4,47
2.4204102,-2.015625,2.2802734,1,4,48
5.128418,-0.3881836,2.397461,1,4,49
6.352051,-0.20605469,4.1972656,1,4,50
8.978516,0.97509766,5.2177734,1,4,51
6.5161133,1.4174805,3.1889648,1,4,52
3.4399414,0.4350586,2.4990234,1,4,53
3.229004,0.28759766,3.1328125,1,4,54
3.5004883,-0.0043945312,2.7041016,1,4,55
3.3188477,-0.56689453,2.1484375,1,4,56
3.4677734,-0.77441406,1.684082,1,4,57
3.0307617,-1.0166016,1.5537109,1,4,58
3.7329102,-1.0307617,1.2172852,1,4,59
4.296875,-0.51416016,2.1870117,1,4,60
4.254883,0.0014648438,2.3330078,1,4,61
3.7827148,0.26513672,1.9663086,1,4,62
3.0576172,0.24072266,1.6699219,1,4,63
2.5888672,0.044921875,1.4511719,1,4,64
2.4038086,-0.1303711,1.4130859,1,4,65
2.3374023,-0.12841797,1.4926758,1,4,66
2.1015625,-0.08935547,1.340332,1,4,67
1.5263672,-0.17822266,0.9536133,1,4,68
1.0361328,-0.049804688,1.253418,1,4,69
0.66796875,-0.071777344,1.5458984,1,4,70
0.110839844,-0.2529297,1.2871094,1,4,71
-0.4116211,0.1538086,1.0576172,1,4,72
-0.93408203,0.49609375,0.875,1,4,73
-1.8203125,0.80859375,0.14355469,1,4,74
-1.7514648,0.48046875,0.38720703,1,4,75
-1.5654297,0.421875,0.4482422,1,4,76
-1.7006836,0.6694336,0.8046875,1,4,77
-1.6586914,0.66845703,0.5805664,1,4,78
-1.2392578,0.15478516,0.36865234,1,4,79
-0.65966797,-0.8383789,1.2041016,1,4,80
-0.30078125,-1.4716797,2.321289,1,4,81
0.023925781,-1.3154297,2.9379883,1,4,82
0.83935547,-0.5751953,3.2172852,1,4,83
1.6928711,1.9848633,3.9677734,1,4,84
2.7695312,1.8759766,1.9394531,1,4,85
4.2021484,-0.4008789,2.1845703,1,4,86
4.8305664,-1.6591797,2.8168945,1,4,87
6.690918,-1.8510742,5.0810547,1,4,88
6.2768555,-2.336914,3.894043,1,4,89
3.9394531,-0.68896484,3.2421875,1,4,90
3.4296875,0.5722656,2.510254,1,4,91
3.381836,0.5991211,2.0878906,1,4,92
3.9189453,0.59814453,2.1914062,1,4,93
3.5654297,0.41210938,2.147461,1,4,94
3.6201172,0.4482422,2.081543,1,4,95
3.2148438,0.25,1.7841797,1,4,96
3.6152344,-0.037109375,1.2338867,1,4,97
3.9780273,-0.30664062,2.2089844,1,4,98
3.6577148,-0.39160156,1.9150391,1,4,99
3.7299805,-0.37109375,1.9155273,1,4,100
3.34375,-0.24804688,1.8251953,1,4,101
2.9204102,-0.13378906,1.6557617,1,4,102
2.8813477,-0.038085938,1.7319336,1,4,103
2.8105469,-0.1616211,1.8125,1,4,104
2.4887695,-0.21923828,1.7011719,1,4,105
1.7705078,-0.54541016,1.4160156,1,4,106
1.027832,-0.5859375,1.1850586,1,4,107
0.29492188,-0.7441406,1.0834961,1,4,108
-0.18066406,-0.70996094,1.1572266,1,4,109
-0.6020508,-0.84277344,1.0473633,1,4,110
-1.1191406,-0.8486328,0.7241211,1,4,111
-1.3588867,-0.52197266,0.48583984,1,4,112
-1.9755859,-0.080078125,0.47021484,1,4,113
-1.9638672,0.099609375,0.14453125,1,4,114
-1.9067383,0.059570312,-0.05517578,1,4,115
-1.637207,0.3671875,0.09472656,1,4,116
-1.1123047,0.8027344,0.70458984,1,4,117
-0.5366211,1.027832,1.2973633,1,4,118
-0.07080078,1.4438477,1.7807617,1,4,119
-0.061035156,2.1572266,2.5463867,1,4,120
-0.03125,1.015625,3.8847656,1,4,121
0.99316406,-1.487793,4.496582,1,4,122
1.9575195,-2.019043,2.3237305,1,4,123
6.0200195,-0.66796875,2.4902344,1,4,124
