"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",40,"left"
1,"peaks[1]",78,"right"
1,"peaks[2]",115,"left"
1,"peaks[3]",152,"right"
1,"peaks[4]",190,"left"
1,"peaks[5]",227,"right"
1,"peaks[6]",265,"left"
1,"peaks[7]",302,"right"
1,"peaks[8]",339,"left"
1,"peaks[9]",375,"right"
1,"peaks[10]",414,"left"
1,"peaks[11]",452,"right"
1,"peaks[12]",490,"left"
1,"peaks[13]",527,"right"
1,"peaks[14]",565,"left"
1,"peaks[15]",602,"right"
1,"peaks[16]",640,"left"
1,"peaks[17]",677,"right"
1,"peaks[18]",714,"left"
1,"peaks[19]",751,"right"
1,"peaks[20]",789,"left"
1,"peaks[21]",825,"right"
1,"peaks[22]",864,"left"
1,"peaks[23]",902,"right"
1,"peaks[24]",939,"left"
1,"peaks[25]",975,"right"
1,"peaks[26]",1013,"left"
1,"peaks[27]",1049,"right"
1,"peaks[28]",1086,"left"
1,"peaks[29]",1124,"right"
1,"peaks[30]",1162,"left"
1,"peaks[31]",1198,"right"
1,"peaks[32]",1236,"left"
1,"peaks[33]",1273,"right"
1,"peaks[34]",1310,"left"
1,"peaks[35]",1347,"right"
1,"peaks[36]",1384,"left"
1,"peaks[37]",1420,"right"
1,"peaks[38]",1458,"left"
1,"peaks[39]",1495,"right"
1,"peaks[40]",1533,"left"
1,"peaks[41]",1570,"right"
1,"peaks[42]",1606,"left"
1,"peaks[43]",1644,"right"
1,"peaks[44]",1682,"left"
1,"peaks[45]",1718,"right"
1,"peaks[46]",1757,"left"
1,"peaks[47]",1793,"right"
1,"peaks[48]",1831,"left"
1,"peaks[49]",1867,"right"
1,"peaks[50]",1905,"left"
1,"peaks[51]",1942,"right"
1,"peaks[52]",1979,"left"
1,"peaks[53]",2016,"right"
1,"peaks[54]",2053,"left"
1,"peaks[55]",2090,"right"
1,"peaks[56]",2127,"left"
1,"peaks[57]",2164,"right"
1,"peaks[58]",2202,"left"
1,"peaks[59]",2238,"right"
1,"peaks[60]",2275,"left"
1,"peaks[61]",2313,"right"
1,"peaks[62]",2350,"left"
1,"peaks[63]",2387,"right"
1,"peaks[64]",2425,"left"
1,"peaks[65]",2462,"right"
1,"peaks[66]",2501,"left"
1,"peaks[67]",2538,"right"
1,"peaks[68]",2575,"left"
1,"peaks[69]",2613,"right"
1,"peaks[70]",2650,"left"
1,"peaks[71]",2687,"right"
1,"peaks[72]",2724,"left"
1,"peaks[73]",2762,"right"
1,"peaks[74]",2799,"left"
1,"peaks[75]",2835,"right"
1,"peaks[76]",2872,"left"
1,"peaks[77]",2910,"right"
1,"peaks[78]",2947,"left"
