"x","y","z","interval_no","runtype","packet_no"
3.140625,0.06201172,1.8486328,1,4,1
3.0957031,0.040527344,1.7519531,1,4,2
2.7011719,0.10839844,1.6264648,1,4,3
2.5473633,-0.09423828,1.5273438,1,4,4
2.3950195,-0.07324219,1.4995117,1,4,5
2.28125,-0.014160156,1.3251953,1,4,6
1.8232422,-0.15283203,1.4121094,1,4,7
1.3520508,-0.09375,1.3837891,1,4,8
0.8232422,-0.1381836,1.402832,1,4,9
0.34375,-0.20605469,1.4941406,1,4,10
0.08544922,-0.16113281,1.3896484,1,4,11
-0.48486328,-0.05908203,1.2333984,1,4,12
-1.1396484,0.09716797,1.0170898,1,4,13
-1.7875977,-0.0087890625,0.8520508,1,4,14
-1.7797852,-0.20947266,0.70947266,1,4,15
-1.7060547,-0.1875,0.76171875,1,4,16
-1.8066406,-0.22167969,0.5961914,1,4,17
-1.9350586,-0.26464844,0.37109375,1,4,18
-1.4467773,-0.4868164,0.48486328,1,4,19
-0.74121094,-0.6743164,0.8413086,1,4,20
-0.29638672,-1.1098633,1.5761719,1,4,21
-0.15478516,-1.3422852,2.8623047,1,4,22
0.24560547,-0.1381836,3.921875,1,4,23
1.4365234,2.8935547,4.0273438,1,4,24
4.324707,1.7861328,1.4892578,1,4,25
8.095703,-1.5385742,2.9013672,1,4,26
12.687988,-2.269043,5.1435547,1,4,27
4.741211,-3.4780273,3.3759766,1,4,28
2.1972656,-1.387207,2.0483398,1,4,29
2.8671875,-0.4248047,2.0493164,1,4,30
2.5439453,0.083496094,2.4814453,1,4,31
3.4707031,0.32177734,1.2348633,1,4,32
5.2783203,-0.0087890625,1.8583984,1,4,33
4.3725586,0.12109375,2.352539,1,4,34
3.6137695,0.15332031,1.4594727,1,4,35
3.7734375,-0.022460938,1.8364258,1,4,36
3.666504,-0.104003906,1.8007812,1,4,37
3.3237305,-0.20703125,1.4467773,1,4,38
3.1782227,-0.4296875,1.2993164,1,4,39
2.9160156,-0.39257812,1.4160156,1,4,40
2.618164,-0.30029297,1.1572266,1,4,41
2.0634766,-0.19824219,1.1748047,1,4,42
1.7402344,-0.25683594,1.1445312,1,4,43
1.3227539,-0.4038086,1.1049805,1,4,44
0.9067383,-0.3725586,1.1738281,1,4,45
0.8041992,-0.3515625,1.2114258,1,4,46
0.51464844,-0.26611328,0.97314453,1,4,47
-0.35839844,-0.49609375,0.50439453,1,4,48
-1.5439453,-0.62158203,0.3125,1,4,49
-2.6254883,-0.7397461,0.6357422,1,4,50
-2.4951172,-0.13330078,1.1333008,1,4,51
-1.3759766,0.0087890625,1.0639648,1,4,52
-1.2021484,0.16015625,1.0102539,1,4,53
-1.3452148,0.20751953,1.3754883,1,4,54
-1.3911133,0.30273438,1.2875977,1,4,55
-1.0419922,0.6333008,1.1899414,1,4,56
-0.23925781,0.97998047,1.7807617,1,4,57
0.77685547,1.2333984,3.2368164,1,4,58
0.8359375,0.54003906,3.3398438,1,4,59
0.80615234,-0.93310547,2.099121,1,4,60
3.4208984,-1.6508789,1.7460938,1,4,61
9.72998,-1.3227539,3.4980469,1,4,62
8.445801,-0.8642578,5.244629,1,4,63
6.165039,1.0532227,2.3535156,1,4,64
3.2558594,0.56152344,2.8579102,1,4,65
3.1264648,-0.44873047,2.4692383,1,4,66
3.4174805,-0.6430664,2.6049805,1,4,67
3.9086914,-0.8798828,2.2148438,1,4,68
3.684082,-1.1064453,2.2714844,1,4,69
3.7832031,-1.0673828,1.5205078,1,4,70
3.8710938,-0.86035156,1.7822266,1,4,71
3.307129,-0.8623047,1.7480469,1,4,72
3.1088867,-0.2397461,1.8120117,1,4,73
3.258789,0.001953125,1.5913086,1,4,74
3.2963867,0.07421875,1.7109375,1,4,75
3.1894531,0.075683594,1.8071289,1,4,76
2.7802734,-0.040527344,1.6811523,1,4,77
2.5043945,-0.091308594,1.621582,1,4,78
2.3183594,0.09326172,1.4399414,1,4,79
1.644043,0.06201172,1.2832031,1,4,80
0.99853516,0.04736328,1.3984375,1,4,81
0.5966797,0.060546875,1.2236328,1,4,82
0.22265625,0.09716797,1.3344727,1,4,83
-0.39746094,0.030273438,1.2905273,1,4,84
-0.8359375,0.27685547,1.0029297,1,4,85
-1.4008789,0.5263672,0.72265625,1,4,86
-1.6191406,0.54541016,0.7265625,1,4,87
-1.6503906,0.19677734,0.89990234,1,4,88
-1.6748047,0.03173828,0.9086914,1,4,89
-1.4912109,-0.12548828,0.73046875,1,4,90
-1.6108398,-0.3701172,0.8354492,1,4,91
-1.4960938,-0.57910156,1.1875,1,4,92
-1.1157227,-0.7348633,2.0913086,1,4,93
-0.6230469,-1.1123047,2.6914062,1,4,94
0.3881836,0.4501953,2.6938477,1,4,95
1.6674805,2.4726562,2.161621,1,4,96
3.4370117,0.76953125,1.4746094,1,4,97
5.317871,-2.484375,2.2495117,1,4,98
7.899414,-2.3671875,6.26709,1,4,99
11.3359375,-4.6572266,3.3730469,1,4,100
3.1791992,-1.4990234,2.6259766,1,4,101
2.8017578,-0.28466797,2.4560547,1,4,102
3.1542969,-0.3173828,2.6245117,1,4,103
3.557129,-0.123046875,2.3989258,1,4,104
3.5048828,-0.09277344,2.1367188,1,4,105
4.6538086,-0.359375,1.3603516,1,4,106
4.2719727,-0.25830078,2.4697266,1,4,107
3.4975586,-0.0126953125,1.5922852,1,4,108
3.8046875,0.16455078,1.5654297,1,4,109
3.555664,0.17041016,1.7143555,1,4,110
3.3432617,0.0043945312,1.3862305,1,4,111
3.0561523,-0.13134766,1.3125,1,4,112
2.836914,-0.27783203,1.4389648,1,4,113
2.241211,-0.32421875,1.300293,1,4,114
2.0361328,-0.47509766,1.0874023,1,4,115
1.4770508,-0.60253906,1.0112305,1,4,116
0.9794922,-0.41601562,1.1489258,1,4,117
0.7558594,-0.25390625,1.1635742,1,4,118
