"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",51,"right"
1,"peaks[1]",54,"left"
1,"peaks[2]",91,"right"
1,"peaks[3]",123,"left"
1,"peaks[4]",163,"right"
1,"peaks[5]",197,"left"
1,"peaks[6]",237,"right"
1,"peaks[7]",274,"left"
1,"peaks[8]",310,"right"
1,"peaks[9]",345,"left"
1,"peaks[10]",383,"right"
1,"peaks[11]",418,"left"
1,"peaks[12]",456,"right"
1,"peaks[13]",490,"left"
1,"peaks[14]",528,"right"
1,"peaks[15]",565,"left"
1,"peaks[16]",600,"right"
1,"peaks[17]",638,"left"
1,"peaks[18]",674,"right"
1,"peaks[19]",706,"left"
1,"peaks[20]",746,"right"
1,"peaks[21]",783,"left"
1,"peaks[22]",819,"right"
1,"peaks[23]",852,"left"
1,"peaks[24]",893,"right"
1,"peaks[25]",929,"left"
1,"peaks[26]",966,"right"
1,"peaks[27]",999,"left"
1,"peaks[28]",1039,"right"
1,"peaks[29]",1076,"left"
1,"peaks[30]",1113,"right"
1,"peaks[31]",1146,"left"
1,"peaks[32]",1184,"right"
1,"peaks[33]",1222,"left"
1,"peaks[34]",1260,"right"
1,"peaks[35]",1296,"left"
1,"peaks[36]",1333,"right"
1,"peaks[37]",1367,"left"
1,"peaks[38]",1406,"right"
1,"peaks[39]",1440,"left"
1,"peaks[40]",1479,"right"
1,"peaks[41]",1515,"left"
1,"peaks[42]",1552,"right"
1,"peaks[43]",1589,"left"
1,"peaks[44]",1626,"right"
1,"peaks[45]",1661,"left"
1,"peaks[46]",1700,"right"
1,"peaks[47]",1737,"left"
1,"peaks[48]",1773,"right"
1,"peaks[49]",1807,"left"
1,"peaks[50]",1846,"right"
1,"peaks[51]",1882,"left"
1,"peaks[52]",1919,"right"
1,"peaks[53]",1952,"left"
1,"peaks[54]",1992,"right"
1,"peaks[55]",2026,"left"
1,"peaks[56]",2065,"right"
1,"peaks[57]",2102,"left"
1,"peaks[58]",2139,"right"
1,"peaks[59]",2176,"left"
1,"peaks[60]",2212,"right"
1,"peaks[61]",2246,"left"
1,"peaks[62]",2287,"right"
1,"peaks[63]",2320,"left"
1,"peaks[64]",2359,"right"
1,"peaks[65]",2395,"left"
1,"peaks[66]",2433,"right"
1,"peaks[67]",2468,"left"
1,"peaks[68]",2506,"right"
1,"peaks[69]",2539,"left"
1,"peaks[70]",2579,"right"
1,"peaks[71]",2613,"left"
1,"peaks[72]",2653,"right"
1,"peaks[73]",2688,"left"
1,"peaks[74]",2727,"right"
1,"peaks[75]",2760,"left"
1,"peaks[76]",2799,"right"
1,"peaks[77]",2836,"left"
1,"peaks[78]",2873,"right"
1,"peaks[79]",2909,"left"
1,"peaks[80]",2946,"right"
