"x","y","z","interval_no","runtype","packet_no"
1.4858398,0.85595703,4.432129,1,4,207
1.6254883,-2.1079102,2.2070312,1,4,208
5.70459,-3.6767578,1.0668945,1,4,209
7.6098633,-0.28564453,1.5302734,1,4,210
5.7314453,1.625,2.9506836,1,4,211
5.290039,3.5073242,3.364746,1,4,212
4.2368164,3.053711,2.28125,1,4,213
3.3500977,1.3125,2.2509766,1,4,214
4.3183594,0.6850586,2.2246094,1,4,215
4.1416016,0.016601562,1.8769531,1,4,216
3.8535156,0.09814453,1.3544922,1,4,217
4.4711914,-0.34277344,1.4960938,1,4,218
3.463379,-0.40039062,1.3666992,1,4,219
3.166504,-0.25585938,1.2763672,1,4,220
3.4174805,0.03564453,1.5839844,1,4,221
3.2270508,0.13574219,1.3764648,1,4,222
2.7094727,-0.1430664,1.2817383,1,4,223
2.9248047,0.34765625,1.4086914,1,4,224
2.5107422,0.063964844,1.1586914,1,4,225
2.1206055,0.4609375,1.3178711,1,4,226
1.7670898,0.56640625,1.1459961,1,4,227
1.0424805,0.69873047,0.9770508,1,4,228
0.44628906,0.87841797,1.0922852,1,4,229
0.28564453,0.52490234,1.0205078,1,4,230
0.21826172,0.37353516,1.2973633,1,4,231
0.028808594,-0.23144531,1.1767578,1,4,232
-0.2084961,-0.52246094,1.0717773,1,4,233
-0.51123047,-0.54345703,1.3398438,1,4,234
-1.1401367,-0.28320312,1.3027344,1,4,235
-1.5595703,-0.34277344,0.7807617,1,4,236
-1.6289062,-0.47070312,0.69433594,1,4,237
-1.2749023,-0.80078125,1.0068359,1,4,238
-0.8984375,-0.98095703,1.1967773,1,4,239
-0.39160156,-1.3125,1.4790039,1,4,240
-0.22216797,-1.1274414,2.7026367,1,4,241
-0.17138672,-1.0009766,3.3510742,1,4,242
1.0131836,-0.5859375,3.2250977,1,4,243
1.3666992,2.3374023,2.303711,1,4,244
3.6098633,2.557129,1.3066406,1,4,245
8.642578,0.46533203,2.0620117,1,4,246
8.603516,-1.1713867,2.9086914,1,4,247
4.9057617,-2.319336,3.190918,1,4,248
4.0283203,-1.784668,2.2792969,1,4,249
3.0146484,0.16552734,1.8422852,1,4,250
4.125,1.,1.9194336,1,4,251
4.5874023,1.2929688,1.7241211,1,4,252
3.7988281,1.1464844,1.5244141,1,4,253
