"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",66,"left"
1,"peaks[1]",103,"right"
1,"peaks[2]",139,"left"
1,"peaks[3]",175,"right"
1,"peaks[4]",210,"left"
1,"peaks[5]",247,"right"
1,"peaks[6]",282,"left"
1,"peaks[7]",318,"right"
1,"peaks[8]",354,"left"
1,"peaks[9]",390,"right"
1,"peaks[10]",426,"left"
1,"peaks[11]",462,"right"
1,"peaks[12]",498,"left"
1,"peaks[13]",534,"right"
1,"peaks[14]",570,"left"
1,"peaks[15]",607,"right"
1,"peaks[16]",643,"left"
1,"peaks[17]",679,"right"
1,"peaks[18]",715,"left"
1,"peaks[19]",751,"right"
1,"peaks[20]",788,"left"
1,"peaks[21]",824,"right"
1,"peaks[22]",859,"left"
1,"peaks[23]",895,"right"
1,"peaks[24]",931,"left"
1,"peaks[25]",967,"right"
1,"peaks[26]",1002,"left"
1,"peaks[27]",1038,"right"
1,"peaks[28]",1075,"left"
1,"peaks[29]",1110,"right"
1,"peaks[30]",1146,"left"
1,"peaks[31]",1182,"right"
1,"peaks[32]",1219,"left"
1,"peaks[33]",1254,"right"
1,"peaks[34]",1290,"left"
1,"peaks[35]",1326,"right"
1,"peaks[36]",1363,"left"
1,"peaks[37]",1398,"right"
1,"peaks[38]",1434,"left"
1,"peaks[39]",1470,"right"
1,"peaks[40]",1506,"left"
1,"peaks[41]",1542,"right"
1,"peaks[42]",1578,"left"
1,"peaks[43]",1614,"right"
1,"peaks[44]",1650,"left"
1,"peaks[45]",1687,"right"
1,"peaks[46]",1722,"left"
1,"peaks[47]",1758,"right"
1,"peaks[48]",1794,"left"
1,"peaks[49]",1830,"right"
1,"peaks[50]",1866,"left"
1,"peaks[51]",1903,"right"
1,"peaks[52]",1939,"left"
1,"peaks[53]",1975,"right"
1,"peaks[54]",2011,"left"
1,"peaks[55]",2047,"right"
1,"peaks[56]",2082,"left"
1,"peaks[57]",2117,"right"
1,"peaks[58]",2154,"left"
1,"peaks[59]",2190,"right"
1,"peaks[60]",2225,"left"
1,"peaks[61]",2261,"right"
1,"peaks[62]",2296,"left"
1,"peaks[63]",2332,"right"
1,"peaks[64]",2369,"left"
1,"peaks[65]",2405,"right"
1,"peaks[66]",2440,"left"
1,"peaks[67]",2476,"right"
1,"peaks[68]",2512,"left"
1,"peaks[69]",2548,"right"
1,"peaks[70]",2584,"left"
1,"peaks[71]",2619,"right"
1,"peaks[72]",2656,"left"
1,"peaks[73]",2692,"right"
1,"peaks[74]",2728,"left"
1,"peaks[75]",2764,"right"
1,"peaks[76]",2799,"left"
1,"peaks[77]",2836,"right"
1,"peaks[78]",2872,"left"
1,"peaks[79]",2909,"right"
1,"peaks[80]",2944,"left"
