"x","y","z","interval_no","runtype","packet_no"
-1.1079102,0.030761719,1.152832,1,4,1
-0.6982422,-0.7529297,1.2768555,1,4,2
-0.12548828,-1.3120117,2.099121,1,4,3
0.016113281,-1.0239258,2.8203125,1,4,4
0.024902344,-0.8144531,2.8876953,1,4,5
1.0078125,-0.39111328,2.6933594,1,4,6
1.9868164,1.2978516,1.8798828,1,4,7
3.4013672,1.5224609,1.0893555,1,4,8
7.1967773,-0.28857422,1.3466797,1,4,9
9.041016,-1.7944336,2.9106445,1,4,10
5.381836,-1.8569336,2.9638672,1,4,11
3.0634766,-2.083496,2.5307617,1,4,12
3.5283203,-0.22998047,1.9863281,1,4,13
3.5507812,0.8198242,1.8813477,1,4,14
4.2285156,1.1391602,1.7514648,1,4,15
3.635254,1.1162109,1.4516602,1,4,16
4.0219727,0.58251953,1.5820312,1,4,17
3.7729492,0.40820312,1.1943359,1,4,18
3.6499023,0.2290039,1.2421875,1,4,19
3.921875,0.06982422,1.2929688,1,4,20
3.739746,-0.1640625,1.1499023,1,4,21
3.519043,0.1694336,1.2871094,1,4,22
3.4311523,-0.125,1.0908203,1,4,23
3.0429688,0.2211914,1.2319336,1,4,24
2.7592773,0.061035156,1.1845703,1,4,25
2.322754,-0.30859375,0.9111328,1,4,26
1.715332,-0.13867188,1.0097656,1,4,27
1.4321289,-0.025390625,1.2734375,1,4,28
0.74121094,-0.50390625,1.0068359,1,4,29
0.019042969,-1.2524414,0.9370117,1,4,30
-0.22705078,-0.5097656,1.1865234,1,4,31
-0.30810547,0.14111328,1.390625,1,4,32
-0.5415039,0.5864258,1.3999023,1,4,33
-0.85791016,0.55322266,1.3891602,1,4,34
-1.1640625,0.2602539,1.2978516,1,4,35
-2.0117188,0.40820312,1.2099609,1,4,36
-2.1420898,0.3310547,0.9160156,1,4,37
-1.6645508,0.44140625,0.8930664,1,4,38
-0.98339844,0.63671875,1.2695312,1,4,39
-0.21191406,0.8378906,1.644043,1,4,40
0.21728516,0.5888672,2.480957,1,4,41
0.3935547,0.99853516,3.8164062,1,4,42
1.6586914,0.6616211,3.5844727,1,4,43
1.7421875,-1.5874023,2.3862305,1,4,44
5.32666,-3.130371,0.55566406,1,4,45
9.035156,-1.5683594,2.1591797,1,4,46
5.958008,1.1420898,2.6230469,1,4,47
3.3110352,2.4453125,2.4833984,1,4,48
3.489746,1.4379883,2.0454102,1,4,49
2.9091797,0.47998047,2.194336,1,4,50
3.6274414,-0.24414062,2.1381836,1,4,51
4.6186523,-0.7636719,1.6469727,1,4,52
4.133301,-0.74365234,1.543457,1,4,53
3.5908203,-0.7583008,1.4174805,1,4,54
3.2871094,-1.0092773,1.2553711,1,4,55
2.944336,-0.99853516,1.3383789,1,4,56
3.397461,-0.6772461,1.2915039,1,4,57
3.3637695,-0.45214844,1.34375,1,4,58
3.0698242,-0.39648438,1.3041992,1,4,59
3.010254,0.1850586,1.2919922,1,4,60
2.7001953,0.25976562,1.1621094,1,4,61
2.4829102,0.12548828,0.984375,1,4,62
1.8325195,0.63720703,1.0302734,1,4,63
1.1513672,0.56884766,0.8520508,1,4,64
0.59765625,0.7475586,0.95166016,1,4,65
0.67285156,0.69873047,0.8339844,1,4,66
0.7138672,0.44726562,0.86865234,1,4,67
0.6411133,0.1484375,1.112793,1,4,68
0.5488281,-0.4345703,1.0263672,1,4,69
0.14794922,-0.7734375,1.449707,1,4,70
-0.6826172,-1.0078125,1.4042969,1,4,71
-1.0712891,-0.25097656,1.519043,1,4,72
-1.4321289,-0.35107422,1.4619141,1,4,73
-1.4487305,-0.33154297,1.1420898,1,4,74
-1.1733398,-0.65478516,1.1235352,1,4,75
-0.49267578,-0.9296875,1.3037109,1,4,76
-0.31103516,-0.7763672,1.8945312,1,4,77
-0.04638672,-0.80126953,2.7436523,1,4,78
-0.31640625,-0.9042969,3.1748047,1,4,79
1.0180664,-0.1484375,3.4814453,1,4,80
1.3959961,2.508789,2.385254,1,4,81
6.7124023,1.3037109,0.86328125,1,4,82
9.825684,-0.74609375,2.0498047,1,4,83
6.1533203,-1.0458984,3.3916016,1,4,84
4.001953,-2.2382812,2.6547852,1,4,85
3.4667969,-1.2055664,2.1625977,1,4,86
2.8862305,-0.2602539,1.8862305,1,4,87
3.8989258,0.35839844,2.1142578,1,4,88
3.9589844,0.5527344,1.8842773,1,4,89
4.520508,0.85058594,1.6918945,1,4,90
3.4594727,0.6513672,1.581543,1,4,91
3.362793,0.46484375,1.5478516,1,4,92
3.4331055,0.5419922,1.5224609,1,4,93
3.2563477,0.18701172,1.2275391,1,4,94
3.1958008,-0.020019531,1.1538086,1,4,95
2.8466797,0.25048828,1.015625,1,4,96
2.8256836,0.057617188,0.96728516,1,4,97
2.3925781,-0.12841797,0.77734375,1,4,98
1.878418,-0.40722656,0.79296875,1,4,99
1.4394531,-0.30371094,0.9082031,1,4,100
0.9897461,-0.6098633,0.8149414,1,4,101
0.8417969,-0.4868164,0.9272461,1,4,102
0.19433594,-0.53466797,1.3393555,1,4,103
0.0087890625,-0.3486328,1.2670898,1,4,104
0.020507812,0.10058594,1.5952148,1,4,105
-0.38623047,0.5805664,1.7060547,1,4,106
-0.2944336,0.7949219,1.559082,1,4,107
-1.2680664,-0.21533203,1.2304688,1,4,108
-1.5952148,-0.072753906,1.2753906,1,4,109
-1.6049805,0.060546875,0.96484375,1,4,110
-1.3027344,0.2290039,0.8256836,1,4,111
-0.7788086,0.45703125,1.1186523,1,4,112
-0.09423828,0.6381836,1.4350586,1,4,113
0.013671875,0.4423828,2.1489258,1,4,114
0.14794922,1.2675781,3.597168,1,4,115
1.465332,0.93603516,3.7060547,1,4,116
1.4541016,-1.5361328,2.1938477,1,4,117
3.8842773,-3.0107422,0.98828125,1,4,118
9.41748,-1.5893555,2.2324219,1,4,119
7.1069336,0.87597656,2.5273438,1,4,120
3.4013672,1.9794922,2.5073242,1,4,121
4.111328,1.4541016,2.145996,1,4,122
2.831543,0.22216797,2.0458984,1,4,123
3.854004,-0.39892578,2.0161133,1,4,124
5.0595703,-0.7475586,1.6025391,1,4,125
3.9873047,-0.43017578,1.59375,1,4,126
3.9907227,-0.29785156,1.4008789,1,4,127
3.635254,-0.53125,1.2636719,1,4,128
3.7114258,-0.4296875,1.3349609,1,4,129
3.4702148,-0.3046875,1.2763672,1,4,130
3.2763672,-0.4580078,1.2089844,1,4,131
3.1577148,-0.043945312,1.2543945,1,4,132
3.0024414,-0.13232422,1.1264648,1,4,133
2.484375,-0.19433594,1.2089844,1,4,134
2.203125,0.06298828,1.1235352,1,4,135
1.8178711,0.43701172,1.0336914,1,4,136
1.1582031,0.62402344,0.96875,1,4,137
0.8286133,0.64746094,0.89990234,1,4,138
0.41357422,0.74560547,1.1220703,1,4,139
0.3701172,0.4091797,1.125,1,4,140
0.23632812,-0.31933594,1.0839844,1,4,141
-0.01953125,-0.22705078,1.4672852,1,4,142
-0.42919922,-0.51220703,1.3520508,1,4,143
-0.41015625,-0.71191406,1.625,1,4,144
-1.4296875,0.055664062,1.4160156,1,4,145
-1.4443359,0.084472656,1.1704102,1,4,146
-1.1391602,-0.09863281,1.050293,1,4,147
-0.8774414,-0.43115234,1.0107422,1,4,148
-0.4267578,-0.92822266,1.2509766,1,4,149
0.014160156,-1.1201172,2.2216797,1,4,150
-0.44433594,-0.7558594,2.90625,1,4,151
0.54541016,-1.1142578,3.230957,1,4,152
1.0327148,0.3251953,3.336914,1,4,153
2.5878906,2.2485352,1.909668,1,4,154
7.5791016,0.9511719,1.1479492,1,4,155
9.691895,-1.3305664,2.3911133,1,4,156
5.7529297,-1.9448242,3.3222656,1,4,157
3.2641602,-2.6694336,2.775879,1,4,158
3.1699219,-1.4711914,2.0014648,1,4,159
2.8828125,-0.15966797,1.9453125,1,4,160
3.9331055,0.45458984,1.8935547,1,4,161
4.3442383,0.796875,1.6279297,1,4,162
3.8027344,0.8120117,1.5219727,1,4,163
3.3320312,0.6074219,1.503418,1,4,164
3.3598633,0.4506836,1.3769531,1,4,165
3.5830078,0.33154297,1.5195312,1,4,166
3.4389648,0.041503906,1.3085938,1,4,167
3.102539,0.21777344,1.3334961,1,4,168
3.1635742,0.15234375,1.1616211,1,4,169
2.9824219,-0.033691406,1.0375977,1,4,170
2.760254,0.28320312,1.2695312,1,4,171
2.4389648,-0.49267578,0.7685547,1,4,172
1.871582,-0.5126953,1.0053711,1,4,173
1.2094727,-0.4038086,0.94189453,1,4,174
0.8256836,-0.5722656,0.9819336,1,4,175
