"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",37,"left"
1,"peaks[1]",74,"right"
1,"peaks[2]",110,"left"
1,"peaks[3]",147,"right"
1,"peaks[4]",184,"left"
1,"peaks[5]",220,"right"
1,"peaks[6]",258,"left"
1,"peaks[7]",295,"right"
1,"peaks[8]",332,"left"
1,"peaks[9]",368,"right"
1,"peaks[10]",406,"left"
1,"peaks[11]",442,"right"
1,"peaks[12]",480,"left"
1,"peaks[13]",518,"right"
1,"peaks[14]",555,"left"
1,"peaks[15]",590,"right"
1,"peaks[16]",627,"left"
1,"peaks[17]",664,"right"
1,"peaks[18]",702,"left"
1,"peaks[19]",738,"right"
1,"peaks[20]",775,"left"
1,"peaks[21]",813,"right"
1,"peaks[22]",851,"left"
1,"peaks[23]",888,"right"
1,"peaks[24]",925,"left"
1,"peaks[25]",961,"right"
1,"peaks[26]",999,"left"
1,"peaks[27]",1036,"right"
1,"peaks[28]",1074,"left"
1,"peaks[29]",1110,"right"
1,"peaks[30]",1148,"left"
1,"peaks[31]",1184,"right"
1,"peaks[32]",1221,"left"
1,"peaks[33]",1257,"right"
1,"peaks[34]",1294,"left"
1,"peaks[35]",1331,"right"
1,"peaks[36]",1368,"left"
1,"peaks[37]",1405,"right"
1,"peaks[38]",1442,"left"
1,"peaks[39]",1479,"right"
1,"peaks[40]",1516,"left"
1,"peaks[41]",1552,"right"
1,"peaks[42]",1589,"left"
1,"peaks[43]",1625,"right"
1,"peaks[44]",1663,"left"
1,"peaks[45]",1699,"right"
1,"peaks[46]",1736,"left"
1,"peaks[47]",1772,"right"
1,"peaks[48]",1809,"left"
1,"peaks[49]",1846,"right"
1,"peaks[50]",1884,"left"
1,"peaks[51]",1920,"right"
1,"peaks[52]",1958,"left"
1,"peaks[53]",1995,"right"
1,"peaks[54]",2033,"left"
1,"peaks[55]",2068,"right"
1,"peaks[56]",2106,"left"
1,"peaks[57]",2142,"right"
1,"peaks[58]",2179,"left"
1,"peaks[59]",2216,"right"
1,"peaks[60]",2253,"left"
1,"peaks[61]",2290,"right"
1,"peaks[62]",2327,"left"
1,"peaks[63]",2364,"right"
1,"peaks[64]",2401,"left"
1,"peaks[65]",2437,"right"
1,"peaks[66]",2474,"left"
1,"peaks[67]",2511,"right"
1,"peaks[68]",2549,"left"
1,"peaks[69]",2586,"right"
1,"peaks[70]",2623,"left"
1,"peaks[71]",2660,"right"
1,"peaks[72]",2698,"left"
1,"peaks[73]",2734,"right"
1,"peaks[74]",2772,"left"
1,"peaks[75]",2809,"right"
1,"peaks[76]",2846,"left"
1,"peaks[77]",2882,"right"
1,"peaks[78]",2919,"left"
1,"peaks[79]",2955,"right"
