"x","y","z","interval_no","runtype","packet_no"
3.1533203,2.307129,2.7783203,1,4,1
4.824707,2.644043,2.584961,1,4,2
3.2719727,1.4423828,1.9423828,1,4,3
3.5532227,0.2939453,2.2109375,1,4,4
4.7177734,-0.33642578,1.6791992,1,4,5
4.333496,-0.3959961,1.1733398,1,4,6
4.060547,-0.5292969,1.6616211,1,4,7
3.6176758,-0.78222656,1.1152344,1,4,8
3.211914,-1.1083984,1.293457,1,4,9
3.4990234,-0.8261719,1.3842773,1,4,10
3.184082,-0.3515625,1.2753906,1,4,11
3.008789,-0.14013672,1.3300781,1,4,12
2.6782227,0.19580078,1.0356445,1,4,13
2.5698242,0.33789062,0.99121094,1,4,14
2.1655273,0.68847656,0.92822266,1,4,15
1.4194336,0.56933594,0.8496094,1,4,16
0.8227539,0.7558594,0.8569336,1,4,17
0.5888672,0.8129883,0.86376953,1,4,18
0.47460938,0.7548828,0.9814453,1,4,19
0.32470703,0.5341797,1.1767578,1,4,20
0.3251953,-0.22070312,1.0786133,1,4,21
0.037109375,-0.50683594,1.3681641,1,4,22
0.020019531,-1.2246094,1.3769531,1,4,23
-0.4638672,-0.9926758,1.5605469,1,4,24
-1.362793,-0.26757812,1.1411133,1,4,25
-1.4511719,-0.22851562,1.1386719,1,4,26
-1.2758789,-0.27685547,0.93359375,1,4,27
-0.90185547,-0.7006836,0.97216797,1,4,28
-0.421875,-0.56689453,1.3764648,1,4,29
0.099609375,-1.1035156,1.8662109,1,4,30
-0.119140625,-0.81689453,2.5625,1,4,31
-0.2685547,-0.97021484,3.1894531,1,4,32
0.88427734,-0.5839844,3.8046875,1,4,33
1.4003906,2.4262695,2.5078125,1,4,34
5.7265625,2.3520508,1.4243164,1,4,35
13.888184,-0.11279297,1.4838867,1,4,36
0.7871094,-1.5297852,3.3676758,1,4,37
4.101074,-2.180664,2.4458008,1,4,38
3.1430664,-1.4365234,2.2304688,1,4,39
2.6899414,-0.1694336,2.0004883,1,4,40
3.902832,0.6166992,1.8330078,1,4,41
4.9418945,1.0102539,1.7163086,1,4,42
3.5996094,0.9453125,1.1577148,1,4,43
3.9399414,0.7246094,1.6069336,1,4,44
3.972168,0.6352539,1.4394531,1,4,45
3.7050781,0.5366211,1.3491211,1,4,46
3.491211,0.29052734,1.2768555,1,4,47
3.5668945,0.115722656,1.2680664,1,4,48
3.1689453,0.2685547,1.1425781,1,4,49
2.9672852,0.31689453,1.1479492,1,4,50
2.7563477,0.09326172,0.9404297,1,4,51
2.3613281,-0.015625,0.82470703,1,4,52
1.8032227,-0.24316406,0.80322266,1,4,53
1.1176758,-0.74658203,0.6201172,1,4,54
0.6743164,-0.54296875,1.0429688,1,4,55
0.34960938,-0.6567383,1.2299805,1,4,56
0.31640625,-0.52734375,1.2768555,1,4,57
-0.15771484,-0.51660156,1.2148438,1,4,58
-0.3383789,-0.09375,1.078125,1,4,59
-0.32177734,0.5498047,1.6645508,1,4,60
-0.45361328,0.6118164,1.8120117,1,4,61
-1.3198242,-0.18408203,1.2739258,1,4,62
-1.7583008,0.30517578,1.2109375,1,4,63
-1.4438477,0.3095703,0.8857422,1,4,64
-1.1821289,0.20605469,0.72265625,1,4,65
-0.5878906,0.4716797,1.2880859,1,4,66
-0.2680664,0.21582031,1.3120117,1,4,67
-0.017089844,0.5283203,2.1469727,1,4,68
0.20117188,1.7128906,3.8964844,1,4,69
1.0849609,2.0722656,4.3154297,1,4,70
1.328125,-1.4956055,2.5717773,1,4,71
4.498047,-3.5283203,2.4223633,1,4,72
10.912598,-0.90722656,1.487793,1,4,73
5.447754,0.50683594,2.7280273,1,4,74
3.2670898,2.6240234,2.8579102,1,4,75
4.479004,2.4345703,2.1816406,1,4,76
3.0932617,0.9814453,2.1264648,1,4,77
4.294922,0.044921875,2.0214844,1,4,78
4.642578,-0.82470703,1.5410156,1,4,79
4.840332,-0.4248047,1.4794922,1,4,80
3.6176758,-0.27392578,1.5834961,1,4,81
3.821289,-0.37695312,1.0664062,1,4,82
3.3759766,-0.5361328,1.1650391,1,4,83
3.540039,-0.2783203,1.2988281,1,4,84
3.4501953,-0.014160156,1.2578125,1,4,85
3.109375,-0.041015625,1.1601562,1,4,86
2.7426758,0.3071289,1.1328125,1,4,87
2.425293,0.16699219,0.92333984,1,4,88
1.7758789,0.4555664,0.9902344,1,4,89
1.3413086,0.3803711,0.7524414,1,4,90
1.0712891,0.46533203,0.77978516,1,4,91
0.6816406,0.6347656,0.8364258,1,4,92
0.56689453,0.5517578,0.8901367,1,4,93
0.51660156,0.32421875,1.0400391,1,4,94
0.4165039,-0.22509766,1.2290039,1,4,95
0.1928711,-0.83496094,1.4892578,1,4,96
0.08154297,-1.3037109,1.6435547,1,4,97
-0.53759766,-0.6845703,1.690918,1,4,98
-1.6254883,-0.06640625,1.2700195,1,4,99
-1.7514648,0.07910156,1.2197266,1,4,100
-1.4731445,0.059570312,1.1137695,1,4,101
-1.027832,-0.14501953,1.246582,1,4,102
-0.48779297,-0.75097656,1.3916016,1,4,103
-0.03466797,-0.86376953,1.9921875,1,4,104
-0.024414062,-0.7182617,2.6254883,1,4,105
-0.16796875,-0.72265625,3.072754,1,4,106
0.2866211,-0.27783203,2.8857422,1,4,107
1.1118164,2.3676758,2.322754,1,4,108
4.6088867,1.8085938,1.5595703,1,4,109
13.634766,-0.27929688,1.378418,1,4,110
2.1923828,-1.6142578,2.8588867,1,4,111
3.7749023,-1.8691406,3.5864258,1,4,112
4.779297,-1.4599609,2.284668,1,4,113
2.709961,-0.047851562,2.1586914,1,4,114
3.2402344,0.6484375,1.7856445,1,4,115
4.4106445,0.7446289,1.7470703,1,4,116
4.1186523,0.71240234,1.3261719,1,4,117
4.788086,0.4033203,1.1542969,1,4,118
2.6879883,0.1796875,1.4458008,1,4,119
4.4848633,0.12158203,1.0458984,1,4,120
3.4970703,0.21972656,0.99853516,1,4,121
3.3515625,0.18652344,1.0776367,1,4,122
3.1635742,0.0024414062,1.0463867,1,4,123
2.9311523,0.11035156,0.8935547,1,4,124
2.7583008,0.29052734,1.0610352,1,4,125
2.5180664,-0.122558594,0.8691406,1,4,126
1.9453125,-0.27685547,0.72558594,1,4,127
1.3330078,-0.71435547,0.81884766,1,4,128
0.90966797,-0.66552734,1.0400391,1,4,129
0.6542969,-0.4736328,1.2651367,1,4,130
0.54785156,-0.33642578,1.4047852,1,4,131
-0.13964844,-0.4296875,1.4194336,1,4,132
0.009277344,0.6010742,1.6713867,1,4,133
-0.32617188,0.4482422,1.7763672,1,4,134
-0.52246094,0.5395508,1.6860352,1,4,135
-1.815918,-0.0126953125,1.1796875,1,4,136
-2.097168,0.11816406,1.1123047,1,4,137
-1.8603516,0.008300781,1.0219727,1,4,138
-1.1621094,0.43066406,1.159668,1,4,139
-0.51220703,0.7392578,1.0541992,1,4,140
0.07519531,0.6855469,1.1523438,1,4,141
0.028320312,0.53564453,2.2270508,1,4,142
-0.18261719,1.2314453,3.6171875,1,4,143
0.96875,1.53125,4.064453,1,4,144
1.6020508,-2.104004,2.2958984,1,4,145
7.289551,-3.5175781,1.5488281,1,4,146
13.948242,-1.0532227,2.6918945,1,4,147
2.3208008,1.4985352,3.4501953,1,4,148
5.5649414,2.8251953,3.1020508,1,4,149
3.0673828,1.3037109,2.0273438,1,4,150
2.416504,0.2421875,2.3989258,1,4,151
3.7270508,-0.31640625,2.008789,1,4,152
5.043457,-0.74609375,1.4501953,1,4,153
4.592285,-0.4038086,1.1118164,1,4,154
3.3232422,-0.24902344,1.6679688,1,4,155
3.6142578,-0.6982422,1.1196289,1,4,156
3.4614258,-0.7446289,1.0288086,1,4,157
3.5263672,-0.4633789,1.3720703,1,4,158
3.6357422,0.09375,1.1914062,1,4,159
3.0961914,-0.13330078,1.15625,1,4,160
3.025879,0.45703125,1.0019531,1,4,161
2.7138672,0.3876953,1.078125,1,4,162
2.0493164,0.38964844,0.78125,1,4,163
1.4619141,0.36865234,0.7866211,1,4,164
0.9765625,0.5961914,0.71191406,1,4,165
0.68359375,0.7441406,0.80078125,1,4,166
0.51220703,0.70166016,0.7504883,1,4,167
0.5292969,0.5727539,0.8823242,1,4,168
0.5385742,0.100097656,0.7631836,1,4,169
0.14208984,-0.5395508,1.3017578,1,4,170
0.14794922,-1.2524414,1.3950195,1,4,171
-0.32763672,-1.1347656,1.7280273,1,4,172
-1.534668,-0.16113281,1.1630859,1,4,173
-1.7470703,-0.11230469,1.1166992,1,4,174
-1.5820312,-0.041015625,0.98046875,1,4,175
-0.9682617,-0.59375,0.9584961,1,4,176
-0.4555664,-0.53466797,1.4433594,1,4,177
0.06591797,-1.0429688,2.2636719,1,4,178
-0.025390625,-0.88378906,2.8603516,1,4,179
-0.3046875,-1.2563477,3.0405273,1,4,180
0.72802734,0.3623047,3.046875,1,4,181
1.4472656,1.9736328,1.9638672,1,4,182
3.9907227,1.3803711,1.425293,1,4,183
14.937988,-1.0571289,0.8676758,1,4,184
1.3027344,-0.6743164,3.5498047,1,4,185
1.4604492,-1.7270508,2.6728516,1,4,186
4.8916016,-0.9501953,2.265625,1,4,187
2.8857422,0.3305664,1.8554688,1,4,188
3.90625,0.80126953,1.5292969,1,4,189
4.291504,0.83740234,1.6777344,1,4,190
4.442383,0.6694336,1.4047852,1,4,191
3.71875,0.5571289,1.2431641,1,4,192
4.064453,0.4921875,1.2143555,1,4,193
4.044922,0.20410156,1.1176758,1,4,194
3.9614258,0.111328125,1.1992188,1,4,195
3.4238281,0.08251953,1.1523438,1,4,196
3.090332,0.32080078,1.1245117,1,4,197
3.0512695,0.16308594,0.9995117,1,4,198
2.900879,-0.060058594,0.8852539,1,4,199
2.6201172,-0.06542969,0.7480469,1,4,200
2.1166992,-0.3359375,0.8852539,1,4,201
1.1669922,-1.050293,0.5229492,1,4,202
0.6533203,-1.2851562,0.7817383,1,4,203
0.5288086,-0.73779297,1.1557617,1,4,204
0.47705078,-0.40283203,1.2553711,1,4,205
0.30273438,-0.5703125,1.331543,1,4,206
-0.171875,-0.12695312,1.1318359,1,4,207
-0.27978516,0.58154297,1.5146484,1,4,208
-0.65625,0.51220703,1.2416992,1,4,209
-0.75390625,-0.07910156,1.6660156,1,4,210
-1.8334961,0.22021484,1.5126953,1,4,211
-1.847168,-0.0078125,1.2446289,1,4,212
-1.4804688,0.12597656,1.0117188,1,4,213
-0.89746094,0.4716797,1.2480469,1,4,214
-0.30029297,0.7050781,1.7441406,1,4,215
0.037597656,0.60595703,2.5541992,1,4,216
-0.27539062,1.4008789,3.3085938,1,4,217
1.1298828,0.9794922,3.137207,1,4,218
1.5083008,-1.3393555,2.0322266,1,4,219
3.9780273,-1.8979492,2.2373047,1,4,220
14.534668,0.296875,1.4882812,1,4,221
3.7163086,0.19091797,2.6953125,1,4,222
2.5234375,3.2172852,3.3769531,1,4,223
4.665039,1.6699219,1.8305664,1,4,224
2.7436523,0.58740234,2.2617188,1,4,225
3.6342773,0.14160156,1.9223633,1,4,226
4.347168,-0.12695312,1.7128906,1,4,227
4.434082,-0.4243164,1.4394531,1,4,228
3.9501953,-0.47705078,1.2905273,1,4,229
3.0405273,-0.5917969,1.2119141,1,4,230
3.0864258,-0.72998047,1.1430664,1,4,231
3.2338867,-0.60058594,1.2382812,1,4,232
3.1953125,-0.115722656,1.1689453,1,4,233
3.2460938,0.13330078,1.1743164,1,4,234
2.8686523,0.119628906,1.1489258,1,4,235
2.6030273,0.23486328,1.1137695,1,4,236
2.0981445,0.28710938,1.0029297,1,4,237
1.6137695,0.29003906,0.9980469,1,4,238
0.9926758,0.22753906,0.875,1,4,239
0.6796875,0.65966797,1.0224609,1,4,240
0.3828125,0.6142578,1.1630859,1,4,241
0.26611328,0.3798828,1.1645508,1,4,242
0.087402344,-0.15332031,1.1977539,1,4,243
-0.0078125,-0.8515625,1.1425781,1,4,244
-0.25927734,-0.93115234,1.3569336,1,4,245
-0.7392578,-0.59375,1.6337891,1,4,246
-1.8261719,-0.068359375,1.1425781,1,4,247
-1.9248047,0.072265625,0.93896484,1,4,248
-1.6728516,0.114746094,0.90527344,1,4,249
-0.9628906,-0.4975586,0.95458984,1,4,250
-0.234375,-1.0541992,1.5786133,1,4,251
-0.0146484375,-0.98291016,2.4550781,1,4,252
-0.13964844,-0.84765625,3.0341797,1,4,253
0.0043945312,-1.4418945,2.9902344,1,4,254
1.2646484,1.4433594,2.553711,1,4,1
3.4101562,2.3808594,1.5717773,1,4,2
15.118164,-0.43945312,0.047851562,1,4,3
4.163574,-0.80615234,3.3759766,1,4,4
3.0576172,-1.8032227,3.2895508,1,4,5
5.109375,-2.836914,2.4794922,1,4,6
2.8945312,-0.4716797,2.0356445,1,4,7
3.3774414,0.5410156,2.0336914,1,4,8
4.3759766,0.97558594,1.8457031,1,4,9
4.1796875,1.0205078,1.5756836,1,4,10
3.6513672,0.60791016,1.2392578,1,4,11
3.9970703,0.50927734,1.3945312,1,4,12
3.4902344,0.42089844,1.1616211,1,4,13
3.5361328,0.16015625,1.1821289,1,4,14
3.7197266,0.041015625,1.2133789,1,4,15
3.2299805,0.0546875,1.0869141,1,4,16
2.880371,0.03125,1.0097656,1,4,17
2.7416992,0.4140625,1.2148438,1,4,18
2.5332031,0.23583984,0.7373047,1,4,19
2.114746,-0.19091797,0.6855469,1,4,20
1.4506836,-0.46142578,0.6694336,1,4,21
0.89941406,-0.89501953,0.6640625,1,4,22
0.5366211,-0.7685547,1.1030273,1,4,23
0.46826172,-0.51220703,1.253418,1,4,24
0.09326172,-0.32421875,1.4086914,1,4,25
-0.21484375,-0.18457031,1.3676758,1,4,26
-0.12011719,0.7788086,1.5874023,1,4,27
-0.26464844,0.87890625,1.5576172,1,4,28
-1.262207,0.125,1.1289062,1,4,29
-1.8525391,-0.012207031,1.1777344,1,4,30
-2.0263672,-0.048339844,1.1030273,1,4,31
-1.3847656,0.4975586,1.1323242,1,4,32
-0.46875,0.51953125,1.390625,1,4,33
-0.1274414,0.5644531,1.9331055,1,4,34
-0.23291016,0.5341797,2.7207031,1,4,35
0.61035156,1.5742188,3.7436523,1,4,36
1.1367188,-0.25,2.4458008,1,4,37
1.7021484,-1.6728516,2.1000977,1,4,38
7.8549805,-2.5708008,1.0107422,1,4,39
12.566895,-0.72021484,2.915039,1,4,40
1.7285156,1.4301758,3.105957,1,4,41
5.9624023,2.3305664,2.7480469,1,4,42
3.4072266,1.012207,1.8344727,1,4,43
2.887207,0.19482422,2.1640625,1,4,44
3.7890625,-0.140625,1.8251953,1,4,45
5.098633,-0.28808594,1.543457,1,4,46
4.463379,-0.29541016,1.5185547,1,4,47
3.4926758,-0.43847656,1.2124023,1,4,48
3.2109375,-0.8701172,1.1796875,1,4,49
3.2338867,-0.9741211,1.2841797,1,4,50
3.3261719,-0.5185547,1.059082,1,4,51
3.2246094,0.019042969,1.2509766,1,4,52
2.9467773,0.2319336,1.1811523,1,4,53
2.7661133,0.15283203,1.1201172,1,4,54
2.3618164,0.14355469,1.0244141,1,4,55
1.6831055,0.38867188,1.0214844,1,4,56
1.1206055,0.45996094,0.86083984,1,4,57
0.81591797,0.67578125,1.0058594,1,4,58
0.45214844,0.5341797,1.,1,4,59
0.41845703,0.3251953,1.0839844,1,4,60
0.18457031,0.024414062,1.2407227,1,4,61
0.038085938,-0.51660156,1.2563477,1,4,62
-0.103515625,-0.8364258,1.394043,1,4,63
-0.4892578,-0.75439453,1.5805664,1,4,64
-1.7236328,0.010253906,1.2192383,1,4,65
-1.7792969,0.023925781,1.1103516,1,4,66
-1.7324219,0.10449219,0.83691406,1,4,67
-1.1962891,-0.21240234,0.8154297,1,4,68
-0.28173828,-0.9501953,1.284668,1,4,69
0.15234375,-1.1401367,1.8330078,1,4,70
0.17822266,-0.86865234,2.5263672,1,4,71
-0.28466797,-0.85253906,3.0161133,1,4,72
0.7182617,-0.83447266,3.5600586,1,4,73
1.5273438,2.4560547,2.4648438,1,4,74
5.7905273,2.446289,1.4233398,1,4,75
15.966797,-0.26367188,1.8564453,1,4,76
0.62402344,-1.0913086,3.7993164,1,4,77
4.2700195,-3.1367188,2.7612305,1,4,78
3.7045898,-1.3789062,2.137207,1,4,79
2.5737305,-0.00048828125,2.1166992,1,4,80
3.7612305,0.77734375,1.9643555,1,4,81
4.496582,1.0185547,1.6928711,1,4,82
4.114258,0.85009766,1.4868164,1,4,83
3.8876953,0.5571289,1.3720703,1,4,84
3.5029297,0.4345703,1.2749023,1,4,85
3.7939453,0.14892578,1.3168945,1,4,86
3.5800781,-0.0390625,1.2050781,1,4,87
3.5317383,-0.1694336,1.1166992,1,4,88
3.0429688,0.106933594,1.012207,1,4,89
2.8354492,0.16259766,1.0898438,1,4,90
2.7539062,-0.043945312,0.9897461,1,4,91
2.4248047,-0.059570312,0.8540039,1,4,92
1.8994141,-0.36621094,0.7944336,1,4,93
1.2568359,-0.5800781,0.8041992,1,4,94
0.75634766,-1.1044922,0.80078125,1,4,95
0.5810547,-0.7792969,1.1723633,1,4,96
0.35107422,-0.28271484,1.3408203,1,4,97
0.09814453,-0.21777344,1.1977539,1,4,98
-0.00048828125,0.53564453,1.3583984,1,4,99
-0.28173828,1.0449219,1.6928711,1,4,100
-0.4790039,0.83154297,1.671875,1,4,101
-1.1899414,0.06738281,1.309082,1,4,102
-1.9345703,0.3828125,1.2338867,1,4,103
-1.8476562,0.43164062,1.2641602,1,4,104
-1.3842773,0.19824219,1.0571289,1,4,105
-0.85839844,-0.088378906,1.0864258,1,4,106
-0.31591797,0.44726562,1.9082031,1,4,107
-0.04248047,0.80908203,2.8544922,1,4,108
0.8774414,1.8725586,3.8139648,1,4,109
1.2456055,0.32177734,2.833496,1,4,110
1.9570312,-1.7177734,2.246582,1,4,111
11.36377,-3.1298828,-0.0029296875,1,4,112
10.147949,-1.6191406,2.8452148,1,4,113
0.75390625,2.1518555,3.28125,1,4,114
5.897461,2.6201172,2.369629,1,4,115
2.9458008,0.89404297,1.8476562,1,4,116
2.7441406,-0.0625,2.0410156,1,4,117
3.987793,-0.42919922,1.7387695,1,4,118
5.0844727,-0.45947266,1.3388672,1,4,119
4.022949,-0.49853516,1.2480469,1,4,120
3.2001953,-0.5888672,1.1513672,1,4,121
2.7626953,-1.0180664,1.1293945,1,4,122
3.0581055,-0.8388672,1.3588867,1,4,123
3.3686523,-0.24902344,1.1245117,1,4,124
3.1865234,0.2397461,1.2265625,1,4,125
2.9067383,0.2993164,1.0610352,1,4,126
2.6240234,0.39697266,1.2783203,1,4,127
2.1582031,0.41015625,0.9848633,1,4,128
1.4838867,0.5263672,1.0498047,1,4,129
1.0966797,0.5541992,0.89160156,1,4,130
0.75683594,0.6743164,1.0625,1,4,131
0.578125,0.49316406,1.2382812,1,4,132
0.44091797,0.14941406,1.2006836,1,4,133
0.3359375,-0.30566406,1.2519531,1,4,134
0.0703125,-0.75390625,1.3359375,1,4,135
-0.14746094,-0.9194336,1.5058594,1,4,136
-0.64453125,-0.51708984,1.7163086,1,4,137
-1.6611328,-0.1640625,1.2436523,1,4,138
-1.9560547,-0.017578125,0.83691406,1,4,139
-1.6542969,-0.15722656,0.6557617,1,4,140
-0.9453125,0.2709961,1.0322266,1,4,141
-0.34960938,-0.6279297,1.3583984,1,4,142
0.11816406,-0.7788086,2.152832,1,4,143
-0.20800781,-0.48828125,2.9482422,1,4,144
0.0014648438,-1.2773438,3.0595703,1,4,145
1.2919922,0.6660156,3.4213867,1,4,146
2.2358398,2.4926758,1.9609375,1,4,147
8.369141,1.1567383,1.2714844,1,4,148
12.311035,0.123046875,2.9975586,1,4,149
2.4682617,-0.79248047,3.2851562,1,4,150
5.104492,-2.784668,2.7963867,1,4,151
3.0585938,-0.80371094,1.8334961,1,4,152
2.9233398,0.37890625,1.9057617,1,4,153
4.1552734,1.1542969,1.7353516,1,4,154
4.4033203,1.3198242,1.4638672,1,4,155
3.7485352,0.9819336,1.3076172,1,4,156
3.5756836,0.68847656,1.3085938,1,4,157
3.7407227,0.5942383,1.324707,1,4,158
3.762207,0.1586914,1.2182617,1,4,159
3.706543,-0.28320312,1.2460938,1,4,160
3.2998047,-0.23828125,0.95947266,1,4,161
3.2597656,-0.2944336,0.8911133,1,4,162
2.9541016,0.14746094,1.0493164,1,4,163
2.7451172,-0.118652344,1.0097656,1,4,164
2.1914062,-0.17041016,0.90527344,1,4,165
1.6157227,-0.7675781,0.6982422,1,4,166
1.1030273,-0.64160156,0.85546875,1,4,167
0.7578125,-0.60009766,1.2426758,1,4,168
0.50634766,-0.26757812,1.425293,1,4,169
0.38476562,-0.31445312,1.4433594,1,4,170
-0.2578125,-0.3305664,1.175293,1,4,171
-0.3076172,0.76464844,1.4975586,1,4,172
-0.61328125,0.75878906,1.2729492,1,4,173
-0.85058594,0.05810547,1.4082031,1,4,174
-1.7529297,0.18701172,1.2749023,1,4,175
-1.9819336,-0.071777344,0.8979492,1,4,176
-1.6464844,0.31103516,0.9555664,1,4,177
-0.91503906,0.07861328,1.1005859,1,4,178
-0.41308594,0.12158203,1.1455078,1,4,179
-0.20605469,0.068847656,1.7421875,1,4,180
-0.23925781,0.5708008,3.2509766,1,4,181
0.9165039,1.7954102,4.3867188,1,4,182
1.0131836,-0.06298828,2.6523438,1,4,183
2.1582031,-2.022461,2.168457,1,4,184
13.715332,-2.3735352,-0.17236328,1,4,185
8.02832,-1.2983398,2.946289,1,4,186
3.5751953,3.222168,3.3310547,1,4,187
4.7285156,2.597168,1.7568359,1,4,188
2.3422852,0.94091797,2.0083008,1,4,189
2.963379,0.028320312,2.1225586,1,4,190
3.913086,-0.47021484,1.8046875,1,4,191
5.158203,-0.43017578,1.2426758,1,4,192
3.9750977,-0.56640625,1.2563477,1,4,193
3.475586,-0.6113281,1.0292969,1,4,194
2.8408203,-0.91503906,1.1455078,1,4,195
3.2280273,-0.64941406,1.2705078,1,4,196
3.7158203,0.020996094,1.2236328,1,4,197
3.2514648,0.24511719,1.1420898,1,4,198
3.0546875,0.47265625,1.0229492,1,4,199
2.645996,0.27490234,1.03125,1,4,200
2.2250977,0.58251953,0.9916992,1,4,201
1.6230469,0.40039062,0.9169922,1,4,202
1.1147461,0.41308594,0.9355469,1,4,203
0.89501953,0.6376953,1.0517578,1,4,204
0.6279297,0.5620117,1.137207,1,4,205
0.47705078,0.43701172,1.3359375,1,4,206
0.34716797,-0.36621094,1.2929688,1,4,207
0.12792969,-0.98339844,1.3188477,1,4,208
-0.056640625,-1.1948242,1.5786133,1,4,209
-0.68847656,-0.9194336,1.6293945,1,4,210
-1.5976562,-0.16748047,1.2451172,1,4,211
-1.847168,0.114746094,1.0161133,1,4,212
-1.6977539,0.16503906,0.73291016,1,4,213
-1.105957,-0.25830078,0.89160156,1,4,214
-0.39453125,-0.9277344,1.2202148,1,4,215
0.16552734,-0.79785156,1.7480469,1,4,216
0.048828125,-0.71240234,2.5654297,1,4,217
-0.30810547,-0.83154297,3.1333008,1,4,218
0.6303711,-1.0175781,3.6503906,1,4,219
1.3994141,2.3271484,2.4516602,1,4,220
4.7001953,2.6845703,1.777832,1,4,221
15.999512,-0.2265625,0.85546875,1,4,222
4.0058594,-0.2241211,3.8027344,1,4,223
5.5273438,-3.0141602,2.8706055,1,4,224
3.309082,-1.5249023,1.8583984,1,4,225
2.2172852,-0.19482422,1.8056641,1,4,226
3.484375,0.5859375,1.8583984,1,4,227
4.323242,0.82958984,1.5,1,4,228
4.713867,0.9404297,1.4091797,1,4,229
3.3549805,0.79541016,1.2514648,1,4,230
3.6542969,0.5991211,1.3637695,1,4,231
3.8515625,0.14990234,1.1728516,1,4,232
3.790039,-0.047851562,1.175293,1,4,233
3.1538086,0.0034179688,1.2211914,1,4,234
2.6948242,-0.020996094,1.1088867,1,4,235
2.8417969,-0.07861328,1.0307617,1,4,236
2.7075195,0.1303711,0.7011719,1,4,237
2.3208008,-0.45507812,0.64453125,1,4,238
1.5957031,-0.64404297,0.55078125,1,4,239
1.0883789,-0.85009766,0.734375,1,4,240
0.8461914,-0.40039062,1.0830078,1,4,241
0.58935547,-0.15576172,1.3291016,1,4,242
0.578125,-0.2841797,1.418457,1,4,243
0.06298828,-0.15039062,1.3037109,1,4,244
-0.30908203,0.69140625,1.4472656,1,4,245
-0.4609375,0.94140625,1.4213867,1,4,246
-0.859375,0.25927734,1.3930664,1,4,247
-1.6762695,-0.04248047,1.152832,1,4,248
-1.9296875,0.09326172,1.0249023,1,4,249
