"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",58,"unknown"
1,"peaks[1]",91,"unknown"
1,"peaks[2]",124,"unknown"
1,"peaks[3]",159,"unknown"
1,"peaks[4]",193,"unknown"
1,"peaks[5]",227,"unknown"
1,"peaks[6]",261,"unknown"
1,"peaks[7]",294,"unknown"
1,"peaks[8]",327,"unknown"
1,"peaks[9]",361,"unknown"
1,"peaks[10]",395,"unknown"
1,"peaks[11]",428,"unknown"
1,"peaks[12]",461,"unknown"
1,"peaks[13]",494,"unknown"
1,"peaks[14]",527,"unknown"
1,"peaks[15]",560,"unknown"
1,"peaks[16]",595,"unknown"
1,"peaks[17]",627,"unknown"
1,"peaks[18]",662,"unknown"
1,"peaks[19]",695,"unknown"
1,"peaks[20]",729,"unknown"
1,"peaks[21]",761,"unknown"
1,"peaks[22]",794,"unknown"
1,"peaks[23]",828,"unknown"
1,"peaks[24]",862,"unknown"
1,"peaks[25]",894,"unknown"
1,"peaks[26]",929,"unknown"
1,"peaks[27]",962,"unknown"
1,"peaks[28]",995,"unknown"
1,"peaks[29]",1028,"unknown"
1,"peaks[30]",1061,"unknown"
1,"peaks[31]",1092,"unknown"
1,"peaks[32]",1125,"unknown"
1,"peaks[33]",1158,"unknown"
1,"peaks[34]",1190,"unknown"
1,"peaks[35]",1223,"unknown"
1,"peaks[36]",1256,"unknown"
1,"peaks[37]",1289,"unknown"
1,"peaks[38]",1322,"unknown"
1,"peaks[39]",1354,"unknown"
1,"peaks[40]",1389,"unknown"
1,"peaks[41]",1421,"unknown"
1,"peaks[42]",1456,"unknown"
1,"peaks[43]",1489,"unknown"
1,"peaks[44]",1523,"unknown"
1,"peaks[45]",1556,"unknown"
1,"peaks[46]",1591,"unknown"
1,"peaks[47]",1624,"unknown"
1,"peaks[48]",1658,"unknown"
1,"peaks[49]",1692,"unknown"
1,"peaks[50]",1726,"unknown"
1,"peaks[51]",1759,"unknown"
1,"peaks[52]",1793,"unknown"
1,"peaks[53]",1827,"unknown"
1,"peaks[54]",1862,"unknown"
1,"peaks[55]",1896,"unknown"
1,"peaks[56]",1930,"unknown"
1,"peaks[57]",1963,"unknown"
1,"peaks[58]",1997,"unknown"
1,"peaks[59]",2030,"unknown"
1,"peaks[60]",2064,"unknown"
1,"peaks[61]",2098,"unknown"
1,"peaks[62]",2131,"unknown"
1,"peaks[63]",2165,"unknown"
1,"peaks[64]",2199,"unknown"
1,"peaks[65]",2232,"unknown"
1,"peaks[66]",2267,"unknown"
1,"peaks[67]",2301,"unknown"
1,"peaks[68]",2335,"unknown"
1,"peaks[69]",2368,"unknown"
1,"peaks[70]",2402,"unknown"
1,"peaks[71]",2436,"unknown"
1,"peaks[72]",2470,"unknown"
1,"peaks[73]",2503,"unknown"
1,"peaks[74]",2537,"unknown"
1,"peaks[75]",2571,"unknown"
1,"peaks[76]",2604,"unknown"
1,"peaks[77]",2636,"unknown"
1,"peaks[78]",2669,"unknown"
1,"peaks[79]",2703,"unknown"
1,"peaks[80]",2735,"unknown"
1,"peaks[81]",2769,"unknown"
1,"peaks[82]",2803,"unknown"
1,"peaks[83]",2835,"unknown"
1,"peaks[84]",2870,"unknown"
1,"peaks[85]",2902,"unknown"
1,"peaks[86]",2936,"unknown"
