"x","y","z","interval_no","runtype","packet_no"
0.17919922,-0.36035156,1.1435547,1,4,1
-0.1875,-0.58691406,1.0244141,1,4,2
-1.1391602,-0.79052734,1.1074219,1,4,3
-1.4165039,-0.5004883,1.2617188,1,4,4
-1.4453125,-0.14648438,1.2670898,1,4,5
-1.5356445,0.060546875,1.0893555,1,4,6
-1.5024414,0.24902344,1.2529297,1,4,7
-1.2089844,0.5209961,1.1479492,1,4,8
-0.7939453,0.6044922,1.2539062,1,4,9
-0.25634766,0.8984375,1.9125977,1,4,10
0.40771484,1.1611328,2.9125977,1,4,11
0.75927734,1.1333008,3.2890625,1,4,12
0.70166016,-0.22314453,1.984375,1,4,13
1.5644531,-1.1518555,2.020996,1,4,14
5.001465,-1.3442383,2.0273438,1,4,15
9.067871,0.37841797,1.4355469,1,4,16
6.543457,1.6542969,2.4155273,1,4,17
5.0322266,2.2456055,2.1401367,1,4,18
3.4199219,0.71777344,1.9199219,1,4,19
3.0927734,-0.07763672,1.9428711,1,4,20
3.5200195,0.17578125,1.6523438,1,4,21
4.6992188,0.1328125,1.4267578,1,4,22
4.317383,-0.23583984,1.0839844,1,4,23
3.324707,-0.30419922,1.065918,1,4,24
3.5957031,-0.5517578,1.0068359,1,4,25
4.614258,0.46728516,0.8232422,1,4,26
3.1479492,-0.25048828,1.0175781,1,4,27
3.7822266,0.99560547,0.79589844,1,4,28
2.8588867,-0.048339844,0.9194336,1,4,29
3.0874023,1.2773438,0.99658203,1,4,30
2.584961,-0.54003906,0.8564453,1,4,31
2.1694336,0.22802734,0.9692383,1,4,32
1.1674805,0.84472656,0.8769531,1,4,33
1.0947266,-0.015625,1.0581055,1,4,34
0.8876953,-0.0073242188,1.0893555,1,4,35
0.5361328,-0.12402344,1.1635742,1,4,36
0.31201172,-0.06347656,1.1738281,1,4,37
0.2626953,-0.15771484,1.1791992,1,4,38
-1.1455078,0.30322266,1.293457,1,4,39
-1.402832,0.12451172,1.4174805,1,4,40
-1.5,0.05029297,1.3056641,1,4,41
-1.5375977,-0.1538086,1.3623047,1,4,42
-1.4238281,-0.40771484,1.4052734,1,4,43
-1.1884766,-0.80810547,1.3242188,1,4,44
-0.7216797,-1.0888672,1.6767578,1,4,45
-0.19628906,-1.1328125,2.5322266,1,4,46
0.35253906,-0.98828125,3.1728516,1,4,47
0.72265625,-0.48876953,2.8945312,1,4,48
0.62841797,1.4199219,1.8276367,1,4,49
2.1425781,2.4091797,1.0913086,1,4,50
5.361328,1.5419922,0.91845703,1,4,51
7.1708984,-0.16113281,2.1533203,1,4,52
5.8911133,-1.3305664,2.3588867,1,4,53
5.1098633,-1.5883789,2.2661133,1,4,54
3.7729492,-0.15673828,2.0200195,1,4,55
3.4677734,0.80371094,1.8725586,1,4,56
3.71875,0.9355469,1.6479492,1,4,57
3.7104492,1.0644531,1.4985352,1,4,58
3.6635742,0.9716797,1.3515625,1,4,59
3.8945312,0.87060547,1.0493164,1,4,60
3.8920898,0.6098633,1.0966797,1,4,61
4.425293,-0.0087890625,0.8334961,1,4,62
3.6108398,0.5185547,1.0083008,1,4,63
3.2016602,0.5761719,1.0927734,1,4,64
3.637207,0.2548828,0.8178711,1,4,65
3.1210938,0.5605469,1.0722656,1,4,66
3.055664,0.49023438,1.1132812,1,4,67
2.9516602,-0.31982422,0.7734375,1,4,68
2.0952148,-0.18652344,0.8432617,1,4,69
1.722168,0.028808594,1.0209961,1,4,70
1.2133789,-0.18408203,0.97802734,1,4,71
0.70166016,-0.57373047,1.0991211,1,4,72
0.4086914,-0.43652344,1.2368164,1,4,73
0.19042969,-0.5058594,1.1386719,1,4,74
0.17138672,-0.5600586,0.85498047,1,4,75
-1.2373047,-1.0610352,0.8779297,1,4,76
-1.7602539,-0.67333984,1.0932617,1,4,77
-1.7099609,-0.3305664,1.2734375,1,4,78
-1.652832,0.0087890625,1.2661133,1,4,79
-1.4511719,0.23779297,1.1875,1,4,80
-1.2128906,0.82128906,1.2578125,1,4,81
-0.8432617,1.1713867,1.4672852,1,4,82
-0.42382812,1.3276367,2.069336,1,4,83
0.29833984,1.4262695,2.9541016,1,4,84
0.6948242,1.2832031,3.2583008,1,4,85
0.7895508,-0.1850586,2.0717773,1,4,86
1.7114258,-1.5532227,1.7460938,1,4,87
5.794922,-1.9335938,1.3818359,1,4,88
7.915039,0.09082031,1.4594727,1,4,89
6.36084,1.4672852,2.5107422,1,4,90
5.5791016,2.119629,2.4433594,1,4,91
4.0092773,1.1679688,2.0112305,1,4,92
3.5488281,0.26123047,2.3286133,1,4,93
3.6904297,0.19726562,2.0141602,1,4,94
3.6689453,0.0087890625,1.5327148,1,4,95
4.1967773,-0.3203125,1.4731445,1,4,96
4.28125,-0.35546875,1.1635742,1,4,97
2.9140625,-0.51904297,1.1801758,1,4,98
3.2182617,-0.48632812,1.1162109,1,4,99
4.317383,0.48242188,1.0756836,1,4,100
2.8188477,-0.44189453,0.9189453,1,4,101
3.0981445,0.22558594,1.0185547,1,4,102
3.086914,0.84033203,0.6201172,1,4,103
2.5639648,-0.53564453,1.2724609,1,4,104
2.3793945,0.36376953,0.94384766,1,4,105
1.9423828,0.23876953,0.7470703,1,4,106
1.4082031,0.39746094,0.9794922,1,4,107
1.0195312,0.041015625,0.84716797,1,4,108
0.6665039,0.11767578,0.99365234,1,4,109
0.45117188,-0.08105469,0.9785156,1,4,110
0.2446289,-0.20507812,1.0483398,1,4,111
-0.9423828,0.22851562,1.0898438,1,4,112
-1.355957,0.08691406,1.3173828,1,4,113
-1.3920898,-0.0078125,1.3227539,1,4,114
-1.5620117,-0.17578125,1.5439453,1,4,115
-1.6000977,-0.36816406,1.2719727,1,4,116
-1.3598633,-0.4946289,0.9902344,1,4,117
-0.8852539,-0.69628906,1.1655273,1,4,118
-0.35009766,-0.8852539,1.5712891,1,4,119
0.3701172,-1.2231445,2.2592773,1,4,120
0.8339844,-1.1362305,3.1972656,1,4,121
1.0395508,-0.7314453,3.2109375,1,4,122
1.0751953,1.621582,2.7460938,1,4,123
2.9350586,3.269043,1.1518555,1,4,124
7.1376953,1.7250977,0.93603516,1,4,125
6.07959,-0.6816406,2.1811523,1,4,126
5.274414,-1.6523438,2.369629,1,4,127
4.86084,-1.6816406,2.3461914,1,4,128
3.7197266,-0.029785156,2.1694336,1,4,129
3.8779297,0.76660156,1.9521484,1,4,130
3.9047852,0.86083984,1.7055664,1,4,131
3.7680664,0.65283203,1.6210938,1,4,132
3.309082,0.7919922,1.4658203,1,4,133
3.6655273,0.8066406,1.3862305,1,4,134
3.4638672,0.71240234,1.3505859,1,4,135
5.1816406,-0.3725586,0.8310547,1,4,136
3.28125,0.5419922,1.1826172,1,4,137
2.791504,0.6225586,1.1430664,1,4,138
3.333496,0.047851562,0.8334961,1,4,139
3.0981445,0.2290039,0.7475586,1,4,140
2.9824219,0.2866211,0.76660156,1,4,141
2.4794922,0.43164062,0.9658203,1,4,142
2.1904297,-0.3930664,0.6713867,1,4,143
1.7875977,-0.00048828125,0.9746094,1,4,144
1.3598633,-0.10644531,1.0004883,1,4,145
1.0507812,-0.0625,1.2143555,1,4,146
0.7421875,0.07763672,1.402832,1,4,147
0.33935547,-0.1821289,1.0131836,1,4,148
-0.3671875,-0.7529297,0.70166016,1,4,149
-1.3525391,-0.859375,0.953125,1,4,150
-1.3212891,-0.50390625,1.0883789,1,4,151
