"x","y","z","interval_no","runtype","packet_no"
4.1904297,-0.82373047,1.1113281,1,4,1
3.793457,-0.9272461,0.9970703,1,4,2
3.3144531,-0.6933594,0.90625,1,4,3
2.9213867,-0.6411133,1.0073242,1,4,4
3.7080078,-0.61572266,0.7919922,1,4,5
3.7353516,-0.05126953,0.7480469,1,4,6
3.010254,0.03515625,1.0507812,1,4,7
2.8896484,-0.25341797,1.1362305,1,4,8
2.6357422,-0.6430664,0.7397461,1,4,9
2.2578125,-0.45947266,1.0053711,1,4,10
1.8017578,-0.083496094,0.87158203,1,4,11
1.2011719,0.049804688,0.8701172,1,4,12
0.48779297,0.42285156,1.1503906,1,4,13
0.046875,0.36621094,1.2216797,1,4,14
0.12158203,-0.2861328,1.1420898,1,4,15
0.15771484,-0.7290039,0.8955078,1,4,16
-0.58154297,0.20654297,1.3305664,1,4,17
-2.1938477,0.2290039,1.5551758,1,4,18
-1.8139648,0.12841797,1.4453125,1,4,19
-1.8041992,0.119140625,1.3012695,1,4,20
-1.5131836,-0.049804688,1.1884766,1,4,21
-1.2861328,-0.20410156,1.1708984,1,4,22
-0.9482422,-0.52197266,1.3066406,1,4,23
-0.3618164,-0.9326172,1.8764648,1,4,24
0.37451172,-1.0546875,2.9331055,1,4,25
1.1293945,-1.0673828,3.4355469,1,4,26
1.2949219,0.25732422,2.9423828,1,4,27
2.0371094,2.022461,2.1259766,1,4,28
7.025879,2.4707031,1.0981445,1,4,29
8.963867,-1.0576172,0.8828125,1,4,30
5.496582,-2.479004,2.3208008,1,4,31
4.104492,-2.5395508,2.4345703,1,4,32
4.248047,-1.3417969,2.0551758,1,4,33
3.788086,0.54248047,2.065918,1,4,34
3.8950195,0.7783203,1.7304688,1,4,35
3.8530273,0.6791992,1.3535156,1,4,36
3.2714844,0.4736328,1.3925781,1,4,37
5.5146484,-0.31982422,0.32763672,1,4,38
3.2822266,0.44482422,1.4794922,1,4,39
3.743164,0.2529297,0.9819336,1,4,40
4.137207,-0.3330078,0.64160156,1,4,41
3.3237305,-0.18847656,0.67822266,1,4,42
3.149414,-0.16894531,1.0014648,1,4,43
2.9111328,-0.5878906,0.60253906,1,4,44
2.565918,-0.7001953,0.77685547,1,4,45
2.0517578,-0.10839844,0.68359375,1,4,46
1.3095703,-0.39794922,0.92822266,1,4,47
0.6459961,-0.6821289,1.1333008,1,4,48
0.5566406,-0.59716797,1.1899414,1,4,49
0.8222656,0.24169922,1.5068359,1,4,50
0.26220703,-0.41210938,1.1279297,1,4,51
0.11669922,-0.45654297,0.4790039,1,4,52
-1.0952148,-0.46191406,0.5678711,1,4,53
-2.4018555,0.19042969,1.6552734,1,4,54
-1.9775391,0.5722656,1.8364258,1,4,55
-1.9370117,0.64990234,1.5683594,1,4,56
-1.9052734,0.5986328,1.1831055,1,4,57
-1.4716797,0.9819336,1.3344727,1,4,58
-0.81933594,0.9506836,1.5444336,1,4,59
0.26416016,1.1777344,2.1264648,1,4,60
0.97753906,1.0600586,3.1748047,1,4,61
1.4707031,0.9785156,3.8486328,1,4,62
1.3896484,-0.5410156,2.9399414,1,4,63
2.5844727,-3.1904297,2.2988281,1,4,64
7.349121,-2.6323242,0.95654297,1,4,65
8.341309,-0.17871094,2.9013672,1,4,66
7.026367,1.6083984,1.9990234,1,4,67
4.739746,2.8520508,1.9794922,1,4,68
4.1259766,0.9033203,1.8339844,1,4,69
3.2333984,-0.55908203,2.0263672,1,4,70
3.2792969,-0.62597656,1.7802734,1,4,71
3.2666016,-0.8618164,1.3671875,1,4,72
4.1469727,-0.9399414,0.9394531,1,4,73
3.3549805,-1.0092773,0.94970703,1,4,74
2.7817383,-0.88623047,1.0029297,1,4,75
3.975586,-0.48095703,0.8286133,1,4,76
3.5327148,-0.3720703,0.93847656,1,4,77
3.0200195,-0.5527344,0.9267578,1,4,78
3.1245117,0.47851562,0.796875,1,4,79
2.706543,0.,1.0551758,1,4,80
2.355957,-0.2890625,0.92333984,1,4,81
1.668457,0.3022461,0.72265625,1,4,82
1.0844727,0.4609375,0.8901367,1,4,83
0.6171875,0.47851562,1.184082,1,4,84
0.12109375,0.14257812,1.1889648,1,4,85
0.014160156,-0.09716797,1.1201172,1,4,86
0.0073242188,-0.31933594,0.9536133,1,4,87
-0.7763672,0.24414062,1.2768555,1,4,88
-2.3203125,0.05419922,1.621582,1,4,89
-1.8774414,-0.079589844,1.4272461,1,4,90
-1.8911133,-0.203125,1.2875977,1,4,91
-1.7080078,-0.34814453,1.1865234,1,4,92
-1.2080078,-0.22558594,0.9189453,1,4,93
-0.76953125,-0.61328125,1.0996094,1,4,94
-0.21191406,-0.8520508,1.3999023,1,4,95
0.22167969,-0.65625,2.6728516,1,4,96
1.3227539,-1.3276367,3.989746,1,4,97
1.6201172,-0.8305664,3.3842773,1,4,98
1.8681641,2.5791016,2.3515625,1,4,99
6.9541016,3.604004,0.92578125,1,4,100
9.025391,-0.46240234,0.41601562,1,4,101
6.0668945,-2.8789062,2.4335938,1,4,102
3.6049805,-2.510254,2.4106445,1,4,103
4.0600586,-1.9882812,2.1381836,1,4,104
4.0161133,0.29492188,2.0766602,1,4,105
4.5146484,1.0454102,1.7119141,1,4,106
4.288086,0.9580078,1.4477539,1,4,107
3.3515625,1.1640625,1.3969727,1,4,108
4.144043,0.66552734,1.1645508,1,4,109
3.7436523,0.4086914,1.1157227,1,4,110
3.730957,0.24414062,1.2617188,1,4,111
3.734375,-0.13671875,1.0009766,1,4,112
3.6391602,-0.22753906,1.0341797,1,4,113
3.2924805,-0.33935547,0.7558594,1,4,114
3.0717773,-0.2944336,0.9140625,1,4,115
