"x","y","z","interval_no","runtype","packet_no"
2.7124023,0.75146484,5.809082,1,4,1
2.2563477,-0.8046875,4.173828,1,4,2
3.3354492,-1.831543,1.0131836,1,4,3
6.234375,1.8193359,0.48388672,1,4,4
8.560547,5.0058594,3.9404297,1,4,5
6.53125,2.7143555,2.0356445,1,4,6
3.0375977,1.2006836,2.1816406,1,4,7
2.5776367,-0.35058594,1.4541016,1,4,8
3.4589844,-0.25976562,1.4990234,1,4,9
4.2929688,-0.42285156,1.765625,1,4,10
4.4350586,-0.13476562,1.4624023,1,4,11
4.3515625,-0.0546875,1.1586914,1,4,12
4.223633,-0.09765625,1.1230469,1,4,13
3.913086,-0.23632812,1.2729492,1,4,14
3.6796875,-0.05517578,1.3393555,1,4,15
3.0424805,0.31933594,1.1933594,1,4,16
2.1113281,0.31591797,1.1630859,1,4,17
1.2773438,0.037109375,1.3129883,1,4,18
0.7939453,0.2734375,1.4238281,1,4,19
0.28271484,0.11816406,1.3305664,1,4,20
0.06982422,-0.07470703,1.2836914,1,4,21
0.096191406,0.1899414,1.4199219,1,4,22
0.024414062,0.43408203,1.7124023,1,4,23
-0.37548828,0.104003906,1.921875,1,4,24
-0.6069336,-0.29736328,2.0429688,1,4,25
-1.0258789,-0.3466797,2.2363281,1,4,26
-1.3286133,-0.15039062,2.1782227,1,4,27
-1.1860352,0.30664062,1.8085938,1,4,28
-1.1010742,0.4350586,1.3540039,1,4,29
-0.8911133,0.546875,1.0698242,1,4,30
-0.71875,0.3984375,1.1323242,1,4,31
-0.2998047,0.22363281,1.4042969,1,4,32
0.6948242,0.10205078,2.4692383,1,4,33
2.3857422,-0.10498047,4.5820312,1,4,34
3.480957,-0.10107422,4.9589844,1,4,35
3.7285156,1.1577148,2.3608398,1,4,36
6.472168,-0.04296875,1.1352539,1,4,37
9.269043,-4.26709,1.6191406,1,4,38
6.291992,-2.137207,3.7416992,1,4,39
2.6450195,-1.1918945,3.0625,1,4,40
1.6118164,-0.1899414,0.49365234,1,4,41
2.633789,0.2626953,1.1469727,1,4,42
4.42041,-0.18359375,2.0014648,1,4,43
5.213867,0.21923828,2.2988281,1,4,44
4.6088867,0.083984375,0.9873047,1,4,45
3.1069336,-0.088378906,0.81884766,1,4,46
2.868164,0.27294922,0.7558594,1,4,47
3.104004,0.24609375,1.4165039,1,4,48
2.4345703,0.50683594,1.9599609,1,4,49
1.5976562,0.66503906,1.6152344,1,4,50
1.0571289,0.26953125,1.1723633,1,4,51
0.6972656,0.33935547,1.3530273,1,4,52
0.70214844,0.2680664,1.7021484,1,4,53
0.7402344,0.31445312,1.6958008,1,4,54
0.5073242,0.16064453,1.6884766,1,4,55
0.111816406,-0.115234375,1.7104492,1,4,56
