"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",49,"unknown"
1,"peaks[1]",85,"unknown"
1,"peaks[2]",122,"unknown"
1,"peaks[3]",158,"unknown"
1,"peaks[4]",194,"unknown"
1,"peaks[5]",231,"unknown"
1,"peaks[6]",266,"unknown"
1,"peaks[7]",303,"unknown"
1,"peaks[8]",339,"unknown"
1,"peaks[9]",376,"unknown"
1,"peaks[10]",412,"unknown"
1,"peaks[11]",449,"unknown"
1,"peaks[12]",485,"unknown"
1,"peaks[13]",521,"unknown"
1,"peaks[14]",559,"unknown"
1,"peaks[15]",595,"unknown"
1,"peaks[16]",631,"unknown"
1,"peaks[17]",669,"unknown"
1,"peaks[18]",705,"unknown"
1,"peaks[19]",741,"unknown"
1,"peaks[20]",778,"unknown"
1,"peaks[21]",815,"unknown"
1,"peaks[22]",852,"unknown"
1,"peaks[23]",889,"unknown"
1,"peaks[24]",925,"unknown"
1,"peaks[25]",962,"unknown"
1,"peaks[26]",997,"unknown"
1,"peaks[27]",1035,"unknown"
1,"peaks[28]",1070,"unknown"
1,"peaks[29]",1108,"unknown"
1,"peaks[30]",1143,"unknown"
1,"peaks[31]",1181,"unknown"
1,"peaks[32]",1216,"unknown"
1,"peaks[33]",1252,"unknown"
1,"peaks[34]",1288,"unknown"
1,"peaks[35]",1326,"unknown"
1,"peaks[36]",1362,"unknown"
1,"peaks[37]",1399,"unknown"
1,"peaks[38]",1434,"unknown"
1,"peaks[39]",1473,"unknown"
1,"peaks[40]",1508,"unknown"
1,"peaks[41]",1547,"unknown"
1,"peaks[42]",1564,"unknown"
1,"peaks[43]",1582,"unknown"
1,"peaks[44]",1620,"unknown"
1,"peaks[45]",1657,"unknown"
1,"peaks[46]",1694,"unknown"
1,"peaks[47]",1730,"unknown"
1,"peaks[48]",1768,"unknown"
1,"peaks[49]",1804,"unknown"
1,"peaks[50]",1840,"unknown"
1,"peaks[51]",1876,"unknown"
1,"peaks[52]",1912,"unknown"
1,"peaks[53]",1949,"unknown"
1,"peaks[54]",1986,"unknown"
1,"peaks[55]",2023,"unknown"
1,"peaks[56]",2060,"unknown"
1,"peaks[57]",2097,"unknown"
1,"peaks[58]",2133,"unknown"
1,"peaks[59]",2170,"unknown"
1,"peaks[60]",2207,"unknown"
1,"peaks[61]",2244,"unknown"
1,"peaks[62]",2281,"unknown"
1,"peaks[63]",2317,"unknown"
1,"peaks[64]",2354,"unknown"
1,"peaks[65]",2390,"unknown"
1,"peaks[66]",2427,"unknown"
1,"peaks[67]",2463,"unknown"
1,"peaks[68]",2500,"unknown"
1,"peaks[69]",2537,"unknown"
1,"peaks[70]",2573,"unknown"
1,"peaks[71]",2609,"unknown"
1,"peaks[72]",2646,"unknown"
1,"peaks[73]",2682,"unknown"
1,"peaks[74]",2719,"unknown"
1,"peaks[75]",2754,"unknown"
1,"peaks[76]",2791,"unknown"
1,"peaks[77]",2827,"unknown"
1,"peaks[78]",2865,"unknown"
1,"peaks[79]",2900,"unknown"
1,"peaks[80]",2937,"unknown"
