"x","y","z","interval_no","runtype","packet_no"
1.7036133,0.33544922,-0.052734375,1,4,1
1.6513672,0.66503906,-0.33154297,1,4,2
1.9458008,0.53466797,0.12695312,1,4,3
2.459961,0.31201172,0.9555664,1,4,4
3.4433594,0.25732422,1.3071289,1,4,5
3.2939453,0.3959961,0.97216797,1,4,6
2.7270508,0.3203125,0.86621094,1,4,7
2.116211,0.16259766,1.1220703,1,4,8
1.3706055,-0.2763672,1.6235352,1,4,9
1.0966797,-0.9082031,2.2045898,1,4,10
0.7890625,-1.3427734,2.1542969,1,4,11
-0.15283203,-1.2861328,2.0039062,1,4,12
-1.5429688,-1.0957031,1.8261719,1,4,13
-2.8808594,-0.89453125,1.1601562,1,4,14
-4.272461,-0.24707031,0.115722656,1,4,15
-4.5703125,0.028808594,-0.12207031,1,4,16
-2.0683594,-0.31103516,0.46826172,1,4,17
-0.103027344,-0.18701172,1.3842773,1,4,18
0.57958984,-0.3618164,3.0351562,1,4,19
0.6333008,-1.112793,4.651367,1,4,20
0.38427734,0.41357422,5.1870117,1,4,21
3.1313477,5.640625,0.09814453,1,4,22
5.8813477,2.2856445,-0.22167969,1,4,23
7.0825195,-0.7788086,-0.36572266,1,4,24
11.839844,-4.3154297,4.4628906,1,4,25
8.055664,-3.1918945,1.9775391,1,4,26
3.5805664,-2.1704102,2.7172852,1,4,27
0.17529297,-1.7832031,2.086914,1,4,28
0.23095703,-1.0151367,-0.60498047,1,4,29
2.4555664,-0.15332031,-0.9194336,1,4,30
4.039551,-0.25390625,1.21875,1,4,31
6.3291016,-0.19677734,3.149414,1,4,32
6.419922,-0.17626953,0.40429688,1,4,33
3.7167969,-0.34228516,0.5854492,1,4,34
1.5644531,-0.6020508,0.6459961,1,4,35
1.0585938,-0.75390625,-0.61621094,1,4,36
1.8041992,-0.5605469,-0.34179688,1,4,37
2.3867188,-0.05810547,1.0981445,1,4,38
3.1914062,0.16748047,2.0444336,1,4,39
3.3754883,0.10546875,1.5014648,1,4,40
2.7265625,0.49365234,1.5078125,1,4,41
2.1679688,0.5527344,1.2026367,1,4,42
1.7226562,0.9067383,1.1914062,1,4,43
1.0678711,1.2490234,1.9941406,1,4,44
0.5913086,1.0820312,2.447754,1,4,45
-0.390625,1.1333008,2.7963867,1,4,46
-1.3325195,1.1469727,2.2197266,1,4,47
-2.3203125,1.2451172,1.2543945,1,4,48
-3.6601562,0.8823242,0.5756836,1,4,49
-4.0302734,0.09716797,-0.28320312,1,4,50
-3.3989258,0.20507812,0.06689453,1,4,51
-1.5463867,0.42285156,1.1411133,1,4,52
-0.22460938,0.39794922,1.4179688,1,4,53
0.4165039,0.25732422,1.5410156,1,4,54
0.5361328,-0.0126953125,2.3115234,1,4,55
0.15234375,-0.38378906,4.7856445,1,4,56
1.6191406,-5.6831055,3.7543945,1,4,57
6.651367,-1.2045898,-0.50683594,1,4,58
12.9765625,0.33398438,1.3432617,1,4,59
10.356934,2.364746,1.0014648,1,4,60
5.1191406,3.3291016,3.0898438,1,4,61
1.2861328,2.8110352,2.1723633,1,4,62
0.00390625,2.2441406,0.92529297,1,4,63
1.9926758,0.73046875,0.14892578,1,4,64
3.9853516,0.13330078,0.9345703,1,4,65
6.161133,-0.46289062,1.71875,1,4,66
6.2958984,-0.6640625,1.3374023,1,4,67
4.3046875,-0.265625,1.1445312,1,4,68
2.7407227,0.1459961,0.90771484,1,4,69
1.8789062,0.12988281,-0.11376953,1,4,70
1.5961914,0.32910156,-0.31054688,1,4,71
1.762207,0.10205078,0.39892578,1,4,72
2.0810547,-0.17626953,1.0576172,1,4,73
