"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",50,"left"
1,"peaks[1]",85,"right"
1,"peaks[2]",121,"left"
1,"peaks[3]",157,"right"
1,"peaks[4]",191,"left"
1,"peaks[5]",227,"right"
1,"peaks[6]",262,"left"
1,"peaks[7]",296,"right"
1,"peaks[8]",329,"left"
1,"peaks[9]",363,"right"
1,"peaks[10]",397,"left"
1,"peaks[11]",431,"right"
1,"peaks[12]",467,"left"
1,"peaks[13]",502,"right"
1,"peaks[14]",537,"left"
1,"peaks[15]",569,"right"
1,"peaks[16]",603,"left"
1,"peaks[17]",639,"right"
1,"peaks[18]",674,"left"
1,"peaks[19]",707,"right"
1,"peaks[20]",741,"left"
1,"peaks[21]",776,"right"
1,"peaks[22]",812,"left"
1,"peaks[23]",846,"right"
1,"peaks[24]",880,"left"
1,"peaks[25]",916,"right"
1,"peaks[26]",951,"left"
1,"peaks[27]",986,"right"
1,"peaks[28]",1021,"left"
1,"peaks[29]",1056,"right"
1,"peaks[30]",1090,"left"
1,"peaks[31]",1124,"right"
1,"peaks[32]",1159,"left"
1,"peaks[33]",1194,"right"
1,"peaks[34]",1229,"left"
1,"peaks[35]",1263,"right"
1,"peaks[36]",1297,"left"
1,"peaks[37]",1332,"right"
1,"peaks[38]",1367,"left"
1,"peaks[39]",1400,"right"
1,"peaks[40]",1435,"left"
1,"peaks[41]",1470,"right"
1,"peaks[42]",1505,"left"
1,"peaks[43]",1540,"right"
1,"peaks[44]",1573,"left"
1,"peaks[45]",1610,"right"
1,"peaks[46]",1642,"left"
1,"peaks[47]",1679,"right"
1,"peaks[48]",1712,"left"
1,"peaks[49]",1747,"right"
1,"peaks[50]",1781,"left"
1,"peaks[51]",1815,"right"
1,"peaks[52]",1850,"left"
1,"peaks[53]",1884,"right"
1,"peaks[54]",1920,"left"
1,"peaks[55]",1955,"right"
1,"peaks[56]",1991,"left"
1,"peaks[57]",2026,"right"
1,"peaks[58]",2060,"left"
1,"peaks[59]",2095,"right"
1,"peaks[60]",2130,"left"
1,"peaks[61]",2164,"right"
1,"peaks[62]",2200,"left"
1,"peaks[63]",2234,"right"
1,"peaks[64]",2270,"left"
1,"peaks[65]",2303,"right"
1,"peaks[66]",2339,"left"
1,"peaks[67]",2372,"right"
1,"peaks[68]",2409,"left"
1,"peaks[69]",2443,"right"
1,"peaks[70]",2479,"left"
1,"peaks[71]",2515,"right"
1,"peaks[72]",2550,"left"
1,"peaks[73]",2586,"right"
1,"peaks[74]",2621,"left"
1,"peaks[75]",2655,"right"
1,"peaks[76]",2690,"left"
1,"peaks[77]",2725,"right"
1,"peaks[78]",2758,"left"
1,"peaks[79]",2792,"right"
1,"peaks[80]",2825,"left"
1,"peaks[81]",2858,"right"
1,"peaks[82]",2893,"left"
1,"peaks[83]",2928,"right"
1,"peaks[84]",2962,"left"
