"x","y","z","interval_no","runtype","packet_no"
3.0898438,1.1201172,2.2231445,1,4,1
2.9228516,0.5727539,1.965332,1,4,2
3.9189453,0.37451172,1.6489258,1,4,3
5.352051,0.34179688,1.2504883,1,4,4
3.6362305,-0.20410156,1.2167969,1,4,5
3.6552734,-0.028808594,1.0024414,1,4,6
3.7919922,0.033203125,0.9589844,1,4,7
3.359375,0.0078125,0.8833008,1,4,8
3.675293,0.05810547,1.1625977,1,4,9
2.984375,0.0546875,1.1523438,1,4,10
2.8950195,0.39453125,1.2387695,1,4,11
2.729004,0.36767578,1.0361328,1,4,12
2.3920898,0.22851562,1.1123047,1,4,13
1.9633789,0.31982422,0.8378906,1,4,14
1.4980469,0.42773438,1.0678711,1,4,15
0.8354492,0.23339844,1.046875,1,4,16
0.86865234,0.20019531,1.1450195,1,4,17
0.9321289,0.12158203,1.309082,1,4,18
0.5966797,-0.15234375,1.1533203,1,4,19
0.11035156,-0.23730469,1.3564453,1,4,20
-0.8046875,-0.25146484,1.4643555,1,4,21
-1.2519531,-0.18408203,1.3691406,1,4,22
-1.8618164,-0.033691406,1.3173828,1,4,23
-1.6650391,-0.16259766,1.2358398,1,4,24
-1.3930664,-0.3310547,1.1572266,1,4,25
-1.,-0.50927734,1.0283203,1,4,26
-0.6699219,-0.84375,1.2304688,1,4,27
-0.29492188,-1.0507812,2.0649414,1,4,28
0.13134766,-1.2265625,2.895996,1,4,29
0.43066406,-0.8935547,3.2905273,1,4,30
0.38671875,1.2202148,2.6279297,1,4,31
2.1108398,2.9814453,1.3232422,1,4,32
6.6743164,1.2924805,1.4072266,1,4,33
9.146973,-0.2763672,2.805664,1,4,34
5.0322266,-1.7290039,2.1713867,1,4,35
4.8564453,-1.96875,2.5966797,1,4,36
3.371582,-0.35351562,1.9892578,1,4,37
2.8081055,0.6381836,1.9301758,1,4,38
3.602539,0.81640625,1.7719727,1,4,39
4.5625,0.9711914,1.4936523,1,4,40
4.633789,0.8071289,1.2011719,1,4,41
3.6357422,0.69873047,1.1147461,1,4,42
4.2182617,0.59277344,1.2548828,1,4,43
4.1538086,0.65283203,1.0859375,1,4,44
3.203125,0.40820312,1.1484375,1,4,45
3.5820312,0.31054688,1.074707,1,4,46
3.1503906,0.41845703,1.0454102,1,4,47
2.9765625,0.095703125,0.85302734,1,4,48
2.7973633,0.24658203,1.0024414,1,4,49
2.5839844,0.45751953,1.0673828,1,4,50
1.9746094,-0.2734375,0.84521484,1,4,51
1.5722656,-0.051757812,1.0620117,1,4,52
1.0698242,-0.1352539,1.3168945,1,4,53
0.70166016,-0.30126953,1.2626953,1,4,54
0.48291016,-0.47460938,1.1850586,1,4,55
-0.01171875,-0.40185547,1.0712891,1,4,56
-0.6123047,-0.43359375,1.0839844,1,4,57
