"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",62,"left"
1,"peaks[1]",99,"right"
1,"peaks[2]",135,"left"
1,"peaks[3]",172,"right"
1,"peaks[4]",209,"left"
1,"peaks[5]",245,"right"
1,"peaks[6]",282,"left"
1,"peaks[7]",317,"right"
1,"peaks[8]",354,"left"
1,"peaks[9]",391,"right"
1,"peaks[10]",428,"left"
1,"peaks[11]",465,"right"
1,"peaks[12]",502,"left"
1,"peaks[13]",538,"right"
1,"peaks[14]",575,"left"
1,"peaks[15]",611,"right"
1,"peaks[16]",648,"left"
1,"peaks[17]",684,"right"
1,"peaks[18]",722,"left"
1,"peaks[19]",759,"right"
1,"peaks[20]",797,"left"
1,"peaks[21]",834,"right"
1,"peaks[22]",871,"left"
1,"peaks[23]",908,"right"
1,"peaks[24]",945,"left"
1,"peaks[25]",983,"right"
1,"peaks[26]",1020,"left"
1,"peaks[27]",1057,"right"
1,"peaks[28]",1093,"left"
1,"peaks[29]",1130,"right"
1,"peaks[30]",1167,"left"
1,"peaks[31]",1204,"right"
1,"peaks[32]",1241,"left"
1,"peaks[33]",1278,"right"
1,"peaks[34]",1315,"left"
1,"peaks[35]",1351,"right"
1,"peaks[36]",1388,"left"
1,"peaks[37]",1425,"right"
1,"peaks[38]",1463,"left"
1,"peaks[39]",1499,"right"
1,"peaks[40]",1537,"left"
1,"peaks[41]",1573,"right"
1,"peaks[42]",1611,"left"
1,"peaks[43]",1647,"right"
1,"peaks[44]",1683,"left"
1,"peaks[45]",1720,"right"
1,"peaks[46]",1756,"left"
1,"peaks[47]",1792,"right"
1,"peaks[48]",1828,"left"
1,"peaks[49]",1865,"right"
1,"peaks[50]",1901,"left"
1,"peaks[51]",1938,"right"
1,"peaks[52]",1975,"left"
1,"peaks[53]",2011,"right"
1,"peaks[54]",2048,"left"
1,"peaks[55]",2085,"right"
1,"peaks[56]",2122,"left"
1,"peaks[57]",2158,"right"
1,"peaks[58]",2195,"left"
1,"peaks[59]",2232,"right"
1,"peaks[60]",2269,"left"
1,"peaks[61]",2305,"right"
1,"peaks[62]",2342,"left"
1,"peaks[63]",2379,"right"
1,"peaks[64]",2416,"left"
1,"peaks[65]",2452,"right"
1,"peaks[66]",2488,"left"
1,"peaks[67]",2525,"right"
1,"peaks[68]",2562,"left"
1,"peaks[69]",2599,"right"
1,"peaks[70]",2636,"left"
1,"peaks[71]",2673,"right"
1,"peaks[72]",2709,"left"
1,"peaks[73]",2746,"right"
1,"peaks[74]",2784,"left"
1,"peaks[75]",2819,"right"
1,"peaks[76]",2856,"left"
1,"peaks[77]",2893,"right"
1,"peaks[78]",2930,"left"
