"x","y","z","interval_no","runtype","packet_no"
4.112793,-0.6464844,0.53564453,1,4,1
3.9902344,-0.6699219,0.42822266,1,4,2
3.859375,-0.6191406,0.4086914,1,4,3
3.5253906,-0.42285156,0.67529297,1,4,4
3.2685547,0.12695312,0.8256836,1,4,5
3.0649414,-0.11230469,1.0078125,1,4,6
2.9414062,0.4892578,0.9370117,1,4,7
2.5439453,0.85302734,1.1850586,1,4,8
1.5024414,0.69628906,1.1474609,1,4,9
0.71435547,0.16113281,1.3583984,1,4,10
0.3491211,-0.091308594,1.4907227,1,4,11
-0.44726562,0.13574219,1.6757812,1,4,12
-0.31298828,-0.72265625,1.4550781,1,4,13
-0.73291016,-0.7788086,1.6289062,1,4,14
-1.3525391,-0.5102539,2.1220703,1,4,15
-2.4135742,-0.54785156,1.746582,1,4,16
-3.0488281,-0.8540039,1.2421875,1,4,17
-2.659668,-0.88427734,1.0205078,1,4,18
-1.6064453,-0.69384766,1.0087891,1,4,19
-1.1435547,-0.4584961,1.246582,1,4,20
-0.45654297,-0.032226562,1.5712891,1,4,21
0.5366211,0.31152344,1.9814453,1,4,22
0.24121094,0.025390625,3.8486328,1,4,23
1.5200195,-0.15234375,3.7490234,1,4,24
2.2661133,3.0605469,2.6850586,1,4,25
13.983887,3.225586,-0.5527344,1,4,26
6.82666,-1.3603516,2.3759766,1,4,27
3.7041016,-3.6669922,2.2216797,1,4,28
4.8637695,-3.7441406,1.2553711,1,4,29
3.0751953,-0.8256836,1.7939453,1,4,30
2.8125,0.45263672,1.8398438,1,4,31
4.5581055,0.9658203,0.9970703,1,4,32
6.854004,1.0512695,0.3491211,1,4,33
2.7646484,0.765625,0.9785156,1,4,34
2.862793,0.69921875,0.45166016,1,4,35
3.8481445,0.75878906,0.38378906,1,4,36
3.8496094,0.52685547,0.3359375,1,4,37
3.5820312,-0.38378906,0.4819336,1,4,38
3.4042969,-0.7270508,0.7167969,1,4,39
3.1904297,-0.87841797,0.87353516,1,4,40
2.578125,-0.5024414,0.7919922,1,4,41
2.1098633,-0.3828125,1.2592773,1,4,42
1.7792969,0.27001953,1.8745117,1,4,43
1.2358398,-0.19482422,1.8115234,1,4,44
-0.033203125,-0.8364258,1.387207,1,4,45
-0.57910156,-0.37695312,1.5375977,1,4,46
-1.5454102,-0.1665039,1.6796875,1,4,47
-1.5341797,0.10449219,2.1015625,1,4,48
-2.4291992,0.1381836,1.9873047,1,4,49
-2.9873047,0.18945312,1.4794922,1,4,50
-2.4794922,0.06933594,1.1279297,1,4,51
-1.7495117,0.37646484,1.2763672,1,4,52
-1.2514648,0.6738281,1.3154297,1,4,53
-0.48046875,0.5854492,1.328125,1,4,54
0.57177734,0.5263672,2.682129,1,4,55
1.5820312,0.8339844,4.6435547,1,4,56
1.9594727,-0.036621094,3.1137695,1,4,57
2.0698242,-3.722168,1.4545898,1,4,58
10.488281,-3.0219727,1.5864258,1,4,59
11.580566,3.6743164,1.8198242,1,4,60
3.203125,5.2109375,2.7456055,1,4,61
4.7006836,3.5795898,1.2006836,1,4,62
2.9082031,1.015625,1.5605469,1,4,63
2.9868164,0.15478516,2.0161133,1,4,64
2.7631836,-0.5234375,1.3686523,1,4,65
6.459961,-0.39160156,0.62353516,1,4,66
4.3398438,-0.51416016,0.58691406,1,4,67
3.7895508,-0.3720703,0.67041016,1,4,68
3.5117188,-0.35351562,0.5595703,1,4,69
3.7006836,-0.067871094,0.6933594,1,4,70
2.9921875,-0.037109375,0.7817383,1,4,71
2.883789,0.5131836,0.8330078,1,4,72
2.5327148,0.28027344,0.90722656,1,4,73
2.4482422,1.1694336,0.96728516,1,4,74
1.6289062,0.8388672,0.78027344,1,4,75
0.74365234,0.49414062,1.140625,1,4,76
0.15917969,0.18066406,1.3369141,1,4,77
-0.35351562,0.064941406,1.4365234,1,4,78
-0.5205078,-0.66503906,1.2412109,1,4,79
-0.609375,-1.0014648,1.4233398,1,4,80
-0.9614258,-1.3349609,1.9985352,1,4,81
-1.5126953,-1.1289062,1.9057617,1,4,82
-2.8149414,-0.9707031,1.2680664,1,4,83
-2.4125977,-0.9394531,1.1557617,1,4,84
-1.8017578,-0.6826172,0.93847656,1,4,85
-1.2695312,-0.46777344,1.0146484,1,4,86
-0.6430664,-0.20751953,1.2163086,1,4,87
0.29052734,-0.047851562,1.440918,1,4,88
0.33935547,0.33691406,2.2563477,1,4,89
1.3154297,-0.6923828,4.8203125,1,4,90
2.2504883,0.07373047,5.1503906,1,4,91
10.143066,5.6225586,0.3466797,1,4,92
8.560059,0.17382812,0.43310547,1,4,93
3.0424805,-1.581543,3.4648438,1,4,94
5.666992,-3.7558594,1.7363281,1,4,95
3.9868164,-2.4868164,1.6791992,1,4,96
2.996582,0.07373047,1.8574219,1,4,97
3.5776367,0.8027344,1.5732422,1,4,98
6.159668,1.1054688,0.67041016,1,4,99
2.7949219,1.293457,0.953125,1,4,100
3.7749023,0.72753906,0.671875,1,4,101
3.7783203,0.67089844,0.45898438,1,4,102
3.8745117,0.27734375,0.27685547,1,4,103
3.7060547,0.17773438,0.47998047,1,4,104
3.4990234,-0.20605469,0.7270508,1,4,105
3.5668945,-0.6069336,0.78027344,1,4,106
3.1757812,-0.8339844,0.7270508,1,4,107
2.3857422,-0.5336914,0.83251953,1,4,108
1.9038086,-0.36621094,1.5786133,1,4,109
1.5097656,-0.09033203,1.6665039,1,4,110
0.28857422,-0.79345703,1.4067383,1,4,111
-0.29248047,-0.7363281,1.4404297,1,4,112
-2.0322266,-1.4545898,0.5180664,1,4,113
-1.7700195,-0.123046875,1.5292969,1,4,114
-1.6801758,0.06933594,2.4208984,1,4,115
-2.2958984,0.30419922,1.9472656,1,4,116
-2.140625,0.1977539,1.3896484,1,4,117
-2.0830078,0.28076172,0.9633789,1,4,118
-1.7231445,0.73583984,1.0092773,1,4,119
-1.2099609,1.0273438,1.0546875,1,4,120
-0.4736328,0.8798828,1.4443359,1,4,121
0.5395508,0.82910156,2.9233398,1,4,122
1.5498047,1.2353516,4.800293,1,4,123
1.7211914,-0.9946289,3.0498047,1,4,124
3.0351562,-4.5664062,1.8930664,1,4,125
14.84668,-2.246582,0.9536133,1,4,126
9.944824,4.461914,2.7905273,1,4,127
2.2143555,5.2734375,2.8789062,1,4,128
3.6791992,2.7861328,1.5097656,1,4,129
2.2670898,0.97998047,1.6186523,1,4,130
2.5541992,0.2084961,1.965332,1,4,131
2.940918,-0.15625,1.3300781,1,4,132
7.7368164,-0.30126953,0.16455078,1,4,133
2.4140625,-0.5654297,0.92041016,1,4,134
4.383789,-0.46289062,0.27441406,1,4,135
2.9765625,-0.6777344,0.6123047,1,4,136
3.3422852,-0.087402344,0.77246094,1,4,137
2.237793,-0.110839844,0.79833984,1,4,138
2.1542969,0.29248047,1.0473633,1,4,139
2.6083984,0.47998047,1.0224609,1,4,140
2.2202148,0.65625,0.9511719,1,4,141
1.3862305,0.66064453,1.1108398,1,4,142
1.1171875,0.22949219,1.378418,1,4,143
0.78125,0.010253906,1.5429688,1,4,144
0.40820312,-0.44433594,1.3378906,1,4,145
-0.24267578,-0.62939453,1.2807617,1,4,146
-0.50146484,-1.0556641,1.5107422,1,4,147
-1.0678711,-0.6796875,2.1064453,1,4,148
-2.4223633,-0.8886719,1.6835938,1,4,149
-2.974121,-0.91015625,1.2436523,1,4,150
-2.6728516,-0.78759766,1.0170898,1,4,151
-1.9570312,-0.62841797,1.1054688,1,4,152
-1.2802734,-0.41308594,1.5327148,1,4,153
-0.49658203,0.024414062,1.5102539,1,4,154
0.4321289,0.25195312,2.1811523,1,4,155
-0.12939453,-0.19433594,4.083496,1,4,156
1.7563477,-0.22753906,4.418457,1,4,157
2.8613281,3.9604492,2.7270508,1,4,158
12.798828,2.5576172,-0.77197266,1,4,159
6.4384766,-1.5039062,2.8452148,1,4,160
3.352539,-2.9707031,2.184082,1,4,161
4.9833984,-3.9003906,1.75,1,4,162
3.3779297,-0.75927734,2.022461,1,4,163
