"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",51,"left"
1,"peaks[1]",84,"right"
1,"peaks[2]",118,"left"
1,"peaks[3]",151,"right"
1,"peaks[4]",184,"left"
1,"peaks[5]",216,"right"
1,"peaks[6]",250,"left"
1,"peaks[7]",282,"right"
1,"peaks[8]",315,"left"
1,"peaks[9]",348,"right"
1,"peaks[10]",383,"left"
1,"peaks[11]",415,"right"
1,"peaks[12]",449,"left"
1,"peaks[13]",481,"right"
1,"peaks[14]",515,"left"
1,"peaks[15]",547,"right"
1,"peaks[16]",580,"left"
1,"peaks[17]",613,"right"
1,"peaks[18]",647,"left"
1,"peaks[19]",680,"right"
1,"peaks[20]",713,"left"
1,"peaks[21]",745,"right"
1,"peaks[22]",779,"left"
1,"peaks[23]",811,"right"
1,"peaks[24]",845,"left"
1,"peaks[25]",877,"right"
1,"peaks[26]",911,"left"
1,"peaks[27]",942,"right"
1,"peaks[28]",976,"left"
1,"peaks[29]",1008,"right"
1,"peaks[30]",1043,"left"
1,"peaks[31]",1076,"right"
1,"peaks[32]",1109,"left"
1,"peaks[33]",1141,"right"
1,"peaks[34]",1175,"left"
1,"peaks[35]",1206,"right"
1,"peaks[36]",1240,"left"
1,"peaks[37]",1271,"right"
1,"peaks[38]",1305,"left"
1,"peaks[39]",1337,"right"
1,"peaks[40]",1371,"left"
1,"peaks[41]",1403,"right"
1,"peaks[42]",1437,"left"
1,"peaks[43]",1468,"right"
1,"peaks[44]",1502,"left"
1,"peaks[45]",1535,"right"
1,"peaks[46]",1568,"left"
1,"peaks[47]",1601,"right"
1,"peaks[48]",1635,"left"
1,"peaks[49]",1667,"right"
1,"peaks[50]",1701,"left"
1,"peaks[51]",1733,"right"
1,"peaks[52]",1767,"left"
1,"peaks[53]",1798,"right"
1,"peaks[54]",1832,"left"
1,"peaks[55]",1863,"right"
1,"peaks[56]",1896,"left"
1,"peaks[57]",1927,"right"
1,"peaks[58]",1961,"left"
1,"peaks[59]",1993,"right"
1,"peaks[60]",2026,"left"
1,"peaks[61]",2059,"right"
1,"peaks[62]",2092,"left"
1,"peaks[63]",2125,"right"
1,"peaks[64]",2160,"left"
1,"peaks[65]",2193,"right"
1,"peaks[66]",2224,"left"
1,"peaks[67]",2257,"right"
1,"peaks[68]",2289,"left"
1,"peaks[69]",2322,"right"
1,"peaks[70]",2356,"left"
1,"peaks[71]",2389,"right"
1,"peaks[72]",2422,"left"
1,"peaks[73]",2454,"right"
1,"peaks[74]",2488,"left"
1,"peaks[75]",2521,"right"
1,"peaks[76]",2554,"left"
1,"peaks[77]",2586,"right"
1,"peaks[78]",2619,"left"
1,"peaks[79]",2652,"right"
1,"peaks[80]",2686,"left"
1,"peaks[81]",2718,"right"
1,"peaks[82]",2750,"left"
1,"peaks[83]",2783,"right"
1,"peaks[84]",2817,"left"
1,"peaks[85]",2850,"right"
1,"peaks[86]",2882,"left"
1,"peaks[87]",2915,"right"
1,"peaks[88]",2949,"left"
