"x","y","z","interval_no","runtype","packet_no"
1.4736328,0.20117188,1.1933594,1,4,1
1.4238281,0.14794922,1.2177734,1,4,2
1.3393555,0.14892578,1.2387695,1,4,3
1.3037109,0.08105469,1.253418,1,4,4
1.1674805,0.05029297,1.2739258,1,4,5
1.2436523,0.022949219,1.2612305,1,4,6
1.1923828,-0.041992188,1.1640625,1,4,7
1.1166992,0.043945312,1.1274414,1,4,8
1.1074219,-0.12402344,1.0244141,1,4,9
1.1186523,-0.10839844,0.95947266,1,4,10
0.9448242,0.29003906,1.1181641,1,4,11
1.1279297,0.05419922,0.9370117,1,4,12
1.2348633,0.03466797,0.83691406,1,4,13
1.3105469,0.00390625,0.8095703,1,4,14
1.3779297,-0.0029296875,0.85302734,1,4,15
1.5478516,-0.0703125,0.92089844,1,4,16
1.8139648,-0.009277344,1.0898438,1,4,17
1.9560547,0.17822266,1.1303711,1,4,18
2.2421875,0.21435547,1.2910156,1,4,19
2.540039,0.0703125,1.5761719,1,4,20
2.793457,-0.18359375,1.4755859,1,4,21
2.8085938,-0.17919922,1.1831055,1,4,22
2.900879,-0.2006836,0.8652344,1,4,23
3.1455078,-0.09814453,0.75927734,1,4,24
3.196289,-0.018554688,0.6254883,1,4,25
3.1220703,-0.3720703,0.43164062,1,4,26
3.1694336,0.21728516,0.7285156,1,4,27
3.6347656,0.6567383,1.1411133,1,4,28
3.0205078,0.3076172,1.1083984,1,4,29
2.793457,0.14941406,1.2700195,1,4,30
2.5249023,-0.095214844,1.1987305,1,4,31
2.2539062,-0.22167969,1.5375977,1,4,32
2.1450195,-0.4194336,1.8129883,1,4,33
1.875,-0.13916016,1.8706055,1,4,34
1.6699219,-0.03173828,2.1591797,1,4,35
1.5341797,-0.19140625,2.0786133,1,4,36
1.5517578,-0.3466797,1.9580078,1,4,37
1.652832,-0.20996094,1.9897461,1,4,38
1.9194336,-0.15283203,2.1010742,1,4,39
2.2436523,-0.26416016,2.0830078,1,4,40
2.4423828,-0.5786133,1.7416992,1,4,41
2.9067383,-0.55566406,1.7158203,1,4,42
3.7548828,-0.27929688,1.4658203,1,4,43
3.527832,0.70654297,1.7197266,1,4,44
