"x","y","z","interval_no","runtype","packet_no"
3.7861328,-2.1088867,1.8056641,1,4,1
2.796875,0.041503906,1.6186523,1,4,2
3.7050781,0.46826172,1.2324219,1,4,3
5.817383,0.3642578,0.90527344,1,4,4
3.2519531,0.52685547,0.99560547,1,4,5
4.2148438,0.061523438,0.98876953,1,4,6
3.7456055,0.16113281,0.93066406,1,4,7
3.4414062,0.30859375,0.8911133,1,4,8
3.7026367,0.21533203,0.8696289,1,4,9
3.4628906,0.2446289,0.9189453,1,4,10
3.288086,-0.4189453,0.6308594,1,4,11
3.0551758,0.056640625,1.0356445,1,4,12
2.8168945,0.2529297,1.0883789,1,4,13
2.4765625,-0.28808594,0.77246094,1,4,14
1.8881836,-0.5551758,0.671875,1,4,15
1.2978516,-0.056640625,1.2875977,1,4,16
0.703125,-0.2993164,1.3027344,1,4,17
-0.021484375,-0.7734375,1.0126953,1,4,18
-0.46533203,-0.73095703,1.1025391,1,4,19
-0.7421875,-0.24023438,1.3574219,1,4,20
-1.0131836,-0.07714844,1.418457,1,4,21
-1.0063477,0.21533203,1.5239258,1,4,22
-1.7016602,0.099609375,1.5366211,1,4,23
-1.9145508,0.2783203,1.3515625,1,4,24
-1.8481445,0.30908203,1.0571289,1,4,25
-1.3945312,0.43798828,1.0244141,1,4,26
-1.003418,0.5683594,1.1567383,1,4,27
-0.5683594,0.57177734,1.1772461,1,4,28
0.052734375,0.73876953,1.6118164,1,4,29
1.0415039,1.3076172,3.4204102,1,4,30
1.7041016,1.6254883,4.305176,1,4,31
1.6777344,-0.21826172,3.0620117,1,4,32
2.8183594,-3.5874023,2.5283203,1,4,33
13.711426,-3.1367188,0.82373047,1,4,34
5.6694336,0.63671875,2.604004,1,4,35
3.3618164,3.1567383,2.4873047,1,4,36
5.0927734,2.2539062,1.5800781,1,4,37
3.2700195,0.6044922,1.703125,1,4,38
2.9902344,-0.18359375,1.7016602,1,4,39
4.2802734,-0.4296875,1.2163086,1,4,40
5.0585938,-0.4921875,0.83691406,1,4,41
3.7124023,-0.3413086,0.9345703,1,4,42
3.7719727,-0.32080078,0.82421875,1,4,43
4.0527344,0.04736328,1.0229492,1,4,44
2.9555664,-0.80908203,0.9121094,1,4,45
3.4243164,-0.07861328,1.0766602,1,4,46
2.7299805,-0.49853516,0.7949219,1,4,47
2.6791992,0.053710938,0.8388672,1,4,48
2.7089844,0.23583984,0.8276367,1,4,49
1.9741211,0.65283203,0.6899414,1,4,50
1.4208984,0.41845703,0.70214844,1,4,51
0.78515625,0.30908203,0.8613281,1,4,52
0.4116211,0.103515625,1.1152344,1,4,53
0.25927734,-0.06640625,1.2163086,1,4,54
0.0625,-0.54541016,1.1791992,1,4,55
-0.23388672,-0.8334961,1.394043,1,4,56
-0.32421875,-0.9013672,1.7963867,1,4,57
-1.2539062,-0.6425781,1.7929688,1,4,58
-2.0019531,-0.3647461,1.3989258,1,4,59
-1.9013672,-0.35205078,1.390625,1,4,60
-1.7119141,-0.44384766,1.0170898,1,4,61
-1.34375,-0.54248047,1.0449219,1,4,62
-1.0043945,-0.68603516,1.1411133,1,4,63
-0.65283203,-0.7441406,1.5957031,1,4,64
-0.11035156,-0.8222656,2.7124023,1,4,65
0.44091797,-0.8574219,3.4267578,1,4,66
0.9765625,0.25634766,3.7514648,1,4,67
1.7324219,3.0219727,1.8852539,1,4,68
13.47168,2.7851562,0.3100586,1,4,69
6.701172,-0.45263672,2.1342773,1,4,70
2.8085938,-2.5595703,3.0859375,1,4,71
5.7231445,-3.3969727,2.4335938,1,4,72
3.6713867,-1.3886719,2.1064453,1,4,73
3.2021484,0.6508789,1.7392578,1,4,74
4.3598633,1.0454102,1.4765625,1,4,75
4.3378906,0.6616211,1.1816406,1,4,76
4.254883,0.29882812,1.3369141,1,4,77
3.9228516,0.052246094,1.1533203,1,4,78
3.6279297,0.20263672,1.0175781,1,4,79
3.3989258,0.21240234,1.0244141,1,4,80
3.7666016,-0.0068359375,0.85302734,1,4,81
3.637207,-0.31298828,0.7324219,1,4,82
3.1186523,0.025878906,0.9145508,1,4,83
3.0214844,0.08544922,1.0805664,1,4,84
2.7597656,-0.4794922,0.73046875,1,4,85
2.2143555,-0.42871094,0.63427734,1,4,86
1.6459961,-0.1850586,1.2890625,1,4,87
1.0410156,-0.5805664,1.0522461,1,4,88
0.40478516,-0.80908203,1.2241211,1,4,89
-0.055664062,-0.7631836,1.2011719,1,4,90
-0.2783203,-0.50683594,1.1665039,1,4,91
-0.609375,-0.19677734,1.2470703,1,4,92
-0.79785156,-0.06591797,1.2783203,1,4,93
-0.8359375,0.08935547,1.5195312,1,4,94
-1.5302734,0.19238281,1.4985352,1,4,95
-1.8808594,0.4116211,1.2695312,1,4,96
-1.7133789,0.39257812,1.1816406,1,4,97
-1.2587891,0.37304688,1.0151367,1,4,98
-0.85546875,0.4970703,1.1181641,1,4,99
-0.33398438,0.77246094,1.2822266,1,4,100
0.265625,0.81933594,2.0419922,1,4,101
0.87841797,1.0703125,3.6333008,1,4,102
1.4985352,1.1665039,4.2626953,1,4,103
1.496582,-0.5571289,3.208496,1,4,104
2.3588867,-4.321289,1.8891602,1,4,105
11.775391,-3.4970703,0.8564453,1,4,106
7.373535,0.7236328,2.0585938,1,4,107
3.328125,3.0097656,2.5097656,1,4,108
4.789551,2.6479492,1.59375,1,4,109
2.9038086,0.8720703,1.4790039,1,4,110
3.265625,-0.08984375,1.6469727,1,4,111
4.5546875,-0.45751953,1.1665039,1,4,112
5.430664,-0.5722656,0.7451172,1,4,113
2.571289,-0.6879883,0.70996094,1,4,114
3.4956055,-0.48828125,0.75927734,1,4,115
3.4863281,-0.6635742,0.88378906,1,4,116
3.4975586,-0.42822266,1.0170898,1,4,117
3.1967773,-0.14697266,0.89404297,1,4,118
2.8208008,-0.23779297,1.0532227,1,4,119
2.5024414,0.19873047,0.68408203,1,4,120
2.5200195,0.5854492,0.81347656,1,4,121
2.0043945,0.7314453,0.6894531,1,4,122
1.3735352,0.46289062,0.82128906,1,4,123
0.86083984,0.21289062,1.1005859,1,4,124
0.60791016,-0.0078125,1.4169922,1,4,125
0.4873047,-0.28466797,1.5249023,1,4,126
0.030273438,-0.5878906,1.6191406,1,4,127
-0.21484375,-1.0058594,1.6523438,1,4,128
-0.70996094,-0.9316406,1.8251953,1,4,129
-1.9492188,-0.39257812,1.5205078,1,4,130
-2.2763672,-0.27783203,1.2285156,1,4,131
-1.9199219,-0.3857422,1.1025391,1,4,132
-1.5058594,-0.6040039,1.1103516,1,4,133
-1.1147461,-0.90283203,1.3017578,1,4,134
-0.8232422,-0.90283203,1.8452148,1,4,135
-0.43554688,-0.7270508,2.4799805,1,4,136
0.19238281,-0.70214844,3.1728516,1,4,137
0.6430664,-0.045410156,3.2016602,1,4,138
1.0620117,2.637207,1.8930664,1,4,139
7.157715,3.2539062,0.6611328,1,4,140
9.825195,-0.35546875,1.4194336,1,4,141
2.8007812,-2.0405273,2.953125,1,4,142
5.782715,-3.6762695,2.2329102,1,4,143
3.96875,-1.9267578,1.8046875,1,4,144
2.9018555,0.3071289,1.7050781,1,4,145
3.6782227,0.6743164,1.4492188,1,4,146
4.6030273,0.47509766,1.1381836,1,4,147
4.286133,0.2758789,1.1220703,1,4,148
4.347168,0.05078125,1.1113281,1,4,149
3.6264648,0.26367188,0.8466797,1,4,150
3.5073242,0.17089844,0.8886719,1,4,151
3.479004,0.4580078,0.99121094,1,4,152
4.0629883,-1.1049805,0.14697266,1,4,153
2.9467773,0.5073242,1.2631836,1,4,154
3.0952148,-0.2709961,0.8203125,1,4,155
2.989746,-0.5292969,0.7011719,1,4,156
2.4506836,-0.23388672,0.73095703,1,4,157
2.0063477,0.35546875,1.3540039,1,4,158
1.5698242,-0.1381836,1.2573242,1,4,159
1.0839844,-0.4946289,1.1054688,1,4,160
0.22949219,-0.76220703,1.0532227,1,4,161
-0.12890625,-0.7050781,1.2983398,1,4,162
-0.5126953,-0.36279297,1.3266602,1,4,163
-0.9243164,-0.27783203,1.2866211,1,4,164
-1.2617188,-0.053710938,1.5166016,1,4,165
-1.2963867,0.11767578,1.6391602,1,4,166
-2.015625,0.048339844,1.3706055,1,4,167
-2.2231445,0.14453125,1.1625977,1,4,168
-1.6362305,0.3540039,1.1787109,1,4,169
-1.1860352,0.6015625,1.1342773,1,4,170
-0.75927734,0.7104492,1.0463867,1,4,171
-0.12060547,0.8027344,1.4394531,1,4,172
0.82373047,1.3535156,3.0405273,1,4,173
1.4204102,1.7709961,4.1811523,1,4,174
1.6064453,0.34228516,2.8735352,1,4,175
2.2016602,-2.9106445,1.996582,1,4,176
