"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",61,"right"
1,"peaks[1]",97,"left"
1,"peaks[2]",132,"right"
1,"peaks[3]",168,"left"
1,"peaks[4]",204,"right"
1,"peaks[5]",239,"left"
1,"peaks[6]",274,"right"
1,"peaks[7]",310,"left"
1,"peaks[8]",345,"right"
1,"peaks[9]",380,"left"
1,"peaks[10]",417,"right"
1,"peaks[11]",452,"left"
1,"peaks[12]",488,"right"
1,"peaks[13]",523,"left"
1,"peaks[14]",559,"right"
1,"peaks[15]",594,"left"
1,"peaks[16]",631,"right"
1,"peaks[17]",666,"left"
1,"peaks[18]",702,"right"
1,"peaks[19]",738,"left"
1,"peaks[20]",773,"right"
1,"peaks[21]",809,"left"
1,"peaks[22]",845,"right"
1,"peaks[23]",880,"left"
1,"peaks[24]",915,"right"
1,"peaks[25]",951,"left"
1,"peaks[26]",986,"right"
1,"peaks[27]",1023,"left"
1,"peaks[28]",1058,"right"
1,"peaks[29]",1094,"left"
1,"peaks[30]",1128,"right"
1,"peaks[31]",1164,"left"
1,"peaks[32]",1199,"right"
1,"peaks[33]",1235,"left"
1,"peaks[34]",1272,"right"
1,"peaks[35]",1307,"left"
1,"peaks[36]",1341,"right"
1,"peaks[37]",1377,"left"
1,"peaks[38]",1413,"right"
1,"peaks[39]",1450,"left"
1,"peaks[40]",1484,"right"
1,"peaks[41]",1520,"left"
1,"peaks[42]",1556,"right"
1,"peaks[43]",1592,"left"
1,"peaks[44]",1627,"right"
1,"peaks[45]",1663,"left"
1,"peaks[46]",1697,"right"
1,"peaks[47]",1732,"left"
1,"peaks[48]",1768,"right"
1,"peaks[49]",1804,"left"
1,"peaks[50]",1838,"right"
1,"peaks[51]",1875,"left"
1,"peaks[52]",1909,"right"
1,"peaks[53]",1947,"left"
1,"peaks[54]",1982,"right"
1,"peaks[55]",2018,"left"
1,"peaks[56]",2054,"right"
1,"peaks[57]",2090,"left"
1,"peaks[58]",2125,"right"
1,"peaks[59]",2161,"left"
1,"peaks[60]",2196,"right"
1,"peaks[61]",2232,"left"
1,"peaks[62]",2267,"right"
1,"peaks[63]",2303,"left"
1,"peaks[64]",2338,"right"
1,"peaks[65]",2374,"left"
1,"peaks[66]",2410,"right"
1,"peaks[67]",2444,"left"
1,"peaks[68]",2480,"right"
1,"peaks[69]",2515,"left"
1,"peaks[70]",2551,"right"
1,"peaks[71]",2586,"left"
1,"peaks[72]",2620,"right"
1,"peaks[73]",2658,"left"
1,"peaks[74]",2693,"right"
1,"peaks[75]",2728,"left"
1,"peaks[76]",2763,"right"
1,"peaks[77]",2800,"left"
1,"peaks[78]",2835,"right"
1,"peaks[79]",2871,"left"
1,"peaks[80]",2906,"right"
1,"peaks[81]",2942,"left"
