"x","y","z","interval_no","runtype","packet_no"
-1.1782227,-0.18115234,8.432617,1,4,1
-2.1342773,-2.6879883,6.762207,1,4,2
1.4194336,8.937012,1.9941406,1,4,3
8.934082,8.564453,0.97802734,1,4,4
7.9907227,-1.340332,5.4243164,1,4,5
4.0932617,-1.6757812,4.5717773,1,4,6
5.89209,-6.6396484,2.5908203,1,4,7
8.150879,-8.105469,2.9555664,1,4,8
1.5654297,-3.7285156,3.1391602,1,4,9
0.8847656,-3.006836,2.359375,1,4,10
4.7192383,-1.8793945,2.019043,1,4,11
7.4155273,-0.7480469,2.5483398,1,4,12
7.1796875,-0.13476562,1.8808594,1,4,13
4.349121,1.0585938,1.7866211,1,4,14
2.644043,1.21875,1.6665039,1,4,15
3.0444336,0.89404297,1.6987305,1,4,16
3.0083008,0.35302734,2.1396484,1,4,17
2.8725586,0.14697266,2.260254,1,4,18
3.0361328,0.10253906,2.1743164,1,4,19
2.5639648,-0.17285156,1.7001953,1,4,20
1.4472656,-0.099609375,1.7324219,1,4,21
1.0161133,-0.40576172,1.9882812,1,4,22
0.6118164,-0.58203125,1.8300781,1,4,23
-0.053710938,-0.1796875,1.7558594,1,4,24
-0.8017578,0.4321289,1.8867188,1,4,25
-0.7651367,0.5175781,1.534668,1,4,26
-0.7675781,0.51660156,1.2866211,1,4,27
-0.9223633,0.54345703,1.1025391,1,4,28
-1.0009766,0.4716797,0.9682617,1,4,29
-1.0019531,0.359375,0.75341797,1,4,30
-1.1811523,0.72802734,0.6220703,1,4,31
-1.284668,1.0717773,0.62402344,1,4,32
-1.1064453,1.1259766,0.7939453,1,4,33
-0.8354492,0.8227539,1.1845703,1,4,34
-0.7451172,0.42626953,1.5473633,1,4,35
-0.34423828,0.16552734,1.6708984,1,4,36
-0.52490234,0.21191406,2.3881836,1,4,37
-0.72998047,0.6113281,6.1850586,1,4,38
-1.3857422,2.8828125,8.629395,1,4,39
-2.1723633,1.1860352,7.338867,1,4,40
7.3007812,-15.185059,-0.44580078,1,4,41
8.907715,-3.663086,-1.7197266,1,4,42
5.9555664,2.446289,6.338867,1,4,43
4.876465,2.458496,0.9980469,1,4,44
4.8237305,6.0771484,3.0595703,1,4,45
