"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",32,"left"
1,"peaks[1]",69,"right"
1,"peaks[2]",107,"left"
1,"peaks[3]",142,"right"
1,"peaks[4]",180,"left"
1,"peaks[5]",216,"right"
1,"peaks[6]",254,"left"
1,"peaks[7]",290,"right"
1,"peaks[8]",329,"left"
1,"peaks[9]",364,"right"
1,"peaks[10]",403,"left"
1,"peaks[11]",437,"right"
1,"peaks[12]",476,"left"
1,"peaks[13]",512,"right"
1,"peaks[14]",551,"left"
1,"peaks[15]",587,"right"
1,"peaks[16]",626,"left"
1,"peaks[17]",662,"right"
1,"peaks[18]",700,"left"
1,"peaks[19]",736,"right"
1,"peaks[20]",773,"left"
1,"peaks[21]",810,"right"
1,"peaks[22]",848,"left"
1,"peaks[23]",884,"right"
1,"peaks[24]",922,"left"
1,"peaks[25]",958,"right"
1,"peaks[26]",997,"left"
1,"peaks[27]",1033,"right"
1,"peaks[28]",1070,"left"
1,"peaks[29]",1106,"right"
1,"peaks[30]",1144,"left"
1,"peaks[31]",1180,"right"
1,"peaks[32]",1219,"left"
1,"peaks[33]",1255,"right"
1,"peaks[34]",1294,"left"
1,"peaks[35]",1329,"right"
1,"peaks[36]",1367,"left"
1,"peaks[37]",1403,"right"
1,"peaks[38]",1442,"left"
1,"peaks[39]",1478,"right"
1,"peaks[40]",1517,"left"
1,"peaks[41]",1553,"right"
1,"peaks[42]",1591,"left"
1,"peaks[43]",1627,"right"
1,"peaks[44]",1664,"left"
1,"peaks[45]",1701,"right"
1,"peaks[46]",1739,"left"
1,"peaks[47]",1776,"right"
1,"peaks[48]",1814,"left"
1,"peaks[49]",1851,"right"
1,"peaks[50]",1890,"left"
1,"peaks[51]",1926,"right"
1,"peaks[52]",1964,"left"
1,"peaks[53]",2001,"right"
1,"peaks[54]",2039,"left"
1,"peaks[55]",2075,"right"
1,"peaks[56]",2114,"left"
1,"peaks[57]",2151,"right"
1,"peaks[58]",2188,"left"
1,"peaks[59]",2225,"right"
1,"peaks[60]",2264,"left"
1,"peaks[61]",2301,"right"
1,"peaks[62]",2340,"left"
1,"peaks[63]",2375,"right"
1,"peaks[64]",2414,"left"
1,"peaks[65]",2450,"right"
1,"peaks[66]",2489,"left"
1,"peaks[67]",2525,"right"
1,"peaks[68]",2563,"left"
1,"peaks[69]",2599,"right"
1,"peaks[70]",2637,"left"
1,"peaks[71]",2673,"right"
1,"peaks[72]",2711,"left"
1,"peaks[73]",2748,"right"
1,"peaks[74]",2787,"left"
1,"peaks[75]",2823,"right"
1,"peaks[76]",2861,"left"
1,"peaks[77]",2898,"right"
1,"peaks[78]",2936,"left"
