"x","y","z","interval_no","runtype","packet_no"
0.58984375,-0.27978516,1.7138672,1,4,1
-0.13671875,0.2006836,1.7285156,1,4,2
-0.4638672,0.6694336,1.4677734,1,4,3
-0.7421875,0.91015625,1.5727539,1,4,4
-0.8334961,0.8276367,1.5112305,1,4,5
-0.9033203,0.6689453,1.4511719,1,4,6
-0.9013672,0.32861328,1.2197266,1,4,7
-1.328125,0.42089844,1.0517578,1,4,8
-1.652832,0.67333984,0.89746094,1,4,9
-1.5195312,0.6074219,0.6777344,1,4,10
-1.3681641,0.3154297,0.79052734,1,4,11
-0.9741211,-0.20507812,0.83251953,1,4,12
-0.5776367,-0.3461914,0.6381836,1,4,13
-0.82714844,-0.25097656,2.2768555,1,4,14
-0.76123047,1.5717773,8.21875,1,4,15
-0.73828125,4.2055664,9.010742,1,4,16
0.58740234,-4.8120117,4.3442383,1,4,17
7.491699,-12.713379,-4.739746,1,4,18
8.46582,0.3828125,2.5634766,1,4,19
6.57666,2.6884766,4.2070312,1,4,20
6.4155273,4.7978516,1.5219727,1,4,21
3.4169922,6.432617,2.3583984,1,4,22
0.5449219,3.5166016,2.4716797,1,4,23
0.7685547,2.0395508,2.0336914,1,4,24
3.9570312,2.4414062,2.012207,1,4,25
5.770508,1.3662109,1.5229492,1,4,26
6.876953,0.5288086,1.3852539,1,4,27
4.4243164,-0.37939453,2.0561523,1,4,28
2.5605469,-1.3891602,1.996582,1,4,29
2.4804688,-1.8398438,1.6894531,1,4,30
2.3896484,-1.0800781,1.3520508,1,4,31
2.637207,-0.111816406,1.6430664,1,4,32
2.5844727,0.7558594,1.7885742,1,4,33
2.1762695,0.57177734,1.6206055,1,4,34
1.4311523,0.7705078,1.6967773,1,4,35
0.8300781,0.63134766,1.5234375,1,4,36
0.17578125,0.3330078,1.5239258,1,4,37
-0.19873047,-0.078125,1.7094727,1,4,38
-0.20996094,-0.4453125,1.5366211,1,4,39
-0.23388672,-0.8442383,1.3193359,1,4,40
-0.52783203,-1.1035156,1.4228516,1,4,41
-0.70703125,-1.265625,1.4638672,1,4,42
-1.0639648,-1.3071289,1.2734375,1,4,43
-1.5102539,-1.4018555,1.1674805,1,4,44
-1.6074219,-1.3222656,0.8330078,1,4,45
-1.4555664,-0.8486328,0.65625,1,4,46
-1.2939453,-0.46435547,0.8569336,1,4,47
-0.82421875,-0.0029296875,1.0410156,1,4,48
-0.6464844,0.5083008,1.4013672,1,4,49
-0.9824219,0.6982422,2.600586,1,4,50
-0.025390625,0.8442383,10.605469,1,4,51
-0.4765625,-1.7006836,6.3310547,1,4,52
1.0795898,8.942383,0.08154297,1,4,53
5.466797,6.998535,1.0712891,1,4,54
5.9833984,0.099121094,3.463379,1,4,55
5.476074,-1.5708008,5.434082,1,4,56
7.932617,-2.0605469,2.371582,1,4,57
11.077148,-8.441895,4.5180664,1,4,58
3.9833984,-4.6054688,3.0405273,1,4,59
0.16845703,-3.296875,2.2597656,1,4,60
0.9995117,-2.3149414,1.2768555,1,4,61
4.928711,-1.1611328,1.980957,1,4,62
6.864258,-0.009277344,2.34375,1,4,63
6.4370117,0.49365234,1.7167969,1,4,64
3.369629,1.4814453,1.8754883,1,4,65
2.5913086,1.1791992,1.3139648,1,4,66
2.6889648,0.72314453,1.3115234,1,4,67
2.5966797,0.5854492,1.5649414,1,4,68
2.4467773,0.47802734,1.8212891,1,4,69
2.5722656,0.49267578,1.5551758,1,4,70
2.6894531,0.2163086,1.3452148,1,4,71
1.6987305,-0.35888672,1.3500977,1,4,72
0.94384766,-0.62841797,1.5332031,1,4,73
0.17089844,-0.5371094,1.5961914,1,4,74
-0.21484375,-0.095214844,1.5771484,1,4,75
-0.2607422,0.23339844,1.5307617,1,4,76
-0.5371094,0.63378906,1.5004883,1,4,77
-0.85839844,0.7709961,1.5087891,1,4,78
-0.83154297,0.67333984,1.5146484,1,4,79
-0.71728516,0.56884766,1.3154297,1,4,80
-1.0693359,0.50097656,1.2802734,1,4,81
