"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",46,"right"
1,"peaks[1]",84,"left"
1,"peaks[2]",120,"right"
1,"peaks[3]",158,"left"
1,"peaks[4]",194,"right"
1,"peaks[5]",232,"left"
1,"peaks[6]",269,"right"
1,"peaks[7]",305,"left"
1,"peaks[8]",340,"right"
1,"peaks[9]",378,"left"
1,"peaks[10]",414,"right"
1,"peaks[11]",451,"left"
1,"peaks[12]",488,"right"
1,"peaks[13]",525,"left"
1,"peaks[14]",562,"right"
1,"peaks[15]",599,"left"
1,"peaks[16]",635,"right"
1,"peaks[17]",673,"left"
1,"peaks[18]",709,"right"
1,"peaks[19]",746,"left"
1,"peaks[20]",783,"right"
1,"peaks[21]",821,"left"
1,"peaks[22]",856,"right"
1,"peaks[23]",894,"left"
1,"peaks[24]",930,"right"
1,"peaks[25]",968,"left"
1,"peaks[26]",1004,"right"
1,"peaks[27]",1041,"left"
1,"peaks[28]",1077,"right"
1,"peaks[29]",1114,"left"
1,"peaks[30]",1150,"right"
1,"peaks[31]",1186,"left"
1,"peaks[32]",1222,"right"
1,"peaks[33]",1260,"left"
1,"peaks[34]",1297,"right"
1,"peaks[35]",1334,"left"
1,"peaks[36]",1369,"right"
1,"peaks[37]",1407,"left"
1,"peaks[38]",1443,"right"
1,"peaks[39]",1480,"left"
1,"peaks[40]",1517,"right"
1,"peaks[41]",1554,"left"
1,"peaks[42]",1590,"right"
1,"peaks[43]",1628,"left"
1,"peaks[44]",1664,"right"
1,"peaks[45]",1701,"left"
1,"peaks[46]",1738,"right"
1,"peaks[47]",1777,"left"
1,"peaks[48]",1812,"right"
1,"peaks[49]",1850,"left"
1,"peaks[50]",1886,"right"
1,"peaks[51]",1924,"left"
1,"peaks[52]",1961,"right"
1,"peaks[53]",1998,"left"
1,"peaks[54]",2034,"right"
1,"peaks[55]",2073,"left"
1,"peaks[56]",2109,"right"
1,"peaks[57]",2146,"left"
1,"peaks[58]",2182,"right"
1,"peaks[59]",2219,"left"
1,"peaks[60]",2256,"right"
1,"peaks[61]",2292,"left"
1,"peaks[62]",2328,"right"
1,"peaks[63]",2366,"left"
1,"peaks[64]",2402,"right"
1,"peaks[65]",2440,"left"
1,"peaks[66]",2476,"right"
1,"peaks[67]",2513,"left"
1,"peaks[68]",2550,"right"
1,"peaks[69]",2588,"left"
1,"peaks[70]",2623,"right"
1,"peaks[71]",2660,"left"
1,"peaks[72]",2696,"right"
1,"peaks[73]",2733,"left"
1,"peaks[74]",2769,"right"
1,"peaks[75]",2807,"left"
1,"peaks[76]",2842,"right"
1,"peaks[77]",2880,"left"
1,"peaks[78]",2916,"right"
1,"peaks[79]",2953,"left"
