"x","y","z","interval_no","runtype","packet_no"
-0.25390625,0.3022461,1.2548828,1,4,1
0.5078125,0.07519531,2.5932617,1,4,2
2.574707,-0.028320312,5.5859375,1,4,3
4.4814453,0.9589844,4.48291,1,4,4
5.112793,1.0581055,1.2880859,1,4,5
6.436035,-2.3925781,0.80859375,1,4,6
4.3950195,-4.0024414,2.3115234,1,4,7
3.3242188,-1.878418,2.6748047,1,4,8
2.8769531,-0.7421875,2.4052734,1,4,9
3.520996,0.30322266,1.90625,1,4,10
4.3969727,0.54003906,1.8422852,1,4,11
4.725586,0.6699219,1.9467773,1,4,12
4.591797,0.22509766,1.4345703,1,4,13
3.8115234,-0.13671875,0.95947266,1,4,14
3.5683594,0.107910156,0.83935547,1,4,15
3.6113281,0.13916016,0.9550781,1,4,16
3.5004883,0.35595703,1.1435547,1,4,17
3.538086,0.33544922,1.1982422,1,4,18
3.0786133,0.30126953,1.440918,1,4,19
2.3432617,0.29003906,1.3354492,1,4,20
1.644043,0.40429688,1.2373047,1,4,21
0.87060547,0.3330078,1.2485352,1,4,22
0.43554688,0.10888672,1.152832,1,4,23
0.24023438,0.30664062,1.230957,1,4,24
0.2841797,0.2915039,1.2734375,1,4,25
0.16601562,0.1743164,1.7602539,1,4,26
0.038085938,0.11425781,2.1416016,1,4,27
-0.328125,0.1303711,2.5249023,1,4,28
-0.72509766,-0.31640625,2.4799805,1,4,29
-1.1147461,-0.7426758,2.1030273,1,4,30
-1.2001953,-0.84521484,1.8027344,1,4,31
-1.0585938,-1.0195312,1.5297852,1,4,32
-0.86279297,-0.7182617,1.2602539,1,4,33
-0.7314453,-0.7182617,1.1855469,1,4,34
-0.42578125,-0.7817383,1.0083008,1,4,35
0.31640625,0.022460938,1.3056641,1,4,36
1.2133789,0.45751953,3.4248047,1,4,37
3.8027344,-0.17822266,6.5908203,1,4,38
4.7475586,-0.8613281,2.3276367,1,4,39
4.666992,1.1796875,0.7138672,1,4,40
5.456543,4.0009766,0.78027344,1,4,41
5.6816406,3.6713867,3.7832031,1,4,42
3.8374023,1.0136719,2.9677734,1,4,43
2.824707,-0.13085938,1.8359375,1,4,44
3.621582,-0.88720703,1.4912109,1,4,45
5.132324,-0.42382812,1.6147461,1,4,46
4.444336,0.20654297,1.9082031,1,4,47
3.9194336,0.13623047,1.1367188,1,4,48
3.2182617,-0.09326172,1.1884766,1,4,49
3.9472656,-0.10546875,0.73535156,1,4,50
3.819336,0.18261719,1.2412109,1,4,51
3.8173828,0.20361328,1.4418945,1,4,52
3.4169922,0.3330078,1.2734375,1,4,53
2.340332,0.017089844,1.2226562,1,4,54
1.7138672,-0.19970703,1.3759766,1,4,55
1.5800781,-0.1821289,1.4042969,1,4,56
1.0932617,0.04248047,1.3491211,1,4,57
0.66064453,-0.13769531,1.1762695,1,4,58
0.37353516,-0.22021484,1.2089844,1,4,59
0.17333984,-0.1928711,1.5161133,1,4,60
-0.0053710938,-0.22705078,1.9692383,1,4,61
-0.2055664,-0.21679688,2.0961914,1,4,62
-0.51953125,-0.2290039,1.8276367,1,4,63
-0.6821289,-0.33154297,1.6499023,1,4,64
-0.91552734,-0.08886719,1.753418,1,4,65
-0.9194336,0.26171875,1.8535156,1,4,66
-0.8173828,0.42382812,1.7783203,1,4,67
-0.7138672,0.66308594,1.4643555,1,4,68
-0.7167969,0.65625,1.0224609,1,4,69
-0.75,0.5600586,1.0336914,1,4,70
-0.41015625,0.33447266,0.9897461,1,4,71
0.7607422,-0.027832031,1.71875,1,4,72
2.6108398,-0.96191406,5.274414,1,4,73
5.9384766,0.67822266,5.413574,1,4,74
6.195801,1.6381836,1.8466797,1,4,75
7.0058594,-2.2421875,0.85546875,1,4,76
4.1083984,-3.1953125,2.9145508,1,4,77
2.7280273,-2.0317383,2.0048828,1,4,78
2.3408203,-0.5473633,2.1455078,1,4,79
3.4750977,0.2475586,1.9697266,1,4,80
4.6796875,0.45117188,2.0454102,1,4,81
5.1430664,0.31152344,1.9399414,1,4,82
4.7441406,-0.16210938,1.1933594,1,4,83
3.7416992,-0.16259766,1.1137695,1,4,84
3.944336,0.057617188,0.75,1,4,85
3.5981445,-0.18408203,0.9301758,1,4,86
3.7661133,-0.068359375,1.0605469,1,4,87
3.2519531,-0.122558594,1.2734375,1,4,88
2.4433594,0.08251953,1.3896484,1,4,89
1.8388672,0.24511719,1.1430664,1,4,90
1.1064453,0.22558594,1.1777344,1,4,91
0.5263672,0.092285156,1.1088867,1,4,92
0.3798828,0.123046875,1.0463867,1,4,93
0.50097656,0.2055664,1.1054688,1,4,94
0.54589844,0.33251953,1.4995117,1,4,95
0.30566406,0.12939453,1.9306641,1,4,96
-0.09033203,0.109375,2.302246,1,4,97
-0.4428711,0.04638672,2.5327148,1,4,98
-0.80908203,-0.06933594,2.4194336,1,4,99
-1.1342773,-0.2084961,2.2875977,1,4,100
-1.1411133,-0.37060547,1.8666992,1,4,101
-1.0717773,-0.56884766,1.628418,1,4,102
-0.9375,-0.52001953,1.3769531,1,4,103
-0.9169922,-0.95703125,1.1342773,1,4,104
-0.5473633,-0.5395508,0.97216797,1,4,105
0.038085938,0.15966797,1.0039062,1,4,106
0.63623047,0.75146484,2.0927734,1,4,107
2.0800781,0.5991211,5.3115234,1,4,108
4.9697266,-1.0991211,6.5703125,1,4,109
5.2617188,-1.6108398,1.0546875,1,4,110
5.5146484,2.4404297,0.45117188,1,4,111
5.828125,4.4472656,1.5917969,1,4,112
5.076172,2.4663086,4.0249023,1,4,113
3.069336,0.4375,2.0390625,1,4,114
3.3149414,-0.17333984,1.081543,1,4,115
4.335449,-0.23242188,1.4360352,1,4,116
5.2436523,-0.47607422,1.9750977,1,4,117
4.32959,-0.17529297,1.5991211,1,4,118
3.7714844,-0.47509766,0.8798828,1,4,119
3.7226562,-0.3642578,0.67333984,1,4,120
3.7329102,-0.140625,1.0273438,1,4,121
4.161621,-0.06591797,1.4785156,1,4,122
3.7177734,-0.016601562,1.5488281,1,4,123
