"x","y","z","interval_no","runtype","packet_no"
4.758301,0.56689453,2.387207,1,4,1
5.205078,-2.0625,2.8105469,1,4,2
5.907715,-2.9296875,3.4414062,1,4,3
5.2788086,-2.6425781,3.1542969,1,4,4
3.9760742,-1.4853516,3.0683594,1,4,5
3.3754883,0.023925781,2.322754,1,4,6
3.0424805,0.55078125,2.057129,1,4,7
3.7910156,0.6665039,1.9716797,1,4,8
3.9716797,0.82910156,1.9267578,1,4,9
4.209961,0.4506836,1.9291992,1,4,10
4.2456055,0.0034179688,1.6816406,1,4,11
3.690918,-0.29101562,1.8041992,1,4,12
3.2988281,-0.49365234,1.6787109,1,4,13
3.1645508,-0.4970703,1.5068359,1,4,14
2.6694336,-0.30810547,1.6137695,1,4,15
2.1103516,0.09814453,1.6044922,1,4,16
1.7470703,0.5493164,1.5771484,1,4,17
1.3208008,0.8911133,1.4125977,1,4,18
0.87402344,1.0053711,1.2480469,1,4,19
0.37548828,0.9169922,1.3544922,1,4,20
-0.032714844,0.6879883,1.3847656,1,4,21
-0.75634766,-0.088378906,1.5537109,1,4,22
-1.4003906,-0.29736328,1.5869141,1,4,23
-1.9121094,-0.38476562,1.6489258,1,4,24
-1.9130859,-0.44189453,1.34375,1,4,25
-1.9311523,-0.36865234,0.99853516,1,4,26
-1.6049805,-0.265625,0.7709961,1,4,27
-1.0986328,-0.14257812,0.67626953,1,4,28
-0.48779297,0.052246094,1.0112305,1,4,29
0.032226562,0.3232422,1.7827148,1,4,30
0.6230469,0.78271484,3.6210938,1,4,31
1.2924805,1.1855469,5.7387695,1,4,32
1.2026367,0.67626953,4.598633,1,4,33
3.1420898,-3.109375,1.8017578,1,4,34
6.211914,-2.6166992,1.5854492,1,4,35
6.046875,2.1699219,2.9970703,1,4,36
4.07959,3.0048828,3.3642578,1,4,37
5.758301,3.6137695,3.1914062,1,4,38
4.6870117,2.631836,3.1049805,1,4,39
3.7792969,0.8383789,2.4487305,1,4,40
4.0629883,-0.06640625,2.213379,1,4,41
3.9521484,-0.7216797,1.8657227,1,4,42
3.790039,-0.66748047,1.9072266,1,4,43
3.6279297,-0.29541016,1.7319336,1,4,44
3.7543945,0.24316406,1.6928711,1,4,45
3.5952148,0.43652344,1.6948242,1,4,46
3.4199219,0.65722656,1.7724609,1,4,47
2.9248047,0.71435547,1.7128906,1,4,48
2.4433594,0.5883789,1.7822266,1,4,49
2.0273438,0.052734375,1.7905273,1,4,50
1.4741211,-0.5126953,1.5556641,1,4,51
0.78271484,-0.7841797,1.4609375,1,4,52
0.12695312,-0.9560547,1.4257812,1,4,53
-0.41210938,-0.99853516,1.4707031,1,4,54
-0.734375,-0.66796875,1.3652344,1,4,55
-1.3920898,-0.018066406,1.4321289,1,4,56
-2.1035156,0.06982422,1.2592773,1,4,57
-2.0844727,0.08984375,1.1821289,1,4,58
-1.4707031,0.17285156,1.2216797,1,4,59
-1.0849609,0.20361328,1.2080078,1,4,60
-0.7680664,0.16357422,0.97509766,1,4,61
-0.39941406,0.38427734,0.80029297,1,4,62
0.05908203,0.16308594,0.9453125,1,4,63
0.6245117,-0.14746094,1.3857422,1,4,64
1.1264648,-0.51464844,2.9902344,1,4,65
1.6894531,-0.57177734,5.461914,1,4,66
1.637207,-0.72314453,4.729004,1,4,67
1.9057617,1.9086914,2.1542969,1,4,68
4.0566406,3.0361328,1.300293,1,4,69
5.1533203,-0.66259766,2.5249023,1,4,70
4.756836,-1.8999023,3.213379,1,4,71
5.5288086,-2.612793,3.2749023,1,4,72
4.8374023,-2.0205078,3.0541992,1,4,73
3.625,-0.9711914,2.7807617,1,4,74
3.1386719,0.1928711,2.1020508,1,4,75
3.430664,0.5004883,1.9521484,1,4,76
4.100586,0.72558594,1.8911133,1,4,77
4.0317383,0.7734375,1.7939453,1,4,78
4.166504,0.25683594,1.8979492,1,4,79
4.043457,-0.07763672,1.7646484,1,4,80
3.3740234,-0.23144531,1.8027344,1,4,81
3.0981445,-0.46191406,1.6108398,1,4,82
2.8979492,-0.44970703,1.5625,1,4,83
2.3066406,-0.12207031,1.7617188,1,4,84
1.8325195,0.23242188,1.6523438,1,4,85
1.3647461,0.61035156,1.6171875,1,4,86
1.0126953,0.84814453,1.4428711,1,4,87
0.6113281,0.98779297,1.3891602,1,4,88
0.2709961,0.9042969,1.5307617,1,4,89
-0.10205078,0.45654297,1.4379883,1,4,90
-0.9926758,-0.20947266,1.5087891,1,4,91
-1.6328125,-0.19140625,1.4257812,1,4,92
-1.699707,-0.2084961,1.4516602,1,4,93
-1.7104492,-0.33007812,1.1386719,1,4,94
-1.7104492,-0.140625,0.8666992,1,4,95
-1.2373047,-0.07910156,0.7788086,1,4,96
-0.7246094,-0.037597656,0.85498047,1,4,97
-0.13623047,0.19580078,1.2119141,1,4,98
0.28759766,0.3256836,2.1108398,1,4,99
0.95751953,0.9604492,4.754883,1,4,100
1.3574219,1.1791992,5.644043,1,4,101
1.0947266,-0.29541016,3.6201172,1,4,102
3.6816406,-4.522949,1.2797852,1,4,103
5.949707,-1.0976562,1.4599609,1,4,104
5.190918,2.5253906,3.4467773,1,4,105
4.813965,3.0058594,3.0615234,1,4,106
5.8862305,3.590332,3.0292969,1,4,107
4.3066406,2.1079102,2.9746094,1,4,108
3.4018555,0.39941406,2.2998047,1,4,109
3.9985352,-0.42285156,1.9916992,1,4,110
3.7578125,-0.82470703,1.8735352,1,4,111
3.7304688,-0.6538086,1.7607422,1,4,112
3.9604492,-0.2734375,1.5947266,1,4,113
4.027832,0.3017578,1.6132812,1,4,114
3.741211,0.5439453,1.8374023,1,4,115
3.4521484,0.7573242,1.78125,1,4,116
2.7983398,0.8359375,1.7495117,1,4,117
2.387207,0.3774414,1.8505859,1,4,118
1.972168,-0.39990234,1.7705078,1,4,119
1.503418,-0.8798828,1.4047852,1,4,120
0.88916016,-0.9995117,1.4667969,1,4,121
0.18408203,-0.9848633,1.6640625,1,4,122
-0.3388672,-0.82373047,1.5698242,1,4,123
-1.1240234,-0.025878906,1.4482422,1,4,124
-1.8676758,0.25146484,1.4038086,1,4,125
-2.2832031,0.38867188,1.3544922,1,4,126
-1.7915039,0.3330078,1.4482422,1,4,127
-1.5488281,0.4584961,1.3012695,1,4,128
-1.324707,0.3232422,0.9350586,1,4,129
-0.92285156,0.5161133,0.8613281,1,4,130
-0.30126953,0.33789062,1.0996094,1,4,131
0.34960938,-0.053710938,1.5317383,1,4,132
0.8925781,-0.51904297,3.0874023,1,4,133
1.5913086,-0.6425781,4.717285,1,4,134
1.7680664,-0.42236328,3.6669922,1,4,135
2.1679688,1.6157227,1.8476562,1,4,136
3.8823242,1.4628906,1.425293,1,4,137
5.0463867,-1.019043,2.6899414,1,4,138
5.541504,-2.3325195,3.3183594,1,4,139
5.654297,-2.3564453,3.2851562,1,4,140
4.3183594,-1.503418,3.0932617,1,4,141
3.5458984,-0.3022461,2.6469727,1,4,142
3.307129,0.5498047,2.2475586,1,4,143
3.6669922,0.5336914,2.0859375,1,4,144
4.01416,0.6635742,1.9384766,1,4,145
4.0302734,0.39697266,1.8735352,1,4,146
4.3256836,-0.095703125,1.8574219,1,4,147
4.008301,-0.16601562,1.7641602,1,4,148
3.5361328,-0.26757812,1.7324219,1,4,149
3.3325195,-0.44189453,1.4331055,1,4,150
2.9057617,-0.3383789,1.565918,1,4,151
2.397461,-0.1274414,1.5048828,1,4,152
1.9980469,0.12011719,1.5786133,1,4,153
1.4648438,0.5053711,1.4770508,1,4,154
1.0400391,0.7993164,1.2148438,1,4,155
0.6040039,0.8232422,1.1933594,1,4,156
0.08154297,0.73339844,1.4482422,1,4,157
-0.6738281,-0.032714844,1.4477539,1,4,158
-1.5566406,-0.49023438,1.4794922,1,4,159
-2.1762695,-0.47021484,1.4057617,1,4,160
-1.9799805,-0.42773438,1.3623047,1,4,161
-1.8442383,-0.29785156,1.1113281,1,4,162
-1.6479492,0.0009765625,0.8510742,1,4,163
-1.1630859,0.083984375,0.6279297,1,4,164
-0.6611328,0.16015625,0.9658203,1,4,165
0.10595703,0.3251953,1.5092773,1,4,166
0.59716797,0.56884766,2.8935547,1,4,167
1.4072266,0.96728516,5.3066406,1,4,168
1.828125,1.0058594,5.323242,1,4,169
2.3286133,-1.2177734,3.4902344,1,4,170
4.755371,-4.2075195,1.5517578,1,4,171
5.3461914,0.5800781,2.0444336,1,4,172
4.0776367,2.6157227,2.953125,1,4,173
4.5063477,3.215332,3.0517578,1,4,174
5.0161133,3.0341797,3.0585938,1,4,175
4.2163086,1.7192383,2.8496094,1,4,176
3.571289,0.19921875,2.3481445,1,4,177
4.1464844,-0.68847656,1.8520508,1,4,178
4.105957,-1.0332031,1.9941406,1,4,179
3.8359375,-0.7714844,1.7128906,1,4,180
3.793457,-0.39648438,1.7416992,1,4,181
3.8964844,0.18164062,1.5761719,1,4,182
3.5864258,0.6821289,1.7719727,1,4,183
3.1625977,0.96191406,1.4907227,1,4,184
2.9350586,0.95751953,1.5859375,1,4,185
2.479004,0.67285156,1.6049805,1,4,186
2.1132812,-0.015625,1.7382812,1,4,187
1.3642578,-0.5644531,1.3686523,1,4,188
0.78027344,-0.91503906,1.3452148,1,4,189
0.38183594,-1.0043945,1.425293,1,4,190
-0.11767578,-0.9399414,1.5014648,1,4,191
-0.7080078,-0.45410156,1.4677734,1,4,192
-1.5913086,-0.060546875,1.3789062,1,4,193
-2.1362305,0.23535156,1.3837891,1,4,194
-1.7265625,0.46679688,1.4628906,1,4,195
-1.5126953,0.68066406,1.4750977,1,4,196
-1.3945312,0.6689453,1.0166016,1,4,197
-0.99853516,0.6113281,0.7363281,1,4,198
-0.40429688,0.5756836,0.9267578,1,4,199
0.2890625,-0.0107421875,1.3149414,1,4,200
0.72753906,-0.47607422,2.878418,1,4,201
1.4770508,-0.5600586,5.07959,1,4,202
1.5693359,-0.7402344,4.6328125,1,4,203
2.022461,1.6357422,2.5473633,1,4,204
3.3964844,2.703125,1.1015625,1,4,205
4.6875,-0.38427734,2.1538086,1,4,206
5.026367,-2.2207031,2.940918,1,4,207
5.6674805,-3.0854492,3.1767578,1,4,208
5.28125,-2.8256836,3.0791016,1,4,209
3.9277344,-1.5092773,2.822754,1,4,210
3.2387695,-0.203125,2.2314453,1,4,211
3.4765625,0.48535156,1.8198242,1,4,212
3.934082,0.6586914,1.8691406,1,4,213
3.9560547,0.6801758,1.7084961,1,4,214
4.026367,0.3701172,1.7119141,1,4,215
4.020996,-0.022460938,1.6181641,1,4,216
3.6801758,-0.2866211,1.6181641,1,4,217
3.4257812,-0.6376953,1.4677734,1,4,218
3.2250977,-0.73291016,1.4916992,1,4,219
2.6113281,-0.35253906,1.4794922,1,4,220
1.925293,0.16992188,1.628418,1,4,221
1.409668,0.6323242,1.453125,1,4,222
0.9916992,1.0649414,1.3457031,1,4,223
0.71533203,1.2641602,1.4277344,1,4,224
0.32861328,1.0141602,1.6865234,1,4,225
-0.44335938,0.21044922,1.6269531,1,4,226
-1.4130859,-0.43115234,1.4921875,1,4,227
-1.9643555,-0.5839844,1.6181641,1,4,228
-1.78125,-0.8857422,1.5224609,1,4,229
-1.8105469,-0.94921875,1.1474609,1,4,230
-1.8344727,-0.4741211,0.7993164,1,4,231
-1.2763672,-0.026855469,0.8930664,1,4,232
-0.5073242,0.28955078,1.4121094,1,4,233
0.09716797,0.4189453,2.3354492,1,4,234
0.61865234,0.7001953,4.331543,1,4,235
0.87109375,0.45117188,4.5966797,1,4,236
1.0185547,-0.9301758,2.866211,1,4,237
2.9804688,-2.9013672,1.0605469,1,4,238
4.227539,-0.5839844,1.7763672,1,4,239
4.3286133,1.8237305,2.3144531,1,4,240
5.135742,2.9423828,3.0561523,1,4,241
5.6938477,3.2705078,3.2358398,1,4,242
4.4414062,2.0410156,2.791504,1,4,243
3.8769531,0.47509766,2.484375,1,4,244
4.081543,-0.63623047,2.0620117,1,4,245
4.248047,-0.87939453,1.9267578,1,4,246
3.7050781,-0.4741211,1.8818359,1,4,247
3.7558594,0.047851562,1.6254883,1,4,248
3.9267578,0.6977539,1.652832,1,4,249
3.637207,0.8701172,1.4453125,1,4,250
3.427246,0.8930664,1.6313477,1,4,251
3.2548828,0.8183594,1.4306641,1,4,252
2.855957,0.6435547,1.7753906,1,4,253
2.5473633,0.079589844,1.8198242,1,4,254
1.7949219,-0.35107422,1.6259766,1,4,1
1.2080078,-0.6972656,1.5625,1,4,2
0.6977539,-0.80078125,1.5517578,1,4,3
0.0048828125,-0.8496094,1.5795898,1,4,4
-0.5395508,-0.46972656,1.4960938,1,4,5
-1.3525391,0.08496094,1.2978516,1,4,6
-2.2163086,0.40283203,1.1660156,1,4,7
-1.9907227,0.48876953,1.284668,1,4,8
-1.4853516,0.47216797,1.3383789,1,4,9
-1.3676758,0.46484375,1.0649414,1,4,10
-1.112793,0.29882812,0.7089844,1,4,11
-0.578125,0.3618164,0.8618164,1,4,12
0.13623047,-0.171875,1.0307617,1,4,13
0.6376953,-0.7133789,2.4863281,1,4,14
1.3388672,-0.8071289,4.9575195,1,4,15
1.6865234,-1.1645508,4.727539,1,4,16
2.083496,0.8388672,2.7211914,1,4,17
3.2919922,2.9492188,1.1967773,1,4,18
4.2026367,0.24902344,1.9501953,1,4,19
4.519043,-1.6743164,2.703125,1,4,20
5.0390625,-2.3813477,3.350586,1,4,21
4.8862305,-2.4658203,3.2753906,1,4,22
4.3286133,-1.4301758,2.9594727,1,4,23
3.7021484,-0.08154297,2.4794922,1,4,24
3.5859375,0.56884766,1.9702148,1,4,25
4.0805664,0.6425781,2.0527344,1,4,26
3.9707031,0.7265625,1.9697266,1,4,27
3.8603516,0.50390625,1.9663086,1,4,28
4.006836,-0.079589844,1.7753906,1,4,29
3.7612305,-0.3486328,1.7724609,1,4,30
3.1499023,-0.4711914,1.7666016,1,4,31
2.989746,-0.51904297,1.5004883,1,4,32
2.975586,-0.29589844,1.5830078,1,4,33
2.6074219,-0.020507812,1.7900391,1,4,34
1.9433594,0.13574219,1.737793,1,4,35
1.3530273,0.3803711,1.512207,1,4,36
0.9038086,0.63623047,1.262207,1,4,37
0.35742188,0.69433594,1.4985352,1,4,38
-0.030761719,0.80078125,1.3974609,1,4,39
-0.8051758,-0.05908203,1.418457,1,4,40
-1.4833984,-0.40722656,1.2700195,1,4,41
-2.0351562,-0.2734375,1.5024414,1,4,42
-1.7675781,-0.45361328,1.3422852,1,4,43
-1.7973633,-0.39892578,1.0649414,1,4,44
-1.515625,-0.03173828,0.88964844,1,4,45
-1.0083008,0.10449219,0.6953125,1,4,46
-0.4086914,0.2548828,1.0024414,1,4,47
0.34179688,0.37353516,1.3994141,1,4,48
0.6669922,0.52490234,2.4970703,1,4,49
1.503418,1.0913086,5.0478516,1,4,50
1.7583008,1.3383789,5.7504883,1,4,51
1.8051758,-0.64990234,3.5864258,1,4,52
3.7919922,-4.5249023,1.2348633,1,4,53
5.317871,-0.44335938,1.7758789,1,4,54
4.184082,2.4179688,3.350586,1,4,55
5.1567383,3.1420898,3.2226562,1,4,56
6.054199,3.2573242,2.9672852,1,4,57
4.36084,1.9887695,2.9536133,1,4,58
3.8417969,0.49365234,2.2919922,1,4,59
4.071289,-0.3359375,1.9897461,1,4,60
3.7963867,-0.8300781,1.8364258,1,4,61
3.6044922,-0.6791992,1.7700195,1,4,62
3.7441406,-0.35839844,1.6318359,1,4,63
3.8408203,-0.005859375,1.7124023,1,4,64
4.092285,0.3544922,1.8007812,1,4,65
3.0966797,0.6928711,1.9155273,1,4,66
2.588379,0.7246094,1.4829102,1,4,67
2.2954102,0.24707031,1.7675781,1,4,68
1.7504883,-0.40283203,1.6328125,1,4,69
0.94384766,-0.7128906,1.4980469,1,4,70
0.4711914,-0.95703125,1.2998047,1,4,71
-0.17626953,-0.99658203,1.3920898,1,4,72
-0.48486328,-0.7709961,1.3813477,1,4,73
-0.9628906,-0.13623047,1.5200195,1,4,74
-1.8881836,0.38623047,1.5107422,1,4,75
-1.8085938,0.5258789,1.2207031,1,4,76
-1.5063477,0.53515625,1.4042969,1,4,77
-1.246582,0.56152344,1.2749023,1,4,78
-1.0200195,0.3564453,1.0234375,1,4,79
-0.6948242,0.44677734,0.94189453,1,4,80
-0.29296875,0.35498047,1.0029297,1,4,81
0.28710938,-0.06542969,1.3530273,1,4,82
0.7602539,-0.6088867,3.0957031,1,4,83
