"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",58,"right"
1,"peaks[1]",95,"left"
1,"peaks[2]",128,"right"
1,"peaks[3]",163,"left"
1,"peaks[4]",197,"right"
1,"peaks[5]",231,"left"
1,"peaks[6]",264,"right"
1,"peaks[7]",298,"left"
1,"peaks[8]",332,"right"
1,"peaks[9]",367,"left"
1,"peaks[10]",401,"right"
1,"peaks[11]",435,"left"
1,"peaks[12]",467,"right"
1,"peaks[13]",503,"left"
1,"peaks[14]",537,"right"
1,"peaks[15]",572,"left"
1,"peaks[16]",605,"right"
1,"peaks[17]",640,"left"
1,"peaks[18]",673,"right"
1,"peaks[19]",708,"left"
1,"peaks[20]",741,"right"
1,"peaks[21]",776,"left"
1,"peaks[22]",810,"right"
1,"peaks[23]",845,"left"
1,"peaks[24]",877,"right"
1,"peaks[25]",913,"left"
1,"peaks[26]",946,"right"
1,"peaks[27]",982,"left"
1,"peaks[28]",1016,"right"
1,"peaks[29]",1051,"left"
1,"peaks[30]",1084,"right"
1,"peaks[31]",1119,"left"
1,"peaks[32]",1152,"right"
1,"peaks[33]",1186,"left"
1,"peaks[34]",1220,"right"
1,"peaks[35]",1255,"left"
1,"peaks[36]",1287,"right"
1,"peaks[37]",1322,"left"
1,"peaks[38]",1355,"right"
1,"peaks[39]",1390,"left"
1,"peaks[40]",1423,"right"
1,"peaks[41]",1458,"left"
1,"peaks[42]",1490,"right"
1,"peaks[43]",1526,"left"
1,"peaks[44]",1559,"right"
1,"peaks[45]",1593,"left"
1,"peaks[46]",1626,"right"
1,"peaks[47]",1661,"left"
1,"peaks[48]",1694,"right"
1,"peaks[49]",1729,"left"
1,"peaks[50]",1763,"right"
1,"peaks[51]",1797,"left"
1,"peaks[52]",1831,"right"
1,"peaks[53]",1865,"left"
1,"peaks[54]",1899,"right"
1,"peaks[55]",1933,"left"
1,"peaks[56]",1966,"right"
1,"peaks[57]",2000,"left"
1,"peaks[58]",2033,"right"
1,"peaks[59]",2068,"left"
1,"peaks[60]",2101,"right"
1,"peaks[61]",2135,"left"
1,"peaks[62]",2169,"right"
1,"peaks[63]",2204,"left"
1,"peaks[64]",2237,"right"
1,"peaks[65]",2272,"left"
1,"peaks[66]",2305,"right"
1,"peaks[67]",2339,"left"
1,"peaks[68]",2371,"right"
1,"peaks[69]",2407,"left"
1,"peaks[70]",2441,"right"
1,"peaks[71]",2476,"left"
1,"peaks[72]",2509,"right"
1,"peaks[73]",2545,"left"
1,"peaks[74]",2577,"right"
1,"peaks[75]",2612,"left"
1,"peaks[76]",2645,"right"
1,"peaks[77]",2680,"left"
1,"peaks[78]",2714,"right"
1,"peaks[79]",2748,"left"
1,"peaks[80]",2781,"right"
1,"peaks[81]",2816,"left"
1,"peaks[82]",2848,"right"
1,"peaks[83]",2884,"left"
1,"peaks[84]",2917,"right"
1,"peaks[85]",2952,"left"
