"x","y","z","interval_no","runtype","packet_no"
-1.2441406,0.5439453,1.2519531,1,4,1
-1.3027344,0.12011719,0.95214844,1,4,2
-1.375,-0.0126953125,0.7182617,1,4,3
-1.2182617,-0.4140625,0.7182617,1,4,4
-0.9536133,-0.6088867,0.9243164,1,4,5
-0.64990234,-0.5439453,1.6230469,1,4,6
-0.14550781,-0.52783203,4.682617,1,4,7
0.50634766,2.0361328,8.792969,1,4,8
-0.6855469,-1.0483398,6.404785,1,4,9
5.154297,-8.347168,-0.27441406,1,4,10
6.515625,-2.4101562,-1.137207,1,4,11
8.562988,2.6479492,7.6137695,1,4,12
6.902832,2.1157227,1.7670898,1,4,13
6.038086,5.664551,2.6191406,1,4,14
2.3305664,3.3754883,2.1542969,1,4,15
0.92333984,2.253418,2.446289,1,4,16
2.1445312,2.4301758,3.0175781,1,4,17
5.54834,0.6118164,2.4506836,1,4,18
7.1845703,-0.11279297,0.9038086,1,4,19
6.385742,-0.13330078,0.037109375,1,4,20
4.54834,-0.12695312,1.5361328,1,4,21
1.9892578,-0.26220703,3.184082,1,4,22
1.5932617,-0.6933594,1.5200195,1,4,23
2.3154297,-0.22558594,1.3999023,1,4,24
2.4091797,-0.140625,1.8222656,1,4,25
2.3916016,-0.010253906,1.8466797,1,4,26
2.104004,0.18701172,1.5751953,1,4,27
1.6010742,0.33642578,1.5512695,1,4,28
0.7583008,0.18164062,1.6435547,1,4,29
0.22167969,0.328125,1.7797852,1,4,30
-0.09667969,0.09375,1.7495117,1,4,31
-0.2368164,-0.203125,1.4804688,1,4,32
-0.35058594,-0.6425781,1.2631836,1,4,33
-0.48876953,-0.91748047,1.2797852,1,4,34
-0.74609375,-0.9506836,1.3461914,1,4,35
-1.0166016,-0.6904297,1.3969727,1,4,36
-1.2475586,-0.66259766,1.0625,1,4,37
-1.3198242,-0.84033203,0.8173828,1,4,38
-1.3041992,-0.70703125,0.84228516,1,4,39
-0.9326172,-0.27685547,1.081543,1,4,40
-0.7470703,0.048828125,1.3183594,1,4,41
-0.421875,0.1616211,1.5634766,1,4,42
-0.2705078,0.14111328,1.9624023,1,4,43
0.052734375,0.5463867,6.626465,1,4,44
0.328125,-1.6513672,7.26709,1,4,45
-0.1538086,1.421875,2.90625,1,4,46
3.6396484,9.376465,-0.74902344,1,4,47
8.206055,1.8491211,2.244629,1,4,48
6.578125,-2.380371,5.0942383,1,4,49
5.9418945,-1.8007812,4.1850586,1,4,50
7.6567383,-6.2700195,2.4780273,1,4,51
3.722168,-4.8740234,1.8989258,1,4,52
0.47705078,-2.940918,2.6479492,1,4,53
2.7939453,-2.1796875,2.399414,1,4,54
5.625,-1.3276367,1.9008789,1,4,55
7.3183594,-0.6113281,1.9716797,1,4,56
5.3710938,0.44482422,1.5498047,1,4,57
3.145996,1.3276367,2.3632812,1,4,58
2.7490234,1.3632812,1.7680664,1,4,59
2.9375,1.0336914,1.5532227,1,4,60
2.5205078,0.9501953,2.0444336,1,4,61
2.4506836,0.61621094,2.027832,1,4,62
2.4301758,0.3618164,1.8959961,1,4,63
2.0229492,-0.057617188,1.671875,1,4,64
1.3706055,-0.1953125,1.5366211,1,4,65
