"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",38,"right"
1,"peaks[1]",78,"left"
1,"peaks[2]",114,"right"
1,"peaks[3]",152,"left"
1,"peaks[4]",187,"right"
1,"peaks[5]",226,"left"
1,"peaks[6]",263,"right"
1,"peaks[7]",300,"left"
1,"peaks[8]",335,"right"
1,"peaks[9]",375,"left"
1,"peaks[10]",410,"right"
1,"peaks[11]",449,"left"
1,"peaks[12]",484,"right"
1,"peaks[13]",523,"left"
1,"peaks[14]",557,"right"
1,"peaks[15]",597,"left"
1,"peaks[16]",633,"right"
1,"peaks[17]",671,"left"
1,"peaks[18]",705,"right"
1,"peaks[19]",744,"left"
1,"peaks[20]",779,"right"
1,"peaks[21]",817,"left"
1,"peaks[22]",852,"right"
1,"peaks[23]",891,"left"
1,"peaks[24]",926,"right"
1,"peaks[25]",965,"left"
1,"peaks[26]",999,"right"
1,"peaks[27]",1038,"left"
1,"peaks[28]",1073,"right"
1,"peaks[29]",1113,"left"
1,"peaks[30]",1148,"right"
1,"peaks[31]",1187,"left"
1,"peaks[32]",1222,"right"
1,"peaks[33]",1261,"left"
1,"peaks[34]",1296,"right"
1,"peaks[35]",1335,"left"
1,"peaks[36]",1370,"right"
1,"peaks[37]",1409,"left"
1,"peaks[38]",1444,"right"
1,"peaks[39]",1483,"left"
1,"peaks[40]",1518,"right"
1,"peaks[41]",1558,"left"
1,"peaks[42]",1592,"right"
1,"peaks[43]",1631,"left"
1,"peaks[44]",1666,"right"
1,"peaks[45]",1705,"left"
1,"peaks[46]",1741,"right"
1,"peaks[47]",1782,"left"
1,"peaks[48]",1816,"right"
1,"peaks[49]",1855,"left"
1,"peaks[50]",1890,"right"
1,"peaks[51]",1929,"left"
1,"peaks[52]",1965,"right"
1,"peaks[53]",2004,"left"
1,"peaks[54]",2038,"right"
1,"peaks[55]",2077,"left"
1,"peaks[56]",2113,"right"
1,"peaks[57]",2151,"left"
1,"peaks[58]",2187,"right"
1,"peaks[59]",2224,"left"
1,"peaks[60]",2260,"right"
1,"peaks[61]",2299,"left"
1,"peaks[62]",2335,"right"
1,"peaks[63]",2373,"left"
1,"peaks[64]",2409,"right"
1,"peaks[65]",2448,"left"
1,"peaks[66]",2484,"right"
1,"peaks[67]",2522,"left"
1,"peaks[68]",2557,"right"
1,"peaks[69]",2596,"left"
1,"peaks[70]",2630,"right"
1,"peaks[71]",2670,"left"
1,"peaks[72]",2705,"right"
1,"peaks[73]",2744,"left"
1,"peaks[74]",2780,"right"
1,"peaks[75]",2819,"left"
1,"peaks[76]",2854,"right"
1,"peaks[77]",2893,"left"
1,"peaks[78]",2929,"right"
