"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",48,"left"
1,"peaks[1]",85,"right"
1,"peaks[2]",120,"left"
1,"peaks[3]",158,"right"
1,"peaks[4]",193,"left"
1,"peaks[5]",230,"right"
1,"peaks[6]",266,"left"
1,"peaks[7]",303,"right"
1,"peaks[8]",338,"left"
1,"peaks[9]",375,"right"
1,"peaks[10]",411,"left"
1,"peaks[11]",448,"right"
1,"peaks[12]",484,"left"
1,"peaks[13]",521,"right"
1,"peaks[14]",557,"left"
1,"peaks[15]",594,"right"
1,"peaks[16]",629,"left"
1,"peaks[17]",666,"right"
1,"peaks[18]",702,"left"
1,"peaks[19]",739,"right"
1,"peaks[20]",775,"left"
1,"peaks[21]",812,"right"
1,"peaks[22]",848,"left"
1,"peaks[23]",886,"right"
1,"peaks[24]",921,"left"
1,"peaks[25]",959,"right"
1,"peaks[26]",995,"left"
1,"peaks[27]",1033,"right"
1,"peaks[28]",1069,"left"
1,"peaks[29]",1106,"right"
1,"peaks[30]",1141,"left"
1,"peaks[31]",1179,"right"
1,"peaks[32]",1214,"left"
1,"peaks[33]",1250,"right"
1,"peaks[34]",1286,"left"
1,"peaks[35]",1322,"right"
1,"peaks[36]",1358,"left"
1,"peaks[37]",1395,"right"
1,"peaks[38]",1431,"left"
1,"peaks[39]",1468,"right"
1,"peaks[40]",1504,"left"
1,"peaks[41]",1541,"right"
1,"peaks[42]",1577,"left"
1,"peaks[43]",1615,"right"
1,"peaks[44]",1650,"left"
1,"peaks[45]",1687,"right"
1,"peaks[46]",1723,"left"
1,"peaks[47]",1759,"right"
1,"peaks[48]",1795,"left"
1,"peaks[49]",1832,"right"
1,"peaks[50]",1867,"left"
1,"peaks[51]",1904,"right"
1,"peaks[52]",1940,"left"
1,"peaks[53]",1976,"right"
1,"peaks[54]",2011,"left"
1,"peaks[55]",2047,"right"
1,"peaks[56]",2083,"left"
1,"peaks[57]",2120,"right"
1,"peaks[58]",2156,"left"
1,"peaks[59]",2192,"right"
1,"peaks[60]",2227,"left"
1,"peaks[61]",2265,"right"
1,"peaks[62]",2300,"left"
1,"peaks[63]",2337,"right"
1,"peaks[64]",2372,"left"
1,"peaks[65]",2409,"right"
1,"peaks[66]",2444,"left"
1,"peaks[67]",2481,"right"
1,"peaks[68]",2516,"left"
1,"peaks[69]",2554,"right"
1,"peaks[70]",2590,"left"
1,"peaks[71]",2627,"right"
1,"peaks[72]",2663,"left"
1,"peaks[73]",2699,"right"
1,"peaks[74]",2734,"left"
1,"peaks[75]",2771,"right"
1,"peaks[76]",2806,"left"
1,"peaks[77]",2843,"right"
1,"peaks[78]",2878,"left"
1,"peaks[79]",2915,"right"
1,"peaks[80]",2951,"left"
