"x","y","z","interval_no","runtype","packet_no"
-2.2617188,-0.044921875,1.387207,1,4,1
-2.1879883,0.0546875,1.3095703,1,4,2
-1.9160156,0.071777344,1.1342773,1,4,3
-1.5610352,0.0048828125,1.0444336,1,4,4
-1.3032227,-0.2319336,0.921875,1,4,5
-0.9814453,-0.5083008,1.2392578,1,4,6
-0.52783203,-0.46826172,1.6040039,1,4,7
-0.4086914,-0.4477539,2.4990234,1,4,8
-0.30419922,-0.103515625,4.743164,1,4,9
0.35302734,1.0166016,3.6845703,1,4,10
1.3901367,0.1640625,2.9467773,1,4,11
4.197754,-5.5439453,2.1713867,1,4,12
12.762207,-1.144043,1.8178711,1,4,13
15.999512,4.834961,2.9575195,1,4,14
8.74707,6.0507812,2.4667969,1,4,15
-0.48095703,1.8203125,2.2675781,1,4,16
0.35839844,-0.030761719,0.7729492,1,4,17
4.762207,-0.48876953,3.024414,1,4,18
5.8339844,0.6098633,2.293457,1,4,19
4.507324,0.54345703,1.6738281,1,4,20
4.171875,0.7685547,1.6240234,1,4,21
4.2783203,0.8852539,1.6733398,1,4,22
4.107422,0.5908203,1.703125,1,4,23
3.6362305,0.27001953,1.4667969,1,4,24
3.2783203,0.2939453,1.2773438,1,4,25
2.6879883,0.41259766,1.746582,1,4,26
2.571289,0.48828125,1.9658203,1,4,27
2.0844727,0.2680664,1.1279297,1,4,28
0.46240234,0.30078125,1.1860352,1,4,29
-0.107421875,0.28320312,1.3671875,1,4,30
0.033203125,-0.072265625,1.3051758,1,4,31
-0.14355469,-0.3774414,1.4228516,1,4,32
-0.37158203,-0.6855469,1.4365234,1,4,33
-0.5932617,-0.7963867,1.3354492,1,4,34
-1.0283203,-0.72216797,1.3544922,1,4,35
-1.487793,-0.7944336,1.4765625,1,4,36
-1.7392578,-0.59277344,1.5771484,1,4,37
-2.1166992,-0.3544922,1.6938477,1,4,38
-2.1513672,-0.39501953,1.5195312,1,4,39
-2.0410156,-0.30029297,1.3789062,1,4,40
-1.6420898,-0.34033203,0.90722656,1,4,41
-0.94433594,-0.23828125,0.89208984,1,4,42
-0.44189453,0.18701172,0.9604492,1,4,43
-0.21923828,0.49121094,1.628418,1,4,44
0.07910156,0.25048828,2.3061523,1,4,45
0.04736328,-0.040527344,4.0595703,1,4,46
0.15722656,-0.9160156,5.1210938,1,4,47
1.0864258,-1.1821289,3.7373047,1,4,48
3.2265625,1.5258789,2.6308594,1,4,49
6.3969727,5.275879,2.1767578,1,4,50
13.35498,1.6704102,2.5390625,1,4,51
13.251465,-7.2285156,2.8139648,1,4,52
4.677246,-6.3447266,3.3857422,1,4,53
-1.0688477,-0.3125,0.8417969,1,4,54
1.9707031,0.18847656,2.272461,1,4,55
6.3603516,0.92529297,2.121582,1,4,56
6.4594727,0.9316406,1.7041016,1,4,57
5.104492,0.33691406,1.7666016,1,4,58
3.6811523,0.32128906,1.4277344,1,4,59
3.3925781,-0.04248047,1.7260742,1,4,60
3.3500977,0.0029296875,2.0483398,1,4,61
3.2348633,0.18457031,1.8618164,1,4,62
2.959961,-0.048339844,1.8549805,1,4,63
2.7822266,-0.24853516,1.6220703,1,4,64
2.3520508,-0.21484375,1.6875,1,4,65
1.456543,0.014160156,1.5527344,1,4,66
0.91748047,0.2626953,1.4145508,1,4,67
0.27294922,0.14013672,1.5419922,1,4,68
0.040527344,-0.05419922,1.6396484,1,4,69
-0.125,-0.118652344,1.6748047,1,4,70
-0.3334961,0.0625,1.7827148,1,4,71
-0.6044922,0.3544922,1.7504883,1,4,72
-1.1855469,0.50683594,1.5678711,1,4,73
-1.894043,0.16259766,1.3178711,1,4,74
-2.290039,-0.25146484,1.1079102,1,4,75
-2.8027344,-0.31640625,1.128418,1,4,76
-2.8256836,-0.052246094,1.4111328,1,4,77
-1.9853516,-0.109375,1.1586914,1,4,78
-1.5600586,-0.00390625,1.0200195,1,4,79
-1.4223633,-0.1508789,0.9428711,1,4,80
-1.1708984,-0.12451172,0.8105469,1,4,81
-0.90771484,-0.5073242,1.1611328,1,4,82
-0.4267578,-0.5361328,1.5380859,1,4,83
-0.1743164,-0.1977539,3.3618164,1,4,84
0.31689453,0.43554688,4.2543945,1,4,85
1.2983398,1.4628906,3.418457,1,4,86
2.8486328,-0.6816406,2.0419922,1,4,87
8.679199,-4.2192383,1.296875,1,4,88
15.999512,2.5449219,2.949707,1,4,89
12.118652,5.645996,2.0732422,1,4,90
