"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",40,"right"
1,"peaks[1]",77,"left"
1,"peaks[2]",115,"right"
1,"peaks[3]",154,"left"
1,"peaks[4]",192,"right"
1,"peaks[5]",228,"left"
1,"peaks[6]",265,"right"
1,"peaks[7]",304,"left"
1,"peaks[8]",342,"right"
1,"peaks[9]",379,"left"
1,"peaks[10]",417,"right"
1,"peaks[11]",455,"left"
1,"peaks[12]",492,"right"
1,"peaks[13]",530,"left"
1,"peaks[14]",567,"right"
1,"peaks[15]",605,"left"
1,"peaks[16]",643,"right"
1,"peaks[17]",679,"left"
1,"peaks[18]",718,"right"
1,"peaks[19]",756,"left"
1,"peaks[20]",794,"right"
1,"peaks[21]",832,"left"
1,"peaks[22]",868,"right"
1,"peaks[23]",906,"left"
1,"peaks[24]",943,"right"
1,"peaks[25]",981,"left"
1,"peaks[26]",1019,"right"
1,"peaks[27]",1056,"left"
1,"peaks[28]",1095,"right"
1,"peaks[29]",1135,"left"
1,"peaks[30]",1171,"right"
1,"peaks[31]",1210,"left"
1,"peaks[32]",1247,"right"
1,"peaks[33]",1286,"left"
1,"peaks[34]",1323,"right"
1,"peaks[35]",1362,"left"
1,"peaks[36]",1400,"right"
1,"peaks[37]",1438,"left"
1,"peaks[38]",1477,"right"
1,"peaks[39]",1515,"left"
1,"peaks[40]",1552,"right"
1,"peaks[41]",1590,"left"
1,"peaks[42]",1627,"right"
1,"peaks[43]",1666,"left"
1,"peaks[44]",1704,"right"
1,"peaks[45]",1741,"left"
1,"peaks[46]",1778,"right"
1,"peaks[47]",1817,"left"
1,"peaks[48]",1855,"right"
1,"peaks[49]",1893,"left"
1,"peaks[50]",1932,"right"
1,"peaks[51]",1968,"left"
1,"peaks[52]",2007,"right"
1,"peaks[53]",2046,"left"
1,"peaks[54]",2084,"right"
1,"peaks[55]",2122,"left"
1,"peaks[56]",2159,"right"
1,"peaks[57]",2198,"left"
1,"peaks[58]",2235,"right"
1,"peaks[59]",2272,"left"
1,"peaks[60]",2309,"right"
1,"peaks[61]",2348,"left"
1,"peaks[62]",2386,"right"
1,"peaks[63]",2423,"left"
1,"peaks[64]",2461,"right"
1,"peaks[65]",2500,"left"
1,"peaks[66]",2538,"right"
1,"peaks[67]",2576,"left"
1,"peaks[68]",2613,"right"
1,"peaks[69]",2651,"left"
1,"peaks[70]",2690,"right"
1,"peaks[71]",2728,"left"
1,"peaks[72]",2767,"right"
1,"peaks[73]",2803,"left"
1,"peaks[74]",2841,"right"
1,"peaks[75]",2878,"left"
1,"peaks[76]",2917,"right"
1,"peaks[77]",2954,"left"
