"x","y","z","interval_no","runtype","packet_no"
5.9101562,-0.080078125,1.4907227,1,4,1
4.7006836,-0.43115234,1.4316406,1,4,2
3.7719727,-0.5073242,1.4150391,1,4,3
3.2011719,-0.54003906,1.2602539,1,4,4
2.8979492,-0.45214844,1.4848633,1,4,5
3.0092773,-0.12011719,1.5273438,1,4,6
3.1674805,0.14697266,1.4594727,1,4,7
2.9086914,0.104003906,1.3579102,1,4,8
2.5805664,-0.22460938,1.1660156,1,4,9
2.2055664,-0.5097656,1.0239258,1,4,10
1.4228516,-0.4375,0.9423828,1,4,11
0.7026367,-0.2397461,0.90722656,1,4,12
0.19628906,-0.12841797,1.1279297,1,4,13
-0.0625,0.13916016,1.3208008,1,4,14
-0.103027344,0.29589844,1.5146484,1,4,15
-0.3876953,0.5053711,1.5786133,1,4,16
-0.8276367,0.4765625,1.5351562,1,4,17
-1.1645508,0.40966797,1.7109375,1,4,18
-1.4316406,0.3696289,1.8110352,1,4,19
-1.8701172,0.33007812,1.5581055,1,4,20
-2.2993164,0.46435547,1.1303711,1,4,21
-2.3759766,0.5493164,0.8378906,1,4,22
-1.8457031,0.5439453,0.640625,1,4,23
-1.2885742,0.40576172,0.8183594,1,4,24
-0.91308594,-0.083496094,1.3798828,1,4,25
-0.53515625,0.043945312,1.8339844,1,4,26
-0.2758789,0.29833984,3.2617188,1,4,27
0.026855469,0.92578125,5.186035,1,4,28
0.31591797,1.3300781,3.7919922,1,4,29
1.1191406,-2.5683594,2.010254,1,4,30
6.1469727,-5.8027344,0.99072266,1,4,31
14.112305,0.084472656,1.7329102,1,4,32
15.999512,4.5625,1.0273438,1,4,33
7.4418945,4.442383,2.135254,1,4,34
-0.93115234,0.98779297,2.0996094,1,4,35
0.13232422,-0.49023438,-0.40429688,1,4,36
4.8012695,-0.2993164,3.0932617,1,4,37
6.230957,0.13476562,2.104004,1,4,38
4.4399414,-0.1352539,1.5595703,1,4,39
3.6103516,-0.07421875,1.2998047,1,4,40
3.494629,-0.09765625,1.394043,1,4,41
3.2363281,-0.125,1.5249023,1,4,42
3.2485352,-0.32666016,1.4829102,1,4,43
2.987793,-0.265625,1.5327148,1,4,44
2.614746,-0.30029297,1.4262695,1,4,45
2.5063477,0.2607422,1.6445312,1,4,46
2.211914,0.46191406,1.2431641,1,4,47
0.8383789,0.27734375,0.5834961,1,4,48
-0.087402344,0.70166016,1.1894531,1,4,49
0.18164062,0.38330078,1.206543,1,4,50
-0.030761719,0.110839844,1.3461914,1,4,51
-0.58935547,-0.087890625,1.2851562,1,4,52
-1.2436523,-0.12792969,1.4785156,1,4,53
-1.5844727,-0.05908203,1.578125,1,4,54
-1.5527344,0.16210938,1.8725586,1,4,55
-1.3911133,0.20117188,1.8613281,1,4,56
-1.5751953,0.2631836,1.7055664,1,4,57
-1.7958984,0.11230469,1.3569336,1,4,58
-1.7075195,-0.123046875,1.0107422,1,4,59
-1.0136719,-0.3461914,0.8276367,1,4,60
-0.4296875,-0.4086914,1.0058594,1,4,61
0.03515625,-0.23046875,1.6689453,1,4,62
0.35058594,-0.2265625,2.371582,1,4,63
0.3955078,-0.27001953,4.5249023,1,4,64
0.58203125,-1.1108398,5.404785,1,4,65
0.4399414,-1.3413086,3.1894531,1,4,66
2.3481445,2.1748047,1.8510742,1,4,67
5.2490234,3.690918,1.7397461,1,4,68
10.234863,0.94677734,1.2314453,1,4,69
14.133789,-3.3608398,3.3359375,1,4,70
7.265625,-6.1376953,2.105957,1,4,71
0.014160156,-0.62597656,2.694336,1,4,72
1.7744141,0.31201172,1.8857422,1,4,73
6.10791,0.6308594,2.5063477,1,4,74
6.319336,0.028808594,1.4355469,1,4,75
4.203125,-0.39111328,1.4643555,1,4,76
3.3720703,-0.39257812,1.296875,1,4,77
3.234375,-0.41210938,1.3945312,1,4,78
3.2783203,-0.20263672,1.5830078,1,4,79
3.3276367,-0.040527344,1.7255859,1,4,80
3.3129883,-0.1381836,1.4804688,1,4,81
3.0449219,-0.31298828,1.3359375,1,4,82
2.3925781,-0.55810547,1.1713867,1,4,83
1.3666992,-0.36132812,1.1293945,1,4,84
0.5263672,-0.096191406,0.8676758,1,4,85
0.33544922,0.122558594,0.87597656,1,4,86
0.0234375,0.20117188,1.2675781,1,4,87
-0.2993164,0.26513672,1.6694336,1,4,88
-0.56591797,0.25830078,1.6547852,1,4,89
-0.91845703,0.2993164,1.5668945,1,4,90
-1.2631836,0.5366211,1.5712891,1,4,91
-1.2866211,0.66308594,1.7416992,1,4,92
-1.503418,0.33691406,1.7587891,1,4,93
-1.8911133,0.171875,1.5664062,1,4,94
-2.168457,-0.03955078,1.359375,1,4,95
-1.9526367,-0.17773438,1.0805664,1,4,96
-1.5410156,-0.17333984,0.8496094,1,4,97
-1.1801758,-0.5551758,0.8432617,1,4,98
-0.9296875,-0.9042969,1.1547852,1,4,99
-0.5048828,-0.6459961,1.6118164,1,4,100
-0.036621094,-0.32617188,2.5141602,1,4,101
0.3413086,0.20263672,4.5625,1,4,102
0.8105469,0.8964844,4.3632812,1,4,103
1.3051758,0.1586914,3.175293,1,4,104
3.8569336,-4.519043,1.6293945,1,4,105
9.439941,-2.7246094,0.60253906,1,4,106
15.081055,2.831543,2.6801758,1,4,107
11.182617,5.279297,1.4262695,1,4,108
1.237793,2.6738281,4.2558594,1,4,109
-0.09277344,-0.1743164,-0.20361328,1,4,110
3.2705078,-0.96777344,2.612793,1,4,111
5.9345703,-0.1508789,2.3208008,1,4,112
4.8427734,0.13378906,1.5512695,1,4,113
3.8266602,0.5830078,1.5073242,1,4,114
3.7929688,0.6557617,1.5400391,1,4,115
3.668457,0.41845703,1.40625,1,4,116
