"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",58,"right"
1,"peaks[1]",96,"left"
1,"peaks[2]",133,"right"
1,"peaks[3]",170,"left"
1,"peaks[4]",206,"right"
1,"peaks[5]",244,"left"
1,"peaks[6]",280,"right"
1,"peaks[7]",318,"left"
1,"peaks[8]",354,"right"
1,"peaks[9]",392,"left"
1,"peaks[10]",429,"right"
1,"peaks[11]",465,"left"
1,"peaks[12]",502,"right"
1,"peaks[13]",541,"left"
1,"peaks[14]",578,"right"
1,"peaks[15]",615,"left"
1,"peaks[16]",652,"right"
1,"peaks[17]",689,"left"
1,"peaks[18]",726,"right"
1,"peaks[19]",764,"left"
1,"peaks[20]",801,"right"
1,"peaks[21]",838,"left"
1,"peaks[22]",875,"right"
1,"peaks[23]",912,"left"
1,"peaks[24]",950,"right"
1,"peaks[25]",987,"left"
1,"peaks[26]",1025,"right"
1,"peaks[27]",1062,"left"
1,"peaks[28]",1099,"right"
1,"peaks[29]",1136,"left"
1,"peaks[30]",1173,"right"
1,"peaks[31]",1211,"left"
1,"peaks[32]",1247,"right"
1,"peaks[33]",1285,"left"
1,"peaks[34]",1323,"right"
1,"peaks[35]",1360,"left"
1,"peaks[36]",1398,"right"
1,"peaks[37]",1435,"left"
1,"peaks[38]",1472,"right"
1,"peaks[39]",1510,"left"
1,"peaks[40]",1548,"right"
1,"peaks[41]",1585,"left"
1,"peaks[42]",1622,"right"
1,"peaks[43]",1658,"left"
1,"peaks[44]",1696,"right"
1,"peaks[45]",1734,"left"
1,"peaks[46]",1771,"right"
1,"peaks[47]",1808,"left"
1,"peaks[48]",1845,"right"
1,"peaks[49]",1882,"left"
1,"peaks[50]",1919,"right"
1,"peaks[51]",1957,"left"
1,"peaks[52]",1992,"right"
1,"peaks[53]",2032,"left"
1,"peaks[54]",2070,"right"
1,"peaks[55]",2107,"left"
1,"peaks[56]",2144,"right"
1,"peaks[57]",2180,"left"
1,"peaks[58]",2217,"right"
1,"peaks[59]",2255,"left"
1,"peaks[60]",2292,"right"
1,"peaks[61]",2330,"left"
1,"peaks[62]",2366,"right"
1,"peaks[63]",2403,"left"
1,"peaks[64]",2442,"right"
1,"peaks[65]",2479,"left"
1,"peaks[66]",2516,"right"
1,"peaks[67]",2554,"left"
1,"peaks[68]",2588,"right"
1,"peaks[69]",2628,"left"
1,"peaks[70]",2664,"right"
1,"peaks[71]",2703,"left"
1,"peaks[72]",2739,"right"
1,"peaks[73]",2776,"left"
1,"peaks[74]",2814,"right"
1,"peaks[75]",2851,"left"
1,"peaks[76]",2889,"right"
1,"peaks[77]",2927,"left"
1,"peaks[78]",2964,"right"
