"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",10,"unknown"
1,"peaks[1]",42,"unknown"
1,"peaks[2]",79,"unknown"
1,"peaks[3]",116,"unknown"
1,"peaks[4]",153,"unknown"
1,"peaks[5]",190,"unknown"
1,"peaks[6]",228,"unknown"
1,"peaks[7]",265,"unknown"
1,"peaks[8]",303,"unknown"
1,"peaks[9]",340,"unknown"
1,"peaks[10]",378,"unknown"
1,"peaks[11]",414,"unknown"
1,"peaks[12]",452,"unknown"
1,"peaks[13]",489,"unknown"
1,"peaks[14]",527,"unknown"
1,"peaks[15]",564,"unknown"
1,"peaks[16]",602,"unknown"
1,"peaks[17]",639,"unknown"
1,"peaks[18]",677,"unknown"
1,"peaks[19]",713,"unknown"
1,"peaks[20]",750,"unknown"
1,"peaks[21]",788,"unknown"
1,"peaks[22]",825,"unknown"
1,"peaks[23]",863,"unknown"
1,"peaks[24]",901,"unknown"
1,"peaks[25]",939,"unknown"
1,"peaks[26]",976,"unknown"
1,"peaks[27]",1013,"unknown"
1,"peaks[28]",1052,"unknown"
1,"peaks[29]",1088,"unknown"
1,"peaks[30]",1124,"unknown"
1,"peaks[31]",1162,"unknown"
1,"peaks[32]",1199,"unknown"
1,"peaks[33]",1237,"unknown"
1,"peaks[34]",1275,"unknown"
1,"peaks[35]",1313,"unknown"
1,"peaks[36]",1351,"unknown"
1,"peaks[37]",1388,"unknown"
1,"peaks[38]",1426,"unknown"
1,"peaks[39]",1463,"unknown"
1,"peaks[40]",1501,"unknown"
1,"peaks[41]",1537,"unknown"
1,"peaks[42]",1575,"unknown"
1,"peaks[43]",1613,"unknown"
1,"peaks[44]",1651,"unknown"
1,"peaks[45]",1689,"unknown"
1,"peaks[46]",1727,"unknown"
1,"peaks[47]",1766,"unknown"
1,"peaks[48]",1803,"unknown"
1,"peaks[49]",1841,"unknown"
1,"peaks[50]",1878,"unknown"
1,"peaks[51]",1916,"unknown"
1,"peaks[52]",1953,"unknown"
1,"peaks[53]",1991,"unknown"
1,"peaks[54]",2029,"unknown"
1,"peaks[55]",2067,"unknown"
1,"peaks[56]",2104,"unknown"
1,"peaks[57]",2141,"unknown"
1,"peaks[58]",2179,"unknown"
1,"peaks[59]",2217,"unknown"
1,"peaks[60]",2255,"unknown"
1,"peaks[61]",2292,"unknown"
1,"peaks[62]",2329,"unknown"
1,"peaks[63]",2367,"unknown"
1,"peaks[64]",2405,"unknown"
1,"peaks[65]",2443,"unknown"
1,"peaks[66]",2480,"unknown"
1,"peaks[67]",2518,"unknown"
1,"peaks[68]",2555,"unknown"
1,"peaks[69]",2593,"unknown"
1,"peaks[70]",2630,"unknown"
1,"peaks[71]",2668,"unknown"
1,"peaks[72]",2705,"unknown"
1,"peaks[73]",2742,"unknown"
1,"peaks[74]",2779,"unknown"
1,"peaks[75]",2817,"unknown"
1,"peaks[76]",2854,"unknown"
1,"peaks[77]",2892,"unknown"
1,"peaks[78]",2928,"unknown"
1,"peaks[79]",2966,"unknown"
