"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",71,"right"
1,"peaks[1]",109,"left"
1,"peaks[2]",145,"right"
1,"peaks[3]",184,"left"
1,"peaks[4]",221,"right"
1,"peaks[5]",260,"left"
1,"peaks[6]",295,"right"
1,"peaks[7]",335,"left"
1,"peaks[8]",371,"right"
1,"peaks[9]",408,"left"
1,"peaks[10]",444,"right"
1,"peaks[11]",484,"left"
1,"peaks[12]",520,"right"
1,"peaks[13]",559,"left"
1,"peaks[14]",594,"right"
1,"peaks[15]",633,"left"
1,"peaks[16]",669,"right"
1,"peaks[17]",709,"left"
1,"peaks[18]",745,"right"
1,"peaks[19]",783,"left"
1,"peaks[20]",819,"right"
1,"peaks[21]",859,"left"
1,"peaks[22]",896,"right"
1,"peaks[23]",934,"left"
1,"peaks[24]",970,"right"
1,"peaks[25]",1010,"left"
1,"peaks[26]",1045,"right"
1,"peaks[27]",1084,"left"
1,"peaks[28]",1119,"right"
1,"peaks[29]",1159,"left"
1,"peaks[30]",1195,"right"
1,"peaks[31]",1232,"left"
1,"peaks[32]",1269,"right"
1,"peaks[33]",1308,"left"
1,"peaks[34]",1344,"right"
1,"peaks[35]",1381,"left"
1,"peaks[36]",1418,"right"
1,"peaks[37]",1457,"left"
1,"peaks[38]",1492,"right"
1,"peaks[39]",1531,"left"
1,"peaks[40]",1568,"right"
1,"peaks[41]",1607,"left"
1,"peaks[42]",1643,"right"
1,"peaks[43]",1683,"left"
1,"peaks[44]",1719,"right"
1,"peaks[45]",1760,"left"
1,"peaks[46]",1795,"right"
1,"peaks[47]",1833,"left"
1,"peaks[48]",1870,"right"
1,"peaks[49]",1910,"left"
1,"peaks[50]",1946,"right"
1,"peaks[51]",1985,"left"
1,"peaks[52]",2021,"right"
1,"peaks[53]",2060,"left"
1,"peaks[54]",2097,"right"
1,"peaks[55]",2137,"left"
1,"peaks[56]",2173,"right"
1,"peaks[57]",2213,"left"
1,"peaks[58]",2248,"right"
1,"peaks[59]",2289,"left"
1,"peaks[60]",2325,"right"
1,"peaks[61]",2365,"left"
1,"peaks[62]",2402,"right"
1,"peaks[63]",2442,"left"
1,"peaks[64]",2479,"right"
1,"peaks[65]",2520,"left"
1,"peaks[66]",2555,"right"
1,"peaks[67]",2594,"left"
1,"peaks[68]",2630,"right"
1,"peaks[69]",2669,"left"
1,"peaks[70]",2705,"right"
1,"peaks[71]",2743,"left"
1,"peaks[72]",2780,"right"
1,"peaks[73]",2819,"left"
1,"peaks[74]",2855,"right"
1,"peaks[75]",2895,"left"
1,"peaks[76]",2931,"right"
