"x","y","z","interval_no","runtype","packet_no"
2.7197266,1.6420898,1.2871094,1,4,1
6.427246,0.86621094,2.546875,1,4,2
6.224121,-0.5654297,1.7124023,1,4,3
4.658203,-0.9560547,1.7592773,1,4,4
2.6313477,-1.2734375,2.1015625,1,4,5
2.918457,-0.80615234,1.6542969,1,4,6
2.760254,-0.36621094,1.4375,1,4,7
2.3447266,-0.020996094,1.534668,1,4,8
2.321289,0.3642578,1.5561523,1,4,9
2.493164,0.67578125,1.6870117,1,4,10
2.0283203,0.6381836,1.6010742,1,4,11
1.3520508,0.640625,1.5664062,1,4,12
0.8769531,0.38378906,1.5488281,1,4,13
0.46728516,0.107910156,1.5297852,1,4,14
-0.030273438,0.0107421875,1.4731445,1,4,15
-0.31591797,-0.26123047,1.2050781,1,4,16
-0.5751953,-0.7402344,1.2397461,1,4,17
-0.7285156,-0.8613281,1.5322266,1,4,18
-0.90234375,-0.8413086,1.6254883,1,4,19
-1.0849609,-0.7661133,1.3637695,1,4,20
-1.4345703,-0.7661133,0.9941406,1,4,21
-1.6645508,-0.83740234,0.63427734,1,4,22
-1.7294922,-0.5546875,0.6020508,1,4,23
-1.5366211,-0.20947266,0.9863281,1,4,24
-0.96777344,0.20898438,1.2294922,1,4,25
-0.58691406,0.60058594,1.4746094,1,4,26
-0.6279297,0.18554688,2.4135742,1,4,27
-0.34570312,0.41503906,8.066895,1,4,28
-1.0546875,-2.215332,6.3930664,1,4,29
0.038085938,4.76416,2.4545898,1,4,30
5.5981445,8.937012,2.6879883,1,4,31
7.5146484,0.796875,1.0532227,1,4,32
6.7456055,-1.5952148,7.123535,1,4,33
8.163086,-2.7333984,1.7412109,1,4,34
9.264648,-7.277832,2.5004883,1,4,35
2.0361328,-3.5566406,1.9619141,1,4,36
-0.44482422,-2.565918,2.854004,1,4,37
2.1401367,-1.8974609,1.355957,1,4,38
5.0683594,-0.8911133,1.875,1,4,39
6.5595703,-0.6040039,2.1450195,1,4,40
6.1054688,-0.1640625,1.6655273,1,4,41
3.775879,0.93652344,1.777832,1,4,42
2.3691406,1.347168,1.7172852,1,4,43
2.2177734,0.7817383,1.3227539,1,4,44
2.5546875,0.7890625,1.1875,1,4,45
3.255371,0.38867188,1.3623047,1,4,46
3.2661133,-0.012207031,1.2133789,1,4,47
2.567871,-0.46191406,1.,1,4,48
1.347168,-0.7050781,1.0458984,1,4,49
