"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",61,"left"
1,"peaks[1]",96,"right"
1,"peaks[2]",132,"left"
1,"peaks[3]",169,"right"
1,"peaks[4]",206,"left"
1,"peaks[5]",242,"right"
1,"peaks[6]",279,"left"
1,"peaks[7]",314,"right"
1,"peaks[8]",352,"left"
1,"peaks[9]",388,"right"
1,"peaks[10]",426,"left"
1,"peaks[11]",463,"right"
1,"peaks[12]",500,"left"
1,"peaks[13]",536,"right"
1,"peaks[14]",573,"left"
1,"peaks[15]",610,"right"
1,"peaks[16]",648,"left"
1,"peaks[17]",684,"right"
1,"peaks[18]",721,"left"
1,"peaks[19]",758,"right"
1,"peaks[20]",796,"left"
1,"peaks[21]",832,"right"
1,"peaks[22]",870,"left"
1,"peaks[23]",906,"right"
1,"peaks[24]",945,"left"
1,"peaks[25]",982,"right"
1,"peaks[26]",1019,"left"
1,"peaks[27]",1055,"right"
1,"peaks[28]",1093,"left"
1,"peaks[29]",1130,"right"
1,"peaks[30]",1168,"left"
1,"peaks[31]",1206,"right"
1,"peaks[32]",1243,"left"
1,"peaks[33]",1279,"right"
1,"peaks[34]",1317,"left"
1,"peaks[35]",1354,"right"
1,"peaks[36]",1392,"left"
1,"peaks[37]",1427,"right"
1,"peaks[38]",1465,"left"
1,"peaks[39]",1502,"right"
1,"peaks[40]",1540,"left"
1,"peaks[41]",1575,"right"
1,"peaks[42]",1613,"left"
1,"peaks[43]",1650,"right"
1,"peaks[44]",1688,"left"
1,"peaks[45]",1724,"right"
1,"peaks[46]",1762,"left"
1,"peaks[47]",1798,"right"
1,"peaks[48]",1836,"left"
1,"peaks[49]",1872,"right"
1,"peaks[50]",1910,"left"
1,"peaks[51]",1947,"right"
1,"peaks[52]",1985,"left"
1,"peaks[53]",2022,"right"
1,"peaks[54]",2060,"left"
1,"peaks[55]",2096,"right"
1,"peaks[56]",2133,"left"
1,"peaks[57]",2170,"right"
1,"peaks[58]",2207,"left"
1,"peaks[59]",2243,"right"
1,"peaks[60]",2281,"left"
1,"peaks[61]",2317,"right"
1,"peaks[62]",2356,"left"
1,"peaks[63]",2393,"right"
1,"peaks[64]",2431,"left"
1,"peaks[65]",2469,"right"
1,"peaks[66]",2507,"left"
1,"peaks[67]",2543,"right"
1,"peaks[68]",2581,"left"
1,"peaks[69]",2618,"right"
1,"peaks[70]",2656,"left"
1,"peaks[71]",2693,"right"
1,"peaks[72]",2730,"left"
1,"peaks[73]",2767,"right"
1,"peaks[74]",2806,"left"
1,"peaks[75]",2842,"right"
1,"peaks[76]",2880,"left"
1,"peaks[77]",2917,"right"
1,"peaks[78]",2955,"left"
1,"peaks[79]",2992,"right"
