"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",63,"unknown"
1,"peaks[1]",99,"unknown"
1,"peaks[2]",137,"unknown"
1,"peaks[3]",174,"unknown"
1,"peaks[4]",213,"unknown"
1,"peaks[5]",248,"unknown"
1,"peaks[6]",286,"unknown"
1,"peaks[7]",324,"unknown"
1,"peaks[8]",361,"unknown"
1,"peaks[9]",397,"unknown"
1,"peaks[10]",435,"unknown"
1,"peaks[11]",472,"unknown"
1,"peaks[12]",508,"unknown"
1,"peaks[13]",546,"unknown"
1,"peaks[14]",584,"unknown"
1,"peaks[15]",621,"unknown"
1,"peaks[16]",660,"unknown"
1,"peaks[17]",696,"unknown"
1,"peaks[18]",734,"unknown"
1,"peaks[19]",771,"unknown"
1,"peaks[20]",811,"unknown"
1,"peaks[21]",847,"unknown"
1,"peaks[22]",884,"unknown"
1,"peaks[23]",922,"unknown"
1,"peaks[24]",960,"unknown"
1,"peaks[25]",996,"unknown"
1,"peaks[26]",1037,"unknown"
1,"peaks[27]",1072,"unknown"
1,"peaks[28]",1110,"unknown"
1,"peaks[29]",1147,"unknown"
1,"peaks[30]",1187,"unknown"
1,"peaks[31]",1222,"unknown"
1,"peaks[32]",1263,"unknown"
1,"peaks[33]",1297,"unknown"
1,"peaks[34]",1336,"unknown"
1,"peaks[35]",1371,"unknown"
1,"peaks[36]",1408,"unknown"
1,"peaks[37]",1444,"unknown"
1,"peaks[38]",1485,"unknown"
1,"peaks[39]",1519,"unknown"
1,"peaks[40]",1558,"unknown"
1,"peaks[41]",1593,"unknown"
1,"peaks[42]",1632,"unknown"
1,"peaks[43]",1667,"unknown"
1,"peaks[44]",1707,"unknown"
1,"peaks[45]",1742,"unknown"
1,"peaks[46]",1780,"unknown"
1,"peaks[47]",1816,"unknown"
1,"peaks[48]",1854,"unknown"
1,"peaks[49]",1891,"unknown"
1,"peaks[50]",1931,"unknown"
1,"peaks[51]",1965,"unknown"
1,"peaks[52]",2006,"unknown"
1,"peaks[53]",2041,"unknown"
1,"peaks[54]",2080,"unknown"
1,"peaks[55]",2116,"unknown"
1,"peaks[56]",2156,"unknown"
1,"peaks[57]",2191,"unknown"
1,"peaks[58]",2230,"unknown"
1,"peaks[59]",2265,"unknown"
1,"peaks[60]",2306,"unknown"
1,"peaks[61]",2340,"unknown"
1,"peaks[62]",2380,"unknown"
1,"peaks[63]",2416,"unknown"
1,"peaks[64]",2455,"unknown"
1,"peaks[65]",2489,"unknown"
1,"peaks[66]",2526,"unknown"
1,"peaks[67]",2564,"unknown"
1,"peaks[68]",2604,"unknown"
1,"peaks[69]",2638,"unknown"
1,"peaks[70]",2678,"unknown"
1,"peaks[71]",2713,"unknown"
1,"peaks[72]",2754,"unknown"
1,"peaks[73]",2788,"unknown"
1,"peaks[74]",2827,"unknown"
1,"peaks[75]",2863,"unknown"
1,"peaks[76]",2902,"unknown"
1,"peaks[77]",2939,"unknown"
1,"peaks[78]",2979,"unknown"
