"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",54,"unknown"
1,"peaks[1]",91,"unknown"
1,"peaks[2]",128,"unknown"
1,"peaks[3]",167,"unknown"
1,"peaks[4]",203,"unknown"
1,"peaks[5]",241,"unknown"
1,"peaks[6]",277,"unknown"
1,"peaks[7]",315,"unknown"
1,"peaks[8]",352,"unknown"
1,"peaks[9]",390,"unknown"
1,"peaks[10]",427,"unknown"
1,"peaks[11]",465,"unknown"
1,"peaks[12]",503,"unknown"
1,"peaks[13]",539,"unknown"
1,"peaks[14]",577,"unknown"
1,"peaks[15]",614,"unknown"
1,"peaks[16]",655,"unknown"
1,"peaks[17]",690,"unknown"
1,"peaks[18]",729,"unknown"
1,"peaks[19]",763,"unknown"
1,"peaks[20]",801,"unknown"
1,"peaks[21]",837,"unknown"
1,"peaks[22]",876,"unknown"
1,"peaks[23]",913,"unknown"
1,"peaks[24]",952,"unknown"
1,"peaks[25]",987,"unknown"
1,"peaks[26]",1027,"unknown"
1,"peaks[27]",1062,"unknown"
1,"peaks[28]",1099,"unknown"
1,"peaks[29]",1136,"unknown"
1,"peaks[30]",1173,"unknown"
1,"peaks[31]",1210,"unknown"
1,"peaks[32]",1248,"unknown"
1,"peaks[33]",1285,"unknown"
1,"peaks[34]",1324,"unknown"
1,"peaks[35]",1360,"unknown"
1,"peaks[36]",1400,"unknown"
1,"peaks[37]",1436,"unknown"
1,"peaks[38]",1475,"unknown"
1,"peaks[39]",1511,"unknown"
1,"peaks[40]",1548,"unknown"
1,"peaks[41]",1585,"unknown"
1,"peaks[42]",1625,"unknown"
1,"peaks[43]",1660,"unknown"
1,"peaks[44]",1700,"unknown"
1,"peaks[45]",1735,"unknown"
1,"peaks[46]",1772,"unknown"
1,"peaks[47]",1809,"unknown"
1,"peaks[48]",1851,"unknown"
1,"peaks[49]",1885,"unknown"
1,"peaks[50]",1922,"unknown"
1,"peaks[51]",1959,"unknown"
1,"peaks[52]",1996,"unknown"
1,"peaks[53]",2034,"unknown"
1,"peaks[54]",2074,"unknown"
1,"peaks[55]",2109,"unknown"
1,"peaks[56]",2146,"unknown"
1,"peaks[57]",2183,"unknown"
1,"peaks[58]",2219,"unknown"
1,"peaks[59]",2258,"unknown"
1,"peaks[60]",2296,"unknown"
1,"peaks[61]",2332,"unknown"
1,"peaks[62]",2368,"unknown"
1,"peaks[63]",2405,"unknown"
1,"peaks[64]",2445,"unknown"
1,"peaks[65]",2479,"unknown"
1,"peaks[66]",2521,"unknown"
1,"peaks[67]",2554,"unknown"
1,"peaks[68]",2596,"unknown"
1,"peaks[69]",2631,"unknown"
1,"peaks[70]",2670,"unknown"
1,"peaks[71]",2704,"unknown"
1,"peaks[72]",2741,"unknown"
1,"peaks[73]",2779,"unknown"
1,"peaks[74]",2819,"unknown"
1,"peaks[75]",2853,"unknown"
1,"peaks[76]",2894,"unknown"
1,"peaks[77]",2928,"unknown"
1,"peaks[78]",2967,"unknown"
