"x","y","z","interval_no","runtype","packet_no"
1.8935547,-0.20947266,1.4487305,1,4,1
1.6142578,-0.47607422,1.5830078,1,4,2
1.1591797,-0.5703125,1.5239258,1,4,3
0.9770508,-0.86083984,1.4755859,1,4,4
0.6699219,-0.95654297,1.6669922,1,4,5
0.3881836,-1.2636719,2.1640625,1,4,6
0.26660156,-1.2255859,2.375,1,4,7
-0.028808594,-1.0283203,2.2060547,1,4,8
-0.4814453,-0.8261719,1.8481445,1,4,9
-0.8378906,-0.61279297,1.3745117,1,4,10
-0.94140625,-0.3227539,1.5029297,1,4,11
-1.050293,0.072265625,1.6831055,1,4,12
-1.2016602,0.23828125,1.512207,1,4,13
-1.2353516,0.12011719,1.0727539,1,4,14
-1.0009766,-0.1484375,0.88964844,1,4,15
-0.71972656,-0.171875,1.2241211,1,4,16
-0.38916016,-0.019042969,1.4589844,1,4,17
-0.1694336,0.13916016,1.4511719,1,4,18
-0.05078125,0.15234375,1.9418945,1,4,19
0.020996094,0.3569336,2.1894531,1,4,20
0.2944336,0.15039062,3.5620117,1,4,21
0.9223633,0.2763672,3.6479492,1,4,22
2.0649414,0.61572266,4.262207,1,4,23
8.917969,2.4916992,0.93652344,1,4,24
8.829102,3.5263672,2.9174805,1,4,25
4.8291016,-1.4438477,1.6635742,1,4,26
4.779297,-5.7353516,2.381836,1,4,27
5.498535,-3.2475586,1.5009766,1,4,28
3.822754,-1.3842773,2.5786133,1,4,29
5.0512695,-1.0307617,2.022461,1,4,30
5.7041016,-0.5083008,2.255371,1,4,31
5.161133,-0.29345703,1.7080078,1,4,32
4.9624023,-0.62353516,1.5253906,1,4,33
4.1728516,-0.7373047,1.4301758,1,4,34
3.4282227,-0.73339844,1.1337891,1,4,35
2.8979492,-0.46044922,1.1669922,1,4,36
2.4487305,-0.14892578,1.1962891,1,4,37
2.041504,0.22949219,1.3442383,1,4,38
1.7646484,0.4970703,1.5449219,1,4,39
1.543457,0.86376953,1.6210938,1,4,40
1.3701172,1.1933594,1.4282227,1,4,41
1.0493164,1.2202148,1.4013672,1,4,42
0.68066406,1.4428711,1.734375,1,4,43
0.3647461,1.503418,2.1811523,1,4,44
0.26757812,1.4287109,2.3295898,1,4,45
-0.034179688,1.4584961,2.038086,1,4,46
-0.43847656,1.3061523,1.9677734,1,4,47
-0.76660156,0.88623047,1.7993164,1,4,48
-1.1738281,0.40234375,1.7651367,1,4,49
-0.9116211,-0.043945312,1.7480469,1,4,50
-0.9160156,-0.44628906,1.3964844,1,4,51
-0.95751953,-0.6694336,1.1020508,1,4,52
-0.7626953,-0.60009766,0.95654297,1,4,53
-0.67089844,-0.20800781,0.9682617,1,4,54
-0.6894531,-0.24267578,1.0595703,1,4,55
-0.58203125,-0.36572266,1.2475586,1,4,56
-0.38378906,-0.29589844,1.8662109,1,4,57
-0.15673828,-0.33496094,2.2138672,1,4,58
0.22265625,-0.100097656,3.6645508,1,4,59
0.69873047,-0.20166016,3.4643555,1,4,60
1.1645508,-0.546875,4.413574,1,4,61
7.5546875,-3.1123047,2.3378906,1,4,62
8.938477,-3.8095703,0.9291992,1,4,63
5.225586,1.15625,2.4824219,1,4,64
3.6269531,5.0649414,2.6777344,1,4,65
5.064453,4.373535,1.5439453,1,4,66
3.5888672,1.7880859,2.1425781,1,4,67
4.255371,0.90283203,1.7475586,1,4,68
5.400879,0.31982422,1.9077148,1,4,69
5.2041016,-0.05029297,1.9101562,1,4,70
4.3774414,-0.12158203,1.5444336,1,4,71
4.020996,0.56396484,1.6123047,1,4,72
4.1030273,0.61816406,1.4550781,1,4,73
3.2705078,0.38378906,1.4443359,1,4,74
2.7104492,0.13574219,1.3745117,1,4,75
2.3286133,-0.17285156,1.4355469,1,4,76
2.1030273,-0.52734375,1.3706055,1,4,77
1.4291992,-0.7338867,1.4624023,1,4,78
0.98095703,-0.9550781,1.5043945,1,4,79
0.7661133,-1.1425781,1.4165039,1,4,80
0.5932617,-0.84375,1.28125,1,4,81
0.4038086,-1.25,1.5229492,1,4,82
0.4189453,-1.2358398,2.133789,1,4,83
0.13085938,-0.97265625,2.559082,1,4,84
-0.31103516,-0.7583008,2.0957031,1,4,85
-0.6689453,-0.5439453,1.6289062,1,4,86
-0.8642578,-0.27392578,1.7260742,1,4,87
-1.0405273,-0.0034179688,1.9379883,1,4,88
-1.3876953,0.17333984,1.5205078,1,4,89
-1.2910156,0.34179688,1.0244141,1,4,90
-0.95703125,0.083496094,0.8676758,1,4,91
-0.7314453,0.052734375,0.9223633,1,4,92
-0.48583984,0.19726562,1.2045898,1,4,93
-0.33544922,0.34716797,1.4521484,1,4,94
-0.22802734,0.39501953,1.6777344,1,4,95
-0.027832031,0.4482422,2.1777344,1,4,96
0.16064453,0.43115234,3.2617188,1,4,97
0.5620117,0.38378906,3.9013672,1,4,98
1.5244141,0.4428711,4.732422,1,4,99
7.3149414,0.9921875,0.70458984,1,4,100
10.276367,4.599121,3.7353516,1,4,101
6.158203,-0.50097656,1.0097656,1,4,102
3.1513672,-4.819824,2.8427734,1,4,103
5.1557617,-4.1748047,1.5131836,1,4,104
4.2246094,-1.6303711,2.5112305,1,4,105
4.398926,-1.0146484,2.1323242,1,4,106
5.746582,-0.5703125,2.1992188,1,4,107
5.355957,-0.5180664,1.9858398,1,4,108
4.3408203,-0.5292969,1.6323242,1,4,109
3.9594727,-0.9140625,1.4838867,1,4,110
3.2861328,-0.9326172,1.1918945,1,4,111
2.6757812,-0.61572266,1.2700195,1,4,112
2.0864258,-0.18945312,1.46875,1,4,113
1.8105469,0.2524414,1.4765625,1,4,114
1.6489258,0.60058594,1.4775391,1,4,115
1.4257812,0.9716797,1.4472656,1,4,116
1.2519531,1.2192383,1.347168,1,4,117
1.2084961,1.4047852,1.5351562,1,4,118
