"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",54,"left"
1,"peaks[1]",91,"right"
1,"peaks[2]",129,"left"
1,"peaks[3]",166,"right"
1,"peaks[4]",204,"left"
1,"peaks[5]",241,"right"
1,"peaks[6]",279,"left"
1,"peaks[7]",317,"right"
1,"peaks[8]",354,"left"
1,"peaks[9]",391,"right"
1,"peaks[10]",428,"left"
1,"peaks[11]",465,"right"
1,"peaks[12]",502,"left"
1,"peaks[13]",539,"right"
1,"peaks[14]",575,"left"
1,"peaks[15]",614,"right"
1,"peaks[16]",651,"left"
1,"peaks[17]",687,"right"
1,"peaks[18]",723,"left"
1,"peaks[19]",760,"right"
1,"peaks[20]",798,"left"
1,"peaks[21]",834,"right"
1,"peaks[22]",872,"left"
1,"peaks[23]",911,"right"
1,"peaks[24]",948,"left"
1,"peaks[25]",984,"right"
1,"peaks[26]",1021,"left"
1,"peaks[27]",1058,"right"
1,"peaks[28]",1096,"left"
1,"peaks[29]",1131,"right"
1,"peaks[30]",1168,"left"
1,"peaks[31]",1204,"right"
1,"peaks[32]",1243,"left"
1,"peaks[33]",1279,"right"
1,"peaks[34]",1317,"left"
1,"peaks[35]",1352,"right"
1,"peaks[36]",1391,"left"
1,"peaks[37]",1427,"right"
1,"peaks[38]",1465,"left"
1,"peaks[39]",1501,"right"
1,"peaks[40]",1541,"left"
1,"peaks[41]",1578,"right"
1,"peaks[42]",1615,"left"
1,"peaks[43]",1652,"right"
1,"peaks[44]",1689,"left"
1,"peaks[45]",1726,"right"
1,"peaks[46]",1762,"left"
1,"peaks[47]",1799,"right"
1,"peaks[48]",1838,"left"
1,"peaks[49]",1873,"right"
1,"peaks[50]",1911,"left"
1,"peaks[51]",1946,"right"
1,"peaks[52]",1984,"left"
1,"peaks[53]",2019,"right"
1,"peaks[54]",2057,"left"
1,"peaks[55]",2095,"right"
1,"peaks[56]",2133,"left"
1,"peaks[57]",2169,"right"
1,"peaks[58]",2207,"left"
1,"peaks[59]",2242,"right"
1,"peaks[60]",2279,"left"
1,"peaks[61]",2315,"right"
1,"peaks[62]",2352,"left"
1,"peaks[63]",2390,"right"
1,"peaks[64]",2427,"left"
1,"peaks[65]",2463,"right"
1,"peaks[66]",2501,"left"
1,"peaks[67]",2536,"right"
1,"peaks[68]",2574,"left"
1,"peaks[69]",2610,"right"
1,"peaks[70]",2647,"left"
1,"peaks[71]",2683,"right"
1,"peaks[72]",2719,"left"
1,"peaks[73]",2757,"right"
1,"peaks[74]",2795,"left"
1,"peaks[75]",2831,"right"
1,"peaks[76]",2868,"left"
1,"peaks[77]",2905,"right"
1,"peaks[78]",2941,"left"
