"x","y","z","interval_no","runtype","packet_no"
-1.5263672,2.1572266,2.322754,1,4,1
-1.9541016,1.9140625,2.0361328,1,4,2
-1.9677734,1.2612305,1.9580078,1,4,3
-2.2988281,0.38964844,1.3149414,1,4,4
-1.9633789,-0.20898438,0.37548828,1,4,5
-1.4057617,-0.5180664,0.19580078,1,4,6
-1.3710938,-0.45654297,0.58203125,1,4,7
-1.1196289,-0.69091797,0.87353516,1,4,8
-0.5830078,-0.9970703,1.1674805,1,4,9
0.10107422,-1.1572266,2.0356445,1,4,10
0.6933594,-1.2602539,2.3295898,1,4,11
0.77685547,-1.0883789,2.520996,1,4,12
0.6464844,-0.5419922,2.6958008,1,4,13
0.6738281,-0.30664062,4.019043,1,4,14
2.2407227,-1.6196289,5.840332,1,4,15
7.527832,-1.3759766,1.7871094,1,4,16
5.1367188,-2.5527344,1.5595703,1,4,17
3.8847656,0.6303711,2.2416992,1,4,18
6.866699,4.0976562,2.381836,1,4,19
6.205078,3.4453125,1.2543945,1,4,20
3.4799805,1.4140625,2.0292969,1,4,21
4.461426,1.0546875,1.6835938,1,4,22
5.871582,1.2299805,1.3071289,1,4,23
5.1123047,1.3681641,1.4140625,1,4,24
4.880371,1.3066406,0.74121094,1,4,25
4.071289,1.1918945,0.74560547,1,4,26
3.1191406,0.89404297,0.71972656,1,4,27
2.4223633,0.5551758,0.96972656,1,4,28
2.0024414,0.07910156,0.9355469,1,4,29
1.7612305,-0.27490234,0.984375,1,4,30
2.0234375,-0.53564453,1.0688477,1,4,31
2.2685547,-0.9091797,1.2172852,1,4,32
2.168457,-1.581543,2.1621094,1,4,33
2.0668945,-2.2192383,3.6396484,1,4,34
1.5688477,-2.1210938,3.567871,1,4,35
0.056640625,-2.0859375,2.584961,1,4,36
-2.1723633,-1.8969727,1.8100586,1,4,37
-2.6044922,-1.1708984,1.824707,1,4,38
-2.225586,-0.27441406,1.7128906,1,4,39
-1.6860352,0.15332031,1.1967773,1,4,40
-1.3310547,0.35546875,0.5800781,1,4,41
-1.2797852,0.3022461,0.29541016,1,4,42
-1.0483398,0.13769531,0.51123047,1,4,43
-0.6972656,0.14355469,1.0585938,1,4,44
0.0048828125,0.1484375,2.036621,1,4,45
0.44970703,0.2836914,2.2407227,1,4,46
0.67871094,0.5493164,2.5322266,1,4,47
0.50927734,0.5439453,2.3461914,1,4,48
0.29492188,0.0043945312,2.2280273,1,4,49
0.059570312,-0.09375,2.3764648,1,4,50
0.5439453,-0.07910156,4.6972656,1,4,51
5.8500977,-0.5966797,4.848633,1,4,52
9.454102,1.1503906,2.9331055,1,4,53
9.518555,1.3085938,1.3657227,1,4,54
4.097168,-2.9267578,1.527832,1,4,55
6.2783203,-4.150879,1.7485352,1,4,56
4.3637695,-0.6738281,2.0375977,1,4,57
4.4643555,-1.1611328,1.2993164,1,4,58
5.508789,-1.3764648,1.0961914,1,4,59
5.2646484,-1.4233398,0.55810547,1,4,60
3.8691406,-1.0566406,0.50390625,1,4,61
2.753418,-0.8540039,0.7788086,1,4,62
2.071289,-0.3413086,1.0795898,1,4,63
1.7211914,0.26416016,1.4155273,1,4,64
2.0507812,0.6479492,1.2587891,1,4,65
2.3642578,0.9121094,1.6157227,1,4,66
2.0795898,1.4018555,1.9936523,1,4,67
2.239746,1.875,2.7685547,1,4,68
2.2714844,2.644043,3.600586,1,4,69
2.1923828,2.777832,3.9101562,1,4,70
-0.13183594,2.121582,2.3920898,1,4,71
-2.081543,2.459961,1.9526367,1,4,72
-2.0996094,1.2236328,2.1333008,1,4,73
-2.2250977,0.2915039,1.8554688,1,4,74
-2.2246094,-0.58691406,0.8515625,1,4,75
-1.8510742,-0.74316406,0.27197266,1,4,76
-1.5751953,-0.57128906,0.4428711,1,4,77
-1.262207,-0.6982422,0.38330078,1,4,78
-0.87841797,-0.625,0.90478516,1,4,79
-0.3569336,-0.6069336,1.7109375,1,4,80
0.20654297,-0.49414062,2.041504,1,4,81
0.4501953,-0.14160156,2.1850586,1,4,82
0.49609375,0.12011719,2.8613281,1,4,83
0.4951172,0.1640625,3.6933594,1,4,84
1.1318359,-0.20654297,4.9711914,1,4,85
8.771973,-0.8720703,2.0488281,1,4,86
7.020508,-4.3842773,1.6689453,1,4,87
4.1713867,-0.5205078,0.8833008,1,4,88
6.230957,4.8256836,2.5429688,1,4,89
5.563965,3.8623047,1.0805664,1,4,90
3.7177734,1.059082,1.7949219,1,4,91
4.668457,1.1552734,1.5322266,1,4,92
5.288086,0.94970703,1.1074219,1,4,93
5.8251953,1.1601562,1.0561523,1,4,94
4.675293,1.0200195,0.6826172,1,4,95
3.6274414,1.3266602,0.79541016,1,4,96
3.065918,1.0634766,1.0258789,1,4,97
2.3095703,0.7050781,1.1865234,1,4,98
1.918457,0.052734375,1.1616211,1,4,99
2.0195312,-0.4814453,1.2705078,1,4,100
2.1762695,-1.0097656,1.418457,1,4,101
2.0195312,-1.3945312,1.8735352,1,4,102
2.0239258,-2.1259766,2.7636719,1,4,103
1.7348633,-3.038086,3.6479492,1,4,104
1.1279297,-2.2958984,3.2919922,1,4,105
-0.7807617,-1.8818359,2.369629,1,4,106
-1.8916016,-1.6416016,1.9946289,1,4,107
-1.5532227,-0.80371094,2.2631836,1,4,108
-1.6533203,-0.052734375,1.9013672,1,4,109
-1.9516602,0.6435547,0.86328125,1,4,110
-1.8935547,0.8642578,0.37402344,1,4,111
-1.7724609,0.64941406,0.26757812,1,4,112
-1.3945312,0.4453125,0.6669922,1,4,113
-0.82177734,0.5048828,1.6621094,1,4,114
0.040527344,0.2602539,1.7807617,1,4,115
0.6220703,0.22216797,2.0698242,1,4,116
0.68066406,0.19189453,2.0292969,1,4,117
0.44921875,0.23779297,1.9511719,1,4,118
0.17578125,0.063964844,2.177246,1,4,119
0.33544922,-0.28320312,3.2539062,1,4,120
2.1381836,0.6899414,6.5532227,1,4,121
6.4814453,-1.4511719,0.15039062,1,4,122
8.243652,4.5786133,2.8447266,1,4,123
5.188965,0.76171875,0.024414062,1,4,124
5.9311523,-6.053711,2.1259766,1,4,125
6.0078125,-2.9282227,1.5620117,1,4,126
3.21875,-0.9980469,2.0844727,1,4,127
4.7285156,-1.5678711,1.2426758,1,4,128
5.9179688,-1.3891602,1.1552734,1,4,129
5.3657227,-1.1894531,0.6567383,1,4,130
4.408203,-1.019043,0.63720703,1,4,131
3.4047852,-1.2353516,0.58496094,1,4,132
2.4702148,-1.065918,0.6875,1,4,133
1.8417969,-0.34179688,1.0463867,1,4,134
1.7167969,0.15527344,1.1157227,1,4,135
1.7119141,0.6254883,1.3823242,1,4,136
1.6958008,0.9946289,1.4399414,1,4,137
2.40625,1.5908203,2.171875,1,4,138
2.614746,2.0717773,3.303711,1,4,139
2.390625,2.9355469,4.131836,1,4,140
0.7885742,2.4262695,3.0488281,1,4,141
-2.0488281,2.5805664,2.1186523,1,4,142
-2.2167969,2.1166992,1.8500977,1,4,143
-2.065918,1.496582,1.9067383,1,4,144
-2.1518555,0.4716797,1.3085938,1,4,145
-1.7758789,-0.28271484,0.43603516,1,4,146
-1.5898438,-0.5126953,0.111328125,1,4,147
-1.4902344,-0.3623047,0.67333984,1,4,148
-1.1279297,-0.71240234,0.89697266,1,4,149
-0.46484375,-0.9458008,1.2548828,1,4,150
0.33544922,-0.75,2.020996,1,4,151
0.859375,-0.8095703,2.0668945,1,4,152
0.8305664,-0.78125,2.5097656,1,4,153
0.5805664,0.1616211,3.9458008,1,4,154
1.0024414,-0.009277344,5.3969727,1,4,155
7.817871,-0.5444336,2.9785156,1,4,156
6.729004,-3.612793,2.390625,1,4,157
3.9370117,-1.1445312,0.80126953,1,4,158
6.6533203,4.0717773,3.506836,1,4,159
6.294922,4.3706055,1.0307617,1,4,160
3.5576172,1.4804688,2.3168945,1,4,161
4.14209,1.5112305,1.9370117,1,4,162
5.5092773,1.097168,1.5268555,1,4,163
5.5058594,1.1264648,1.3911133,1,4,164
4.569824,1.0595703,0.9165039,1,4,165
3.7158203,1.328125,0.9145508,1,4,166
3.0268555,1.2900391,1.0966797,1,4,167
2.2338867,0.7246094,1.0732422,1,4,168
1.8320312,0.13769531,1.0864258,1,4,169
1.784668,-0.4819336,1.1679688,1,4,170
1.7255859,-0.9863281,1.3544922,1,4,171
1.8671875,-1.4418945,1.3647461,1,4,172
1.7661133,-2.118164,2.2167969,1,4,173
1.5625,-2.9780273,2.9726562,1,4,174
1.9404297,-3.1704102,3.399414,1,4,175
-0.58154297,-2.168457,3.055664,1,4,176
-2.491211,-1.5834961,2.1503906,1,4,177
-2.4648438,-1.0444336,1.7133789,1,4,178
-1.5981445,-0.51904297,1.4091797,1,4,179
-1.5078125,0.008300781,0.9941406,1,4,180
-1.7236328,0.57373047,0.5678711,1,4,181
-1.3886719,0.2836914,0.6503906,1,4,182
