"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",36,"right"
1,"peaks[1]",71,"left"
1,"peaks[2]",106,"right"
1,"peaks[3]",142,"left"
1,"peaks[4]",175,"right"
1,"peaks[5]",209,"left"
1,"peaks[6]",246,"right"
1,"peaks[7]",280,"left"
1,"peaks[8]",316,"right"
1,"peaks[9]",349,"left"
1,"peaks[10]",386,"right"
1,"peaks[11]",420,"left"
1,"peaks[12]",457,"right"
1,"peaks[13]",491,"left"
1,"peaks[14]",529,"right"
1,"peaks[15]",563,"left"
1,"peaks[16]",599,"right"
1,"peaks[17]",632,"left"
1,"peaks[18]",669,"right"
1,"peaks[19]",702,"left"
1,"peaks[20]",740,"right"
1,"peaks[21]",773,"left"
1,"peaks[22]",810,"right"
1,"peaks[23]",844,"left"
1,"peaks[24]",880,"right"
1,"peaks[25]",915,"left"
1,"peaks[26]",951,"right"
1,"peaks[27]",985,"left"
1,"peaks[28]",1023,"right"
1,"peaks[29]",1056,"left"
1,"peaks[30]",1093,"right"
1,"peaks[31]",1129,"left"
1,"peaks[32]",1163,"right"
1,"peaks[33]",1197,"left"
1,"peaks[34]",1234,"right"
1,"peaks[35]",1269,"left"
1,"peaks[36]",1305,"right"
1,"peaks[37]",1342,"left"
1,"peaks[38]",1376,"right"
1,"peaks[39]",1410,"left"
1,"peaks[40]",1446,"right"
1,"peaks[41]",1481,"left"
1,"peaks[42]",1516,"right"
1,"peaks[43]",1550,"left"
1,"peaks[44]",1587,"right"
1,"peaks[45]",1621,"left"
1,"peaks[46]",1657,"right"
1,"peaks[47]",1690,"left"
1,"peaks[48]",1727,"right"
1,"peaks[49]",1761,"left"
1,"peaks[50]",1798,"right"
1,"peaks[51]",1833,"left"
1,"peaks[52]",1868,"right"
1,"peaks[53]",1903,"left"
1,"peaks[54]",1940,"right"
1,"peaks[55]",1974,"left"
1,"peaks[56]",2011,"right"
1,"peaks[57]",2045,"left"
1,"peaks[58]",2082,"right"
1,"peaks[59]",2116,"left"
1,"peaks[60]",2153,"right"
1,"peaks[61]",2186,"left"
1,"peaks[62]",2224,"right"
1,"peaks[63]",2258,"left"
1,"peaks[64]",2294,"right"
1,"peaks[65]",2329,"left"
1,"peaks[66]",2365,"right"
1,"peaks[67]",2401,"left"
1,"peaks[68]",2437,"right"
1,"peaks[69]",2471,"left"
1,"peaks[70]",2508,"right"
1,"peaks[71]",2541,"left"
1,"peaks[72]",2578,"right"
1,"peaks[73]",2612,"left"
1,"peaks[74]",2648,"right"
1,"peaks[75]",2682,"left"
1,"peaks[76]",2719,"right"
1,"peaks[77]",2752,"left"
1,"peaks[78]",2789,"right"
1,"peaks[79]",2823,"left"
1,"peaks[80]",2859,"right"
1,"peaks[81]",2893,"left"
1,"peaks[82]",2929,"right"
1,"peaks[83]",2964,"left"
