"x","y","z","interval_no","runtype","packet_no"
6.0546875,-1.9633789,1.5444336,1,4,1
6.6621094,-0.48583984,1.5698242,1,4,2
5.262207,0.8076172,1.8452148,1,4,3
3.7680664,1.359375,1.777832,1,4,4
3.3164062,0.82421875,1.387207,1,4,5
2.8398438,0.89697266,1.5546875,1,4,6
2.769043,0.8564453,1.6464844,1,4,7
2.668457,0.6464844,1.5429688,1,4,8
2.6416016,0.41210938,1.6044922,1,4,9
1.7617188,0.083984375,1.6567383,1,4,10
1.0732422,-0.30273438,1.6152344,1,4,11
0.6464844,-0.234375,1.6801758,1,4,12
0.42041016,0.11816406,1.7836914,1,4,13
-0.21191406,0.83447266,2.0805664,1,4,14
-0.24414062,1.0161133,2.0131836,1,4,15
-0.2163086,0.9213867,1.8769531,1,4,16
-0.39794922,0.8959961,1.9257812,1,4,17
-0.8569336,0.6557617,1.7651367,1,4,18
-1.0854492,0.1459961,1.4111328,1,4,19
-1.5053711,0.019042969,1.21875,1,4,20
-1.8945312,0.14355469,1.0444336,1,4,21
-1.9550781,0.095703125,0.83984375,1,4,22
-1.6879883,-0.21142578,0.6557617,1,4,23
-1.0888672,-0.43115234,0.7397461,1,4,24
-0.6069336,-0.5058594,0.9921875,1,4,25
-0.42236328,-0.38085938,2.2353516,1,4,26
-0.25634766,-0.123535156,6.1987305,1,4,27
-0.48339844,1.5717773,8.424316,1,4,28
-0.6826172,-2.5585938,5.8691406,1,4,29
4.6381836,-10.224121,-0.65771484,1,4,30
7.5317383,-1.5327148,-1.7211914,1,4,31
9.240234,2.8745117,8.791504,1,4,32
6.7539062,2.7329102,0.63916016,1,4,33
7.7192383,6.777832,2.055664,1,4,34
2.2216797,3.6826172,1.9584961,1,4,35
0.3720703,2.394043,2.003418,1,4,36
1.4829102,1.9848633,1.2797852,1,4,37
3.956543,1.6787109,1.8129883,1,4,38
5.2265625,0.4243164,1.4345703,1,4,39
6.2998047,-0.22998047,1.4780273,1,4,40
5.050293,-1.2128906,1.7543945,1,4,41
3.5322266,-1.3676758,1.9819336,1,4,42
2.793457,-1.340332,1.6191406,1,4,43
2.4726562,-0.7661133,1.6333008,1,4,44
2.7045898,-0.48632812,1.800293,1,4,45
2.9804688,0.033203125,1.96875,1,4,46
2.2885742,0.28271484,2.0810547,1,4,47
1.5571289,0.31445312,1.8955078,1,4,48
1.3032227,0.3100586,1.6425781,1,4,49
0.85791016,0.47216797,1.5932617,1,4,50
0.09863281,0.47314453,1.5288086,1,4,51
-0.7128906,0.053710938,1.3408203,1,4,52
-0.9658203,-0.2109375,1.1098633,1,4,53
-1.0087891,-0.2211914,1.2250977,1,4,54
-0.9067383,-0.31982422,1.2890625,1,4,55
-0.98339844,-0.34570312,1.4033203,1,4,56
-1.3154297,-0.38330078,1.3198242,1,4,57
-1.4433594,-0.49316406,0.96484375,1,4,58
-1.3925781,-0.5151367,0.6933594,1,4,59
-1.3344727,-0.30908203,0.65625,1,4,60
-0.95996094,0.09033203,0.94433594,1,4,61
-0.46972656,0.40429688,1.3989258,1,4,62
-0.375,0.265625,2.3930664,1,4,63
-0.14257812,0.35302734,7.760742,1,4,64
-0.9223633,-2.081543,6.783203,1,4,65
-0.63720703,3.8300781,2.4228516,1,4,66
5.817383,9.396484,0.8071289,1,4,67
6.772949,0.4345703,-0.21289062,1,4,68
5.5786133,-1.3505859,4.666992,1,4,69
3.7680664,-1.753418,3.2558594,1,4,70
7.3969727,-8.517578,2.0859375,1,4,71
8.75293,-4.878418,2.300293,1,4,72
0.7216797,-4.1572266,2.0673828,1,4,73
1.2890625,-2.1796875,1.9477539,1,4,74
4.53125,-2.1499023,1.421875,1,4,75
6.6186523,-0.92822266,1.7714844,1,4,76
5.6918945,0.4453125,1.7700195,1,4,77
4.017578,1.1621094,2.0205078,1,4,78
3.4785156,0.87060547,1.5351562,1,4,79
3.0126953,0.76416016,1.4204102,1,4,80
3.1079102,0.42236328,1.6025391,1,4,81
2.8964844,0.51953125,1.5273438,1,4,82
2.6103516,0.017578125,1.5527344,1,4,83
1.8876953,-0.28759766,1.4248047,1,4,84
1.1035156,-0.4116211,1.5302734,1,4,85
0.7441406,-0.54345703,1.7119141,1,4,86
0.63720703,-0.27148438,1.6142578,1,4,87
0.09814453,0.5078125,1.9736328,1,4,88
-0.35839844,1.0698242,2.2451172,1,4,89
-0.0390625,1.0263672,1.9296875,1,4,90
-0.24609375,0.97998047,1.9277344,1,4,91
-0.5751953,0.9379883,1.9716797,1,4,92
-0.9790039,0.44433594,1.690918,1,4,93
-1.1987305,-0.07861328,1.3330078,1,4,94
-1.4487305,-0.15576172,1.105957,1,4,95
-1.6689453,-0.1616211,0.91552734,1,4,96
-1.6323242,-0.23486328,0.85839844,1,4,97
-1.2924805,-0.46484375,0.7817383,1,4,98
-0.7871094,-0.6557617,0.73876953,1,4,99
-0.56103516,-0.6298828,1.1953125,1,4,100
-0.48339844,-0.5966797,2.9423828,1,4,101
-0.6879883,0.1953125,7.588379,1,4,102
-0.032226562,0.5917969,10.4609375,1,4,103
1.762207,-9.166992,1.7880859,1,4,104
6.695801,-6.9438477,-4.8378906,1,4,105
7.17334,0.7626953,2.9521484,1,4,106
8.047363,3.3842773,7.223633,1,4,107
7.4711914,5.2163086,-0.38476562,1,4,108
6.467285,6.7958984,2.7470703,1,4,109
1.4790039,3.2148438,2.1308594,1,4,110
0.05126953,2.928711,2.0317383,1,4,111
1.6767578,2.184082,1.3129883,1,4,112
4.725586,1.8144531,1.7260742,1,4,113
5.7211914,0.11816406,1.0756836,1,4,114
5.961914,-0.34277344,1.7119141,1,4,115
4.383789,-1.2866211,1.7773438,1,4,116
3.4868164,-1.5537109,1.8110352,1,4,117
2.722168,-1.3271484,1.5927734,1,4,118
2.3442383,-0.8535156,1.6186523,1,4,119
2.644043,-0.58154297,1.7773438,1,4,120
2.9638672,-0.18066406,1.737793,1,4,121
2.0893555,0.27441406,2.084961,1,4,122
1.2963867,0.29589844,2.0512695,1,4,123
0.67333984,0.13769531,1.8803711,1,4,124
0.15478516,0.18310547,1.8071289,1,4,125
-0.18457031,-0.028320312,1.737793,1,4,126
-0.49023438,-0.49902344,1.2446289,1,4,127
-0.6713867,-0.7421875,1.2084961,1,4,128
-0.9223633,-0.67626953,1.3154297,1,4,129
-0.9423828,-0.4716797,1.440918,1,4,130
-0.9633789,-0.28076172,1.487793,1,4,131
-1.2124023,-0.35888672,1.2685547,1,4,132
-1.3237305,-0.3564453,0.9506836,1,4,133
-1.3735352,-0.2861328,0.85009766,1,4,134
-1.3793945,-0.0703125,1.1464844,1,4,135
-0.95166016,0.39648438,1.5634766,1,4,136
-0.6015625,0.33642578,1.9902344,1,4,137
-0.56884766,0.64501953,5.995117,1,4,138
-0.7192383,-1.296875,7.4189453,1,4,139
-1.7666016,-0.20800781,4.1899414,1,4,140
3.2563477,9.897949,-0.1616211,1,4,141
6.1416016,3.807129,0.09667969,1,4,142
6.6118164,-1.3569336,3.8969727,1,4,143
6.8808594,-1.2294922,4.3603516,1,4,144
8.265625,-8.04834,2.2138672,1,4,145
8.22998,-5.0893555,2.1469727,1,4,146
0.5253906,-4.2285156,1.9912109,1,4,147
-0.18896484,-2.758789,2.197754,1,4,148
3.7680664,-2.2651367,1.1958008,1,4,149
6.4970703,-1.4204102,1.9316406,1,4,150
5.6362305,0.103027344,1.7568359,1,4,151
4.350586,1.4228516,2.2265625,1,4,152
3.411621,1.2514648,1.8969727,1,4,153
2.9140625,0.9296875,1.4414062,1,4,154
2.6201172,0.7626953,1.6523438,1,4,155
2.581543,0.8232422,1.6323242,1,4,156
2.442871,0.37939453,1.4970703,1,4,157
2.3256836,0.061035156,1.3994141,1,4,158
1.6914062,-0.27246094,1.4853516,1,4,159
1.1757812,-1.0209961,1.5957031,1,4,160
0.48876953,-0.8066406,1.6264648,1,4,161
0.24121094,-0.34570312,1.4770508,1,4,162
-0.17041016,0.20898438,1.7207031,1,4,163
-0.4736328,0.75634766,1.8793945,1,4,164
-0.453125,0.65966797,1.6420898,1,4,165
-0.6040039,0.6347656,1.6879883,1,4,166
-0.99902344,0.5083008,1.6010742,1,4,167
-1.1108398,0.18847656,1.1694336,1,4,168
