"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",62,"unknown"
1,"peaks[1]",95,"unknown"
1,"peaks[2]",128,"unknown"
1,"peaks[3]",163,"unknown"
1,"peaks[4]",194,"unknown"
1,"peaks[5]",231,"unknown"
1,"peaks[6]",263,"unknown"
1,"peaks[7]",297,"unknown"
1,"peaks[8]",330,"unknown"
1,"peaks[9]",365,"unknown"
1,"peaks[10]",399,"unknown"
1,"peaks[11]",433,"unknown"
1,"peaks[12]",466,"unknown"
1,"peaks[13]",501,"unknown"
1,"peaks[14]",536,"unknown"
1,"peaks[15]",568,"unknown"
1,"peaks[16]",602,"unknown"
1,"peaks[17]",637,"unknown"
1,"peaks[18]",669,"unknown"
1,"peaks[19]",704,"unknown"
1,"peaks[20]",737,"unknown"
1,"peaks[21]",772,"unknown"
1,"peaks[22]",806,"unknown"
1,"peaks[23]",838,"unknown"
1,"peaks[24]",872,"unknown"
1,"peaks[25]",907,"unknown"
1,"peaks[26]",938,"unknown"
1,"peaks[27]",975,"unknown"
1,"peaks[28]",1008,"unknown"
1,"peaks[29]",1042,"unknown"
1,"peaks[30]",1076,"unknown"
1,"peaks[31]",1110,"unknown"
1,"peaks[32]",1143,"unknown"
1,"peaks[33]",1177,"unknown"
1,"peaks[34]",1210,"unknown"
1,"peaks[35]",1243,"unknown"
1,"peaks[36]",1276,"unknown"
1,"peaks[37]",1313,"unknown"
1,"peaks[38]",1347,"unknown"
1,"peaks[39]",1380,"unknown"
1,"peaks[40]",1415,"unknown"
1,"peaks[41]",1448,"unknown"
1,"peaks[42]",1481,"unknown"
1,"peaks[43]",1515,"unknown"
1,"peaks[44]",1549,"unknown"
1,"peaks[45]",1583,"unknown"
1,"peaks[46]",1618,"unknown"
1,"peaks[47]",1651,"unknown"
1,"peaks[48]",1685,"unknown"
1,"peaks[49]",1720,"unknown"
1,"peaks[50]",1753,"unknown"
1,"peaks[51]",1788,"unknown"
1,"peaks[52]",1822,"unknown"
1,"peaks[53]",1856,"unknown"
1,"peaks[54]",1889,"unknown"
1,"peaks[55]",1923,"unknown"
1,"peaks[56]",1958,"unknown"
1,"peaks[57]",1991,"unknown"
1,"peaks[58]",2026,"unknown"
1,"peaks[59]",2059,"unknown"
1,"peaks[60]",2093,"unknown"
1,"peaks[61]",2128,"unknown"
1,"peaks[62]",2161,"unknown"
1,"peaks[63]",2194,"unknown"
1,"peaks[64]",2227,"unknown"
1,"peaks[65]",2261,"unknown"
1,"peaks[66]",2296,"unknown"
1,"peaks[67]",2329,"unknown"
1,"peaks[68]",2362,"unknown"
1,"peaks[69]",2397,"unknown"
1,"peaks[70]",2430,"unknown"
1,"peaks[71]",2464,"unknown"
1,"peaks[72]",2498,"unknown"
1,"peaks[73]",2531,"unknown"
1,"peaks[74]",2564,"unknown"
1,"peaks[75]",2598,"unknown"
1,"peaks[76]",2632,"unknown"
1,"peaks[77]",2665,"unknown"
1,"peaks[78]",2701,"unknown"
1,"peaks[79]",2734,"unknown"
1,"peaks[80]",2768,"unknown"
1,"peaks[81]",2800,"unknown"
1,"peaks[82]",2834,"unknown"
1,"peaks[83]",2869,"unknown"
1,"peaks[84]",2902,"unknown"
1,"peaks[85]",2937,"unknown"
