"x","y","z","interval_no","runtype","packet_no"
2.9106445,-0.7871094,1.8984375,1,4,1
4.1503906,-0.0053710938,1.6884766,1,4,2
4.9350586,0.29589844,1.3696289,1,4,3
4.533203,0.46191406,1.2880859,1,4,4
3.744629,0.5673828,1.1196289,1,4,5
3.4101562,0.6879883,1.1259766,1,4,6
3.5195312,0.69384766,1.2163086,1,4,7
3.2231445,0.48242188,1.4375,1,4,8
3.3305664,-0.061523438,1.559082,1,4,9
3.2480469,-0.63916016,1.7397461,1,4,10
2.7451172,-1.0424805,1.4638672,1,4,11
1.956543,-0.9819336,1.4335938,1,4,12
1.3120117,-0.8613281,1.5908203,1,4,13
0.80810547,-0.84472656,1.5375977,1,4,14
0.203125,-0.6347656,1.3105469,1,4,15
-0.36572266,-0.4711914,1.3334961,1,4,16
-0.64404297,-0.2685547,1.4726562,1,4,17
-1.1352539,-0.09472656,1.4824219,1,4,18
-1.409668,0.18359375,1.5532227,1,4,19
-1.5546875,0.41992188,1.4819336,1,4,20
-1.65625,0.58691406,1.3896484,1,4,21
-1.7104492,0.68310547,1.4243164,1,4,22
-1.4208984,0.6279297,1.2705078,1,4,23
-1.0761719,0.5029297,1.1362305,1,4,24
-0.84228516,0.24511719,0.88134766,1,4,25
-0.62841797,-0.0063476562,0.8496094,1,4,26
-0.44482422,0.2626953,1.9443359,1,4,27
-0.13867188,0.7729492,3.2719727,1,4,28
0.037109375,0.63671875,3.5322266,1,4,29
0.61328125,0.21191406,4.4750977,1,4,30
0.84375,-0.4506836,3.9511719,1,4,31
1.7368164,-2.400879,2.1992188,1,4,32
8.922363,-0.15722656,1.2109375,1,4,33
14.606445,0.6269531,4.677246,1,4,34
8.524902,5.23291,3.6225586,1,4,35
2.9711914,4.239258,3.0039062,1,4,36
1.652832,1.190918,1.7558594,1,4,37
2.493164,0.3388672,1.8886719,1,4,38
4.052246,-0.26708984,2.2685547,1,4,39
4.29834,-0.53759766,1.925293,1,4,40
4.5649414,-0.4897461,1.3828125,1,4,41
4.4453125,-0.23486328,1.4628906,1,4,42
4.078125,-0.3251953,1.4941406,1,4,43
3.4902344,-0.4243164,1.2954102,1,4,44
3.2626953,-0.39648438,1.1826172,1,4,45
3.1206055,-0.21582031,1.1567383,1,4,46
2.8481445,0.026855469,1.2075195,1,4,47
2.8413086,0.4345703,1.4135742,1,4,48
2.6450195,0.69091797,1.5063477,1,4,49
2.2143555,0.78466797,1.6416016,1,4,50
1.6054688,0.7753906,1.440918,1,4,51
0.88427734,0.67626953,1.2119141,1,4,52
0.13378906,0.6035156,1.0893555,1,4,53
-0.25097656,0.36669922,1.1992188,1,4,54
-0.51123047,0.115234375,1.4370117,1,4,55
-0.8339844,-0.29101562,1.3603516,1,4,56
-1.1142578,-0.54785156,1.4580078,1,4,57
-1.5126953,-0.59814453,1.5854492,1,4,58
-1.7001953,-0.49853516,1.4970703,1,4,59
-1.9594727,-0.45703125,1.246582,1,4,60
-1.7451172,-0.375,1.0009766,1,4,61
-1.2822266,-0.24951172,0.92822266,1,4,62
-0.7182617,0.10595703,0.8647461,1,4,63
-0.19970703,0.07910156,0.9472656,1,4,64
-0.021972656,-0.109375,1.8564453,1,4,65
0.23876953,-0.7363281,3.6860352,1,4,66
0.66796875,-1.5551758,5.798828,1,4,67
1.2978516,-1.7280273,4.9282227,1,4,68
1.3071289,3.258789,3.868164,1,4,69
2.8115234,4.5776367,1.6328125,1,4,70
9.37207,0.21826172,0.13378906,1,4,71
10.972168,-1.3037109,3.8955078,1,4,72
7.105957,-5.001465,3.3652344,1,4,73
2.4350586,-4.4067383,1.9194336,1,4,74
1.5776367,-2.6166992,0.92285156,1,4,75
2.0664062,-1.0986328,1.6782227,1,4,76
3.5893555,-0.092285156,2.100586,1,4,77
5.029785,0.5136719,1.6289062,1,4,78
4.919922,0.6191406,1.394043,1,4,79
3.9282227,0.6826172,1.296875,1,4,80
3.4780273,0.8598633,0.9916992,1,4,81
3.5683594,0.8183594,1.,1,4,82
3.696289,0.71435547,1.1796875,1,4,83
3.6757812,0.18164062,1.152832,1,4,84
3.3393555,-0.3930664,1.1674805,1,4,85
3.1933594,-1.0004883,1.2563477,1,4,86
2.8095703,-1.4438477,1.4140625,1,4,87
1.953125,-1.4013672,1.625,1,4,88
1.1689453,-1.1396484,1.4272461,1,4,89
0.41503906,-0.6484375,1.1137695,1,4,90
-0.11035156,-0.16894531,1.1386719,1,4,91
-0.21582031,0.21679688,1.6582031,1,4,92
-0.26464844,0.3857422,1.7636719,1,4,93
-0.46289062,0.43798828,1.9248047,1,4,94
-1.1308594,0.4560547,1.9243164,1,4,95
-1.4169922,0.28466797,1.7099609,1,4,96
-1.7319336,0.29296875,1.7167969,1,4,97
-1.7226562,0.32861328,1.7397461,1,4,98
-1.4257812,0.37597656,1.5390625,1,4,99
-1.1411133,0.46826172,1.1640625,1,4,100
-0.9980469,0.20898438,0.9604492,1,4,101
-0.8300781,0.25585938,1.2412109,1,4,102
-0.7324219,0.4633789,2.2861328,1,4,103
-0.52734375,0.9785156,3.416504,1,4,104
-0.18359375,0.97509766,4.75,1,4,105
0.50927734,-0.3984375,3.4174805,1,4,106
0.63378906,-1.7045898,2.4926758,1,4,107
2.0283203,-1.8007812,1.5625,1,4,108
10.402832,1.0429688,1.0981445,1,4,109
15.604004,2.4487305,5.147949,1,4,110
7.0898438,6.3496094,3.690918,1,4,111
1.2895508,2.6645508,2.2636719,1,4,112
1.5708008,0.56591797,0.859375,1,4,113
3.730957,-0.18115234,2.362793,1,4,114
4.911621,-0.72509766,2.578125,1,4,115
4.048828,-0.81152344,1.4931641,1,4,116
4.260254,-0.7397461,1.5683594,1,4,117
3.7700195,-0.67089844,1.53125,1,4,118
3.0546875,-0.77490234,1.3520508,1,4,119
2.821289,-0.66503906,1.3398438,1,4,120
2.9614258,-0.40429688,1.3344727,1,4,121
2.847168,-0.29638672,1.1879883,1,4,122
2.7216797,0.07080078,1.21875,1,4,123
2.8427734,0.49072266,1.6196289,1,4,124
2.5249023,0.7001953,1.5576172,1,4,125
1.824707,0.7050781,1.340332,1,4,126
1.1601562,0.72021484,1.4536133,1,4,127
0.6123047,0.6689453,1.340332,1,4,128
0.014160156,0.5683594,1.1708984,1,4,129
-0.2163086,0.31591797,1.3188477,1,4,130
-0.5913086,0.17773438,1.4008789,1,4,131
-0.77978516,-0.057617188,1.2255859,1,4,132
-1.3095703,-0.2368164,1.3476562,1,4,133
-1.4331055,-0.34472656,1.4399414,1,4,134
