"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",61,"right"
1,"peaks[1]",100,"left"
1,"peaks[2]",137,"right"
1,"peaks[3]",174,"left"
1,"peaks[4]",213,"right"
1,"peaks[5]",252,"left"
1,"peaks[6]",289,"right"
1,"peaks[7]",328,"left"
1,"peaks[8]",366,"right"
1,"peaks[9]",403,"left"
1,"peaks[10]",443,"right"
1,"peaks[11]",480,"left"
1,"peaks[12]",519,"right"
1,"peaks[13]",558,"left"
1,"peaks[14]",596,"right"
1,"peaks[15]",635,"left"
1,"peaks[16]",673,"right"
1,"peaks[17]",711,"left"
1,"peaks[18]",749,"right"
1,"peaks[19]",786,"left"
1,"peaks[20]",825,"right"
1,"peaks[21]",865,"left"
1,"peaks[22]",902,"right"
1,"peaks[23]",939,"left"
1,"peaks[24]",977,"right"
1,"peaks[25]",1015,"left"
1,"peaks[26]",1053,"right"
1,"peaks[27]",1091,"left"
1,"peaks[28]",1129,"right"
1,"peaks[29]",1168,"left"
1,"peaks[30]",1205,"right"
1,"peaks[31]",1244,"left"
1,"peaks[32]",1281,"right"
1,"peaks[33]",1319,"left"
1,"peaks[34]",1357,"right"
1,"peaks[35]",1394,"left"
1,"peaks[36]",1433,"right"
1,"peaks[37]",1471,"left"
1,"peaks[38]",1509,"right"
1,"peaks[39]",1546,"left"
1,"peaks[40]",1584,"right"
1,"peaks[41]",1623,"left"
1,"peaks[42]",1662,"right"
1,"peaks[43]",1699,"left"
1,"peaks[44]",1738,"right"
1,"peaks[45]",1774,"left"
1,"peaks[46]",1813,"right"
1,"peaks[47]",1853,"left"
1,"peaks[48]",1890,"right"
1,"peaks[49]",1927,"left"
1,"peaks[50]",1965,"right"
1,"peaks[51]",2004,"left"
1,"peaks[52]",2042,"right"
1,"peaks[53]",2078,"left"
1,"peaks[54]",2117,"right"
1,"peaks[55]",2154,"left"
1,"peaks[56]",2194,"right"
1,"peaks[57]",2231,"left"
1,"peaks[58]",2268,"right"
1,"peaks[59]",2306,"left"
1,"peaks[60]",2344,"right"
1,"peaks[61]",2381,"left"
1,"peaks[62]",2420,"right"
1,"peaks[63]",2459,"left"
1,"peaks[64]",2497,"right"
1,"peaks[65]",2533,"left"
1,"peaks[66]",2571,"right"
1,"peaks[67]",2609,"left"
1,"peaks[68]",2647,"right"
1,"peaks[69]",2687,"left"
1,"peaks[70]",2723,"right"
1,"peaks[71]",2760,"left"
1,"peaks[72]",2797,"right"
1,"peaks[73]",2835,"left"
1,"peaks[74]",2875,"right"
1,"peaks[75]",2913,"left"
1,"peaks[76]",2950,"right"
