"x","y","z","interval_no","runtype","packet_no"
0.23242188,0.12988281,1.0249023,1,4,1
0.123046875,0.24267578,1.1186523,1,4,2
-0.071777344,0.4326172,1.2685547,1,4,3
-0.20751953,0.64160156,1.3442383,1,4,4
-0.26660156,0.7373047,1.3920898,1,4,5
-0.34033203,0.69384766,1.3554688,1,4,6
-0.38427734,0.5800781,1.2314453,1,4,7
-0.40820312,0.44140625,1.1425781,1,4,8
-0.52001953,0.32910156,1.0161133,1,4,9
-0.5776367,0.26220703,0.91259766,1,4,10
-0.6586914,0.21484375,1.1865234,1,4,11
-0.7006836,0.28027344,2.338379,1,4,12
-0.36865234,0.77246094,5.0625,1,4,13
0.049804688,0.57128906,4.4248047,1,4,14
-0.26953125,-1.7304688,3.171875,1,4,15
1.5927734,-5.8339844,1.6381836,1,4,16
5.444336,-2.3554688,2.0058594,1,4,17
6.5961914,0.4243164,1.7763672,1,4,18
7.680664,2.8300781,3.9072266,1,4,19
7.4990234,4.130371,1.6889648,1,4,20
3.2685547,2.4702148,3.1103516,1,4,21
2.9375,0.2529297,2.019043,1,4,22
4.741211,0.2631836,2.2016602,1,4,23
5.0844727,-0.17773438,2.1831055,1,4,24
3.944336,-0.20898438,1.8427734,1,4,25
3.6245117,-0.2241211,1.5698242,1,4,26
3.9160156,-0.13867188,1.7636719,1,4,27
3.8066406,-0.16308594,1.6420898,1,4,28
3.315918,-0.23925781,1.4736328,1,4,29
2.9677734,-0.044921875,1.3793945,1,4,30
2.6953125,0.27197266,1.3413086,1,4,31
2.3955078,0.3486328,1.3466797,1,4,32
2.1328125,0.40722656,1.1479492,1,4,33
1.6972656,0.4345703,1.0239258,1,4,34
1.2407227,0.35351562,0.8046875,1,4,35
0.81152344,0.34423828,0.76904297,1,4,36
0.41796875,0.21533203,0.80322266,1,4,37
0.04736328,-0.020507812,0.91796875,1,4,38
-0.10449219,-0.22216797,1.109375,1,4,39
-0.26757812,-0.4248047,1.3110352,1,4,40
-0.3413086,-0.5126953,1.362793,1,4,41
-0.5029297,-0.48339844,1.3671875,1,4,42
-0.56591797,-0.40820312,1.2958984,1,4,43
-0.6254883,-0.3803711,1.2553711,1,4,44
-0.5214844,-0.31884766,1.2011719,1,4,45
-0.55615234,-0.23730469,1.1708984,1,4,46
-0.58740234,-0.13476562,0.9526367,1,4,47
-0.59033203,-0.09082031,0.7763672,1,4,48
-0.5751953,-0.07324219,0.94140625,1,4,49
-0.5527344,-0.21240234,1.8198242,1,4,50
-0.29833984,-0.6855469,3.270996,1,4,51
0.14208984,-1.034668,4.7177734,1,4,52
0.10449219,-1.0209961,4.5751953,1,4,53
0.60302734,1.1767578,3.2924805,1,4,54
3.1572266,4.9853516,2.5922852,1,4,55
12.411133,-1.746582,3.0493164,1,4,56
13.105957,-1.1191406,2.7211914,1,4,57
5.083008,-1.8139648,3.4765625,1,4,58
1.4228516,-0.70166016,1.7763672,1,4,59
2.2436523,0.16113281,1.9814453,1,4,60
5.034668,-0.10888672,2.5361328,1,4,61
5.298828,0.07861328,2.2988281,1,4,62
4.1137695,-0.019042969,1.4853516,1,4,63
3.7172852,-0.07714844,1.3803711,1,4,64
3.618164,0.041992188,1.5825195,1,4,65
3.5263672,0.1796875,1.5341797,1,4,66
3.3984375,-0.0063476562,1.3862305,1,4,67
3.0214844,0.10449219,1.2939453,1,4,68
2.7749023,-0.123046875,1.2978516,1,4,69
2.1796875,-0.234375,1.3154297,1,4,70
1.746582,-0.103027344,1.28125,1,4,71
1.2631836,-0.0859375,1.1157227,1,4,72
0.8598633,-0.04248047,0.9863281,1,4,73
0.4248047,-0.17626953,0.96533203,1,4,74
0.1459961,-0.1850586,0.9121094,1,4,75
-0.09667969,-0.09423828,0.96777344,1,4,76
-0.22167969,0.030273438,1.1069336,1,4,77
-0.46972656,0.19384766,1.2646484,1,4,78
-0.48095703,0.3076172,1.3227539,1,4,79
-0.46728516,0.4501953,1.2827148,1,4,80
-0.5776367,0.45361328,1.2612305,1,4,81
-0.5727539,0.42871094,1.1894531,1,4,82
-0.56640625,0.29882812,1.1147461,1,4,83
-0.53027344,0.26367188,1.043457,1,4,84
-0.49267578,0.19824219,0.88427734,1,4,85
-0.43408203,0.1538086,0.7504883,1,4,86
-0.4477539,0.3383789,1.3081055,1,4,87
-0.54052734,0.7949219,3.496582,1,4,88
0.22851562,0.7128906,4.7407227,1,4,89
0.048339844,0.60546875,4.6186523,1,4,90
0.3491211,-3.6811523,2.9472656,1,4,91
3.2070312,-4.494629,2.0708008,1,4,92
7.1313477,-0.90234375,1.578125,1,4,93
9.493652,2.7807617,4.1625977,1,4,94
7.64209,4.2626953,2.1689453,1,4,95
3.2895508,3.6513672,2.7353516,1,4,96
2.3867188,0.5410156,2.6367188,1,4,97
5.038574,0.09716797,2.178711,1,4,98
5.7368164,-0.64160156,2.1904297,1,4,99
4.040039,-0.47705078,1.9628906,1,4,100
3.2094727,-0.1538086,1.4829102,1,4,101
3.5131836,-0.2290039,1.7412109,1,4,102
3.6699219,-0.26953125,1.7392578,1,4,103
3.3222656,-0.28808594,1.4897461,1,4,104
2.956543,-0.23242188,1.3242188,1,4,105
2.866211,0.19238281,1.3461914,1,4,106
2.7739258,0.39208984,1.277832,1,4,107
2.3095703,0.4008789,1.2504883,1,4,108
1.8886719,0.36914062,0.98291016,1,4,109
1.3583984,0.32470703,0.9355469,1,4,110
0.8930664,0.30664062,0.8935547,1,4,111
0.42285156,0.3725586,0.9057617,1,4,112
0.1796875,0.24902344,0.89160156,1,4,113
0.0014648438,0.045410156,0.99365234,1,4,114
-0.18652344,-0.15820312,1.1987305,1,4,115
-0.31884766,-0.35351562,1.3339844,1,4,116
-0.4013672,-0.3408203,1.315918,1,4,117
-0.62060547,-0.24609375,1.3286133,1,4,118
-0.73535156,-0.22558594,1.2456055,1,4,119
-0.6850586,-0.12890625,1.1430664,1,4,120
-0.6425781,-0.087890625,1.1079102,1,4,121
-0.6538086,-0.08496094,0.97802734,1,4,122
-0.52246094,-0.12060547,0.7885742,1,4,123
-0.48339844,-0.1538086,0.8457031,1,4,124
-0.5371094,-0.38964844,1.6611328,1,4,125
-0.34765625,-0.73535156,3.1743164,1,4,126
0.10253906,-0.89746094,4.677246,1,4,127
0.016601562,-1.3662109,4.586914,1,4,128
0.26367188,0.6352539,3.1469727,1,4,129
2.008789,4.6748047,2.5,1,4,130
9.683594,-0.024414062,2.305664,1,4,131
14.390137,-1.4291992,2.7451172,1,4,132
6.7617188,-1.6313477,2.9257812,1,4,133
1.5966797,-0.9609375,2.3076172,1,4,134
1.8183594,0.021972656,1.8876953,1,4,135
4.571289,-0.2709961,2.4594727,1,4,136
5.404297,-0.16357422,2.515625,1,4,137
4.4311523,-0.2578125,1.6582031,1,4,138
4.0805664,-0.26367188,1.512207,1,4,139
3.8935547,-0.31835938,1.6757812,1,4,140
3.619629,-0.2553711,1.5087891,1,4,141
3.5673828,-0.15722656,1.3725586,1,4,142
3.371582,-0.21044922,1.2954102,1,4,143
2.9926758,-0.16259766,1.277832,1,4,144
2.5361328,-0.34326172,1.097168,1,4,145
1.9853516,-0.3701172,1.1186523,1,4,146
1.355957,-0.2680664,1.2099609,1,4,147
0.8173828,-0.13085938,1.222168,1,4,148
0.32421875,-0.0034179688,0.93896484,1,4,149
0.032226562,0.011230469,0.7338867,1,4,150
-0.06982422,0.017089844,0.80810547,1,4,151
-0.032714844,0.12548828,0.9975586,1,4,152
-0.32128906,0.27734375,1.2905273,1,4,153
-0.3642578,0.47558594,1.4018555,1,4,154
-0.4477539,0.6591797,1.4301758,1,4,155
-0.54785156,0.82373047,1.4296875,1,4,156
-0.56884766,0.7705078,1.2167969,1,4,157
-0.5834961,0.5541992,1.0908203,1,4,158
-0.57470703,0.44482422,1.0527344,1,4,159
-0.5649414,0.36328125,0.91015625,1,4,160
-0.49121094,0.2529297,0.7236328,1,4,161
-0.55078125,0.3383789,1.137207,1,4,162
-0.66845703,0.4975586,2.944336,1,4,163
0.11816406,0.73876953,5.010254,1,4,164
0.19677734,0.45214844,4.265625,1,4,165
0.104003906,-2.3969727,3.225586,1,4,166
2.5708008,-5.6069336,2.3500977,1,4,167
7.185547,-1.527832,1.4833984,1,4,168
9.49707,2.411621,4.1757812,1,4,169
8.281738,3.8862305,2.6381836,1,4,170
4.3930664,3.5898438,2.618164,1,4,171
2.4833984,0.49365234,2.649414,1,4,172
4.1904297,-0.13085938,2.1801758,1,4,173
5.6552734,-0.7421875,2.1445312,1,4,174
4.557129,-0.6123047,2.0302734,1,4,175
3.4848633,-0.6142578,1.5517578,1,4,176
3.5253906,-0.5024414,1.496582,1,4,177
3.8222656,-0.52197266,1.5888672,1,4,178
3.4208984,-0.3857422,1.4824219,1,4,179
2.7250977,-0.44433594,1.3115234,1,4,180
2.5844727,-0.109375,1.2163086,1,4,181
2.447754,0.17626953,1.3891602,1,4,182
2.1699219,0.26220703,1.3222656,1,4,183
1.890625,0.36816406,1.1083984,1,4,184
1.4477539,0.4038086,0.99316406,1,4,185
0.9589844,0.29003906,0.92578125,1,4,186
0.6538086,0.20361328,0.8828125,1,4,187
0.28271484,0.2109375,0.92333984,1,4,188
0.052734375,0.025390625,0.921875,1,4,189
-0.23535156,-0.084472656,1.1308594,1,4,190
