"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",48,"right"
1,"peaks[1]",85,"left"
1,"peaks[2]",123,"right"
1,"peaks[3]",161,"left"
1,"peaks[4]",199,"right"
1,"peaks[5]",237,"left"
1,"peaks[6]",275,"right"
1,"peaks[7]",313,"left"
1,"peaks[8]",352,"right"
1,"peaks[9]",391,"left"
1,"peaks[10]",430,"right"
1,"peaks[11]",468,"left"
1,"peaks[12]",507,"right"
1,"peaks[13]",545,"left"
1,"peaks[14]",583,"right"
1,"peaks[15]",620,"left"
1,"peaks[16]",658,"right"
1,"peaks[17]",696,"left"
1,"peaks[18]",735,"right"
1,"peaks[19]",772,"left"
1,"peaks[20]",811,"right"
1,"peaks[21]",848,"left"
1,"peaks[22]",886,"right"
1,"peaks[23]",923,"left"
1,"peaks[24]",961,"right"
1,"peaks[25]",999,"left"
1,"peaks[26]",1036,"right"
1,"peaks[27]",1073,"left"
1,"peaks[28]",1112,"right"
1,"peaks[29]",1148,"left"
1,"peaks[30]",1188,"right"
1,"peaks[31]",1225,"left"
1,"peaks[32]",1262,"right"
1,"peaks[33]",1301,"left"
1,"peaks[34]",1338,"right"
1,"peaks[35]",1377,"left"
1,"peaks[36]",1414,"right"
1,"peaks[37]",1451,"left"
1,"peaks[38]",1488,"right"
1,"peaks[39]",1526,"left"
1,"peaks[40]",1565,"right"
1,"peaks[41]",1601,"left"
1,"peaks[42]",1641,"right"
1,"peaks[43]",1680,"left"
1,"peaks[44]",1718,"right"
1,"peaks[45]",1755,"left"
1,"peaks[46]",1794,"right"
1,"peaks[47]",1832,"left"
1,"peaks[48]",1871,"right"
1,"peaks[49]",1909,"left"
1,"peaks[50]",1948,"right"
1,"peaks[51]",1985,"left"
1,"peaks[52]",2024,"right"
1,"peaks[53]",2062,"left"
1,"peaks[54]",2100,"right"
1,"peaks[55]",2136,"left"
1,"peaks[56]",2175,"right"
1,"peaks[57]",2213,"left"
1,"peaks[58]",2251,"right"
1,"peaks[59]",2287,"left"
1,"peaks[60]",2326,"right"
1,"peaks[61]",2364,"left"
1,"peaks[62]",2403,"right"
1,"peaks[63]",2440,"left"
1,"peaks[64]",2478,"right"
1,"peaks[65]",2515,"left"
1,"peaks[66]",2554,"right"
1,"peaks[67]",2591,"left"
1,"peaks[68]",2629,"right"
1,"peaks[69]",2665,"left"
1,"peaks[70]",2705,"right"
1,"peaks[71]",2742,"left"
1,"peaks[72]",2780,"right"
1,"peaks[73]",2818,"left"
1,"peaks[74]",2855,"right"
1,"peaks[75]",2893,"left"
1,"peaks[76]",2930,"right"
1,"peaks[77]",2967,"left"
