"x","y","z","interval_no","runtype","packet_no"
-1.1513672,0.5830078,1.065918,1,4,1
-0.029785156,0.93408203,2.3632812,1,4,2
0.61816406,1.5239258,4.7314453,1,4,3
1.4770508,1.4311523,4.8759766,1,4,4
2.0957031,-0.3466797,3.0722656,1,4,5
4.694336,-5.1884766,-0.24902344,1,4,6
10.0703125,-4.102539,2.2250977,1,4,7
9.069824,1.7739258,1.4824219,1,4,8
7.434082,2.525879,0.72509766,1,4,9
3.661621,1.5048828,3.1611328,1,4,10
0.50927734,0.9760742,2.5444336,1,4,11
3.2416992,0.3647461,2.1914062,1,4,12
5.1030273,-0.12988281,2.010254,1,4,13
5.265625,-0.7885742,0.98291016,1,4,14
4.5908203,-0.87890625,1.3417969,1,4,15
3.046875,-1.0166016,1.730957,1,4,16
3.041504,-0.99121094,1.5405273,1,4,17
3.9355469,-0.43603516,1.4501953,1,4,18
4.4316406,-0.020507812,1.0712891,1,4,19
3.7475586,0.11035156,1.0839844,1,4,20
2.8378906,0.122558594,1.4047852,1,4,21
2.1132812,0.061035156,1.6176758,1,4,22
1.8359375,-0.016113281,1.5908203,1,4,23
1.59375,0.07714844,1.5839844,1,4,24
1.3637695,0.31054688,1.6142578,1,4,25
0.86279297,0.3720703,1.5883789,1,4,26
0.17138672,0.2607422,1.9951172,1,4,27
-0.44580078,0.100097656,2.552246,1,4,28
-0.90527344,-0.16845703,2.7182617,1,4,29
-1.3144531,-0.34326172,2.1489258,1,4,30
-1.7670898,-0.34765625,1.5273438,1,4,31
-2.0009766,-0.22021484,1.6538086,1,4,32
-2.1572266,-0.0107421875,1.4589844,1,4,33
-1.9995117,0.19677734,0.91259766,1,4,34
-1.7021484,0.009277344,0.48388672,1,4,35
-1.480957,-0.28076172,0.44433594,1,4,36
-1.2802734,-0.37109375,0.7832031,1,4,37
-1.0112305,-0.40722656,1.7739258,1,4,38
-0.2705078,-0.27734375,3.4448242,1,4,39
0.21484375,-0.42285156,5.01709,1,4,40
0.89453125,0.025878906,4.216797,1,4,41
2.5180664,2.3520508,1.8076172,1,4,42
6.84375,4.4726562,2.442871,1,4,43
10.687988,0.1899414,3.0083008,1,4,44
11.080566,-4.2578125,1.0888672,1,4,45
6.788574,-2.5595703,-1.3730469,1,4,46
2.9692383,-1.5517578,2.7070312,1,4,47
-1.2036133,-0.37841797,3.8549805,1,4,48
2.4614258,-1.777832,1.3339844,1,4,49
5.4379883,-0.4584961,1.6064453,1,4,50
5.824707,0.0859375,0.9785156,1,4,51
4.616211,0.47607422,1.1865234,1,4,52
3.3168945,0.78027344,1.6914062,1,4,53
2.956543,0.7294922,1.6035156,1,4,54
3.1611328,0.42089844,1.3710938,1,4,55
3.171875,0.20458984,1.171875,1,4,56
3.0795898,0.19238281,1.2021484,1,4,57
2.9199219,0.31054688,1.2607422,1,4,58
2.5004883,0.32177734,1.0917969,1,4,59
1.9086914,0.328125,1.2128906,1,4,60
1.3999023,0.07470703,1.3735352,1,4,61
1.0146484,-0.3305664,1.4404297,1,4,62
0.33691406,-0.421875,1.6206055,1,4,63
-0.27246094,0.08154297,2.182129,1,4,64
-0.57128906,0.5859375,2.4951172,1,4,65
-0.79248047,0.61572266,2.2514648,1,4,66
-1.2392578,0.6142578,2.1113281,1,4,67
-1.5805664,0.60546875,2.0957031,1,4,68
-2.0263672,0.4946289,1.7612305,1,4,69
-2.5722656,0.21240234,1.0551758,1,4,70
-2.5722656,0.3330078,0.4013672,1,4,71
-2.1738281,0.53759766,0.30322266,1,4,72
-1.390625,0.75097656,0.6738281,1,4,73
-0.4091797,1.0288086,1.7167969,1,4,74
0.56884766,1.1650391,3.9667969,1,4,75
0.8876953,1.8378906,4.6904297,1,4,76
2.1396484,0.66748047,4.541504,1,4,77
2.8017578,-2.8886719,1.2631836,1,4,78
8.592773,-6.54541,1.7543945,1,4,79
9.916992,-0.68115234,2.0551758,1,4,80
7.1816406,1.3505859,0.66064453,1,4,81
5.6308594,2.244629,2.9291992,1,4,82
1.6416016,1.1347656,3.119629,1,4,83
2.2285156,1.4121094,2.2021484,1,4,84
4.399414,0.44873047,2.128418,1,4,85
5.237793,0.01953125,1.6860352,1,4,86
4.758301,-0.42578125,1.3139648,1,4,87
3.9399414,-0.64208984,1.7553711,1,4,88
2.9780273,-0.83935547,1.6855469,1,4,89
3.4526367,-0.80859375,1.4282227,1,4,90
3.9472656,-0.40820312,1.2148438,1,4,91
4.0146484,0.029785156,1.1162109,1,4,92
3.3041992,0.12890625,1.3383789,1,4,93
2.4355469,0.09423828,1.6401367,1,4,94
2.0893555,-0.1743164,1.5585938,1,4,95
1.7915039,-0.19873047,1.5449219,1,4,96
1.5527344,-0.00390625,1.6962891,1,4,97
1.2680664,0.15332031,1.5820312,1,4,98
0.52197266,0.15625,1.7675781,1,4,99
-0.33007812,0.017089844,2.2685547,1,4,100
-0.515625,-0.2602539,2.7338867,1,4,101
-1.0327148,-0.4946289,2.578125,1,4,102
-1.6391602,-0.6738281,1.8725586,1,4,103
-2.006836,-0.5283203,1.6391602,1,4,104
-2.2011719,-0.33251953,1.5048828,1,4,105
-2.1396484,0.08691406,1.2192383,1,4,106
-1.6875,0.1640625,0.78759766,1,4,107
-1.3447266,0.01953125,0.48828125,1,4,108
-1.1118164,-0.14990234,0.453125,1,4,109
-0.8520508,-0.24267578,0.81933594,1,4,110
-0.8310547,-0.3154297,1.5258789,1,4,111
-0.25341797,-0.29492188,3.2114258,1,4,112
0.22363281,-0.36865234,5.2211914,1,4,113
0.9916992,-0.4814453,4.867676,1,4,114
2.2182617,1.8183594,1.8374023,1,4,115
7.105957,4.4921875,1.546875,1,4,116
10.768066,0.8911133,3.067871,1,4,117
10.126953,-3.71875,1.0512695,1,4,118
6.1015625,-2.3217773,-0.78125,1,4,119
