"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",71,"left"
1,"peaks[1]",107,"right"
1,"peaks[2]",145,"left"
1,"peaks[3]",181,"right"
1,"peaks[4]",217,"left"
1,"peaks[5]",254,"right"
1,"peaks[6]",290,"left"
1,"peaks[7]",327,"right"
1,"peaks[8]",363,"left"
1,"peaks[9]",400,"right"
1,"peaks[10]",435,"left"
1,"peaks[11]",472,"right"
1,"peaks[12]",509,"left"
1,"peaks[13]",544,"right"
1,"peaks[14]",582,"left"
1,"peaks[15]",618,"right"
1,"peaks[16]",655,"left"
1,"peaks[17]",692,"right"
1,"peaks[18]",729,"left"
1,"peaks[19]",766,"right"
1,"peaks[20]",803,"left"
1,"peaks[21]",839,"right"
1,"peaks[22]",875,"left"
1,"peaks[23]",912,"right"
1,"peaks[24]",948,"left"
1,"peaks[25]",986,"right"
1,"peaks[26]",1022,"left"
1,"peaks[27]",1059,"right"
1,"peaks[28]",1095,"left"
1,"peaks[29]",1132,"right"
1,"peaks[30]",1168,"left"
1,"peaks[31]",1205,"right"
1,"peaks[32]",1242,"left"
1,"peaks[33]",1279,"right"
1,"peaks[34]",1316,"left"
1,"peaks[35]",1354,"right"
1,"peaks[36]",1390,"left"
1,"peaks[37]",1427,"right"
1,"peaks[38]",1464,"left"
1,"peaks[39]",1501,"right"
1,"peaks[40]",1538,"left"
1,"peaks[41]",1574,"right"
1,"peaks[42]",1610,"left"
1,"peaks[43]",1647,"right"
1,"peaks[44]",1684,"left"
1,"peaks[45]",1721,"right"
1,"peaks[46]",1756,"left"
1,"peaks[47]",1793,"right"
1,"peaks[48]",1829,"left"
1,"peaks[49]",1865,"right"
1,"peaks[50]",1902,"left"
1,"peaks[51]",1938,"right"
1,"peaks[52]",1974,"left"
1,"peaks[53]",2010,"right"
1,"peaks[54]",2047,"left"
1,"peaks[55]",2083,"right"
1,"peaks[56]",2120,"left"
1,"peaks[57]",2157,"right"
1,"peaks[58]",2193,"left"
1,"peaks[59]",2230,"right"
1,"peaks[60]",2266,"left"
1,"peaks[61]",2303,"right"
1,"peaks[62]",2340,"left"
1,"peaks[63]",2377,"right"
1,"peaks[64]",2414,"left"
1,"peaks[65]",2450,"right"
1,"peaks[66]",2487,"left"
1,"peaks[67]",2524,"right"
1,"peaks[68]",2558,"left"
1,"peaks[69]",2595,"right"
1,"peaks[70]",2632,"left"
1,"peaks[71]",2668,"right"
1,"peaks[72]",2704,"left"
1,"peaks[73]",2740,"right"
1,"peaks[74]",2776,"left"
1,"peaks[75]",2812,"right"
1,"peaks[76]",2849,"left"
1,"peaks[77]",2886,"right"
1,"peaks[78]",2922,"left"
1,"peaks[79]",2959,"right"
