"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",39,"unknown"
1,"peaks[1]",74,"unknown"
1,"peaks[2]",112,"unknown"
1,"peaks[3]",145,"unknown"
1,"peaks[4]",184,"unknown"
1,"peaks[5]",217,"unknown"
1,"peaks[6]",251,"unknown"
1,"peaks[7]",287,"unknown"
1,"peaks[8]",323,"unknown"
1,"peaks[9]",358,"unknown"
1,"peaks[10]",393,"unknown"
1,"peaks[11]",429,"unknown"
1,"peaks[12]",464,"unknown"
1,"peaks[13]",501,"unknown"
1,"peaks[14]",537,"unknown"
1,"peaks[15]",571,"unknown"
1,"peaks[16]",612,"unknown"
1,"peaks[17]",642,"unknown"
1,"peaks[18]",681,"unknown"
1,"peaks[19]",718,"unknown"
1,"peaks[20]",756,"unknown"
1,"peaks[21]",787,"unknown"
1,"peaks[22]",822,"unknown"
1,"peaks[23]",857,"unknown"
1,"peaks[24]",899,"unknown"
1,"peaks[25]",934,"unknown"
1,"peaks[26]",966,"unknown"
1,"peaks[27]",1003,"unknown"
1,"peaks[28]",1041,"unknown"
1,"peaks[29]",1075,"unknown"
1,"peaks[30]",1114,"unknown"
1,"peaks[31]",1147,"unknown"
1,"peaks[32]",1186,"unknown"
1,"peaks[33]",1223,"unknown"
1,"peaks[34]",1254,"unknown"
1,"peaks[35]",1295,"unknown"
1,"peaks[36]",1330,"unknown"
1,"peaks[37]",1365,"unknown"
1,"peaks[38]",1406,"unknown"
1,"peaks[39]",1438,"unknown"
1,"peaks[40]",1475,"unknown"
1,"peaks[41]",1511,"unknown"
1,"peaks[42]",1543,"unknown"
1,"peaks[43]",1577,"unknown"
1,"peaks[44]",1617,"unknown"
1,"peaks[45]",1652,"unknown"
1,"peaks[46]",1692,"unknown"
1,"peaks[47]",1723,"unknown"
1,"peaks[48]",1766,"unknown"
1,"peaks[49]",1803,"unknown"
1,"peaks[50]",1834,"unknown"
1,"peaks[51]",1872,"unknown"
1,"peaks[52]",1907,"unknown"
1,"peaks[53]",1942,"unknown"
1,"peaks[54]",1981,"unknown"
1,"peaks[55]",2014,"unknown"
1,"peaks[56]",2050,"unknown"
1,"peaks[57]",2089,"unknown"
1,"peaks[58]",2124,"unknown"
1,"peaks[59]",2158,"unknown"
1,"peaks[60]",2195,"unknown"
1,"peaks[61]",2230,"unknown"
1,"peaks[62]",2267,"unknown"
1,"peaks[63]",2302,"unknown"
1,"peaks[64]",2338,"unknown"
1,"peaks[65]",2375,"unknown"
1,"peaks[66]",2411,"unknown"
1,"peaks[67]",2447,"unknown"
1,"peaks[68]",2483,"unknown"
1,"peaks[69]",2518,"unknown"
1,"peaks[70]",2561,"unknown"
1,"peaks[71]",2592,"unknown"
1,"peaks[72]",2631,"unknown"
1,"peaks[73]",2662,"unknown"
1,"peaks[74]",2703,"unknown"
1,"peaks[75]",2733,"unknown"
1,"peaks[76]",2771,"unknown"
1,"peaks[77]",2811,"unknown"
1,"peaks[78]",2844,"unknown"
1,"peaks[79]",2880,"unknown"
1,"peaks[80]",2917,"unknown"
1,"peaks[81]",2949,"unknown"
