"Interval_no","Peaks_Index","Peaks_value","Step_Side"
1,"peaks[0]",4,"right"
1,"peaks[1]",43,"left"
1,"peaks[2]",83,"right"
1,"peaks[3]",122,"left"
1,"peaks[4]",162,"right"
1,"peaks[5]",200,"left"
1,"peaks[6]",240,"right"
1,"peaks[7]",279,"left"
1,"peaks[8]",317,"right"
1,"peaks[9]",357,"left"
1,"peaks[10]",396,"right"
1,"peaks[11]",435,"left"
1,"peaks[12]",474,"right"
1,"peaks[13]",513,"left"
1,"peaks[14]",552,"right"
1,"peaks[15]",592,"left"
1,"peaks[16]",631,"right"
1,"peaks[17]",670,"left"
1,"peaks[18]",708,"right"
1,"peaks[19]",747,"left"
1,"peaks[20]",786,"right"
1,"peaks[21]",824,"left"
1,"peaks[22]",863,"right"
1,"peaks[23]",902,"left"
1,"peaks[24]",940,"right"
1,"peaks[25]",979,"left"
1,"peaks[26]",1018,"right"
1,"peaks[27]",1056,"left"
1,"peaks[28]",1094,"right"
1,"peaks[29]",1133,"left"
1,"peaks[30]",1172,"right"
1,"peaks[31]",1210,"left"
1,"peaks[32]",1248,"right"
1,"peaks[33]",1287,"left"
1,"peaks[34]",1325,"right"
1,"peaks[35]",1364,"left"
1,"peaks[36]",1403,"right"
1,"peaks[37]",1441,"left"
1,"peaks[38]",1480,"right"
1,"peaks[39]",1518,"left"
1,"peaks[40]",1558,"right"
1,"peaks[41]",1596,"left"
1,"peaks[42]",1634,"right"
1,"peaks[43]",1673,"left"
1,"peaks[44]",1713,"right"
1,"peaks[45]",1752,"left"
1,"peaks[46]",1791,"right"
1,"peaks[47]",1830,"left"
1,"peaks[48]",1870,"right"
1,"peaks[49]",1909,"left"
1,"peaks[50]",1947,"right"
1,"peaks[51]",1986,"left"
1,"peaks[52]",2025,"right"
1,"peaks[53]",2064,"left"
1,"peaks[54]",2103,"right"
1,"peaks[55]",2142,"left"
1,"peaks[56]",2181,"right"
1,"peaks[57]",2219,"left"
1,"peaks[58]",2258,"right"
1,"peaks[59]",2296,"left"
1,"peaks[60]",2334,"right"
1,"peaks[61]",2373,"left"
1,"peaks[62]",2412,"right"
1,"peaks[63]",2450,"left"
1,"peaks[64]",2489,"right"
1,"peaks[65]",2528,"left"
1,"peaks[66]",2566,"right"
1,"peaks[67]",2605,"left"
1,"peaks[68]",2643,"right"
1,"peaks[69]",2682,"left"
1,"peaks[70]",2721,"right"
1,"peaks[71]",2760,"left"
1,"peaks[72]",2799,"right"
1,"peaks[73]",2837,"left"
1,"peaks[74]",2875,"right"
1,"peaks[75]",2915,"left"
1,"peaks[76]",2955,"right"
