"x","y","z","interval_no","runtype","packet_no"
2.349121,-0.106933594,2.3925781,1,4,1
2.1411133,-0.20898438,2.171875,1,4,2
1.9570312,-0.27294922,2.0205078,1,4,3
1.8125,-0.3671875,1.9165039,1,4,4
1.6723633,-0.41357422,1.8793945,1,4,5
1.6020508,-0.42138672,1.8608398,1,4,6
1.5307617,-0.36279297,1.8588867,1,4,7
1.4614258,-0.24365234,1.7915039,1,4,8
1.4243164,-0.114746094,1.7734375,1,4,9
1.3383789,-0.013671875,1.7270508,1,4,10
1.3388672,0.08251953,1.6943359,1,4,11
1.3916016,0.15234375,1.7060547,1,4,12
1.4541016,0.18896484,1.6474609,1,4,13
1.5019531,0.19140625,1.6459961,1,4,14
1.5712891,0.19384766,1.6328125,1,4,15
1.6123047,0.16601562,1.6376953,1,4,16
1.6523438,0.14648438,1.6650391,1,4,17
1.6748047,0.111328125,1.6376953,1,4,18
1.637207,0.09423828,1.6098633,1,4,19
1.6015625,0.080566406,1.5629883,1,4,20
1.5644531,0.08203125,1.4897461,1,4,21
1.5097656,0.12207031,1.4916992,1,4,22
1.5571289,0.084472656,1.4135742,1,4,23
1.5146484,0.1484375,1.4189453,1,4,24
1.484375,0.10595703,1.3833008,1,4,25
1.4135742,0.056152344,1.3793945,1,4,26
1.4291992,-0.00390625,1.402832,1,4,27
1.4506836,-0.04296875,1.5009766,1,4,28
1.5507812,-0.0234375,1.6079102,1,4,29
1.684082,0.03466797,1.6879883,1,4,30
1.7924805,-0.01171875,1.7167969,1,4,31
1.8442383,-0.12939453,1.7822266,1,4,32
2.0307617,-0.17041016,1.7543945,1,4,33
2.2802734,-0.036132812,1.628418,1,4,34
2.4638672,0.14746094,1.5131836,1,4,35
2.5908203,0.34472656,1.4477539,1,4,36
2.5664062,0.42578125,1.4775391,1,4,37
2.5356445,0.296875,1.5488281,1,4,38
2.3374023,-0.0048828125,1.5292969,1,4,39
2.1259766,-0.23046875,1.5317383,1,4,40
1.9931641,-0.25097656,1.7763672,1,4,41
2.102539,-0.21923828,2.270996,1,4,42
2.4316406,-0.20214844,2.583496,1,4,43
2.6269531,-0.075683594,2.6054688,1,4,44
2.652832,0.13574219,2.6323242,1,4,45
2.635254,0.29882812,2.5732422,1,4,46
2.5825195,0.34277344,2.4453125,1,4,47
2.546875,0.15966797,2.3432617,1,4,48
2.5283203,0.07763672,2.3208008,1,4,49
2.4169922,0.019042969,2.3691406,1,4,50
2.2646484,-0.072265625,2.3964844,1,4,51
2.177246,-0.099121094,2.4267578,1,4,52
2.149414,-0.09082031,2.3569336,1,4,53
2.128418,-0.028808594,2.2827148,1,4,54
2.1230469,-0.049316406,2.2797852,1,4,55
2.192871,-0.00048828125,2.3032227,1,4,56
2.270996,-0.055664062,2.3271484,1,4,57
2.1835938,0.018066406,2.2792969,1,4,58
2.041504,0.076660156,2.1069336,1,4,59
1.8701172,0.15039062,1.9946289,1,4,60
1.7285156,0.1850586,1.9033203,1,4,61
1.6538086,0.20117188,1.8510742,1,4,62
1.597168,0.22949219,1.8579102,1,4,63
1.5576172,0.26708984,1.8056641,1,4,64
1.515625,0.24609375,1.7529297,1,4,65
1.4350586,0.32421875,1.84375,1,4,66
1.4257812,0.16552734,1.7524414,1,4,67
1.3662109,0.040527344,1.6611328,1,4,68
1.3544922,0.041503906,1.7055664,1,4,69
1.4033203,-0.011230469,1.652832,1,4,70
1.4506836,-0.14208984,1.5673828,1,4,71
1.4130859,-0.030273438,1.7231445,1,4,72
1.4692383,-0.060546875,1.6796875,1,4,73
1.5014648,-0.0703125,1.6459961,1,4,74
1.4672852,-0.087402344,1.6064453,1,4,75
1.4746094,-0.15283203,1.4399414,1,4,76
1.4609375,-0.080078125,1.5395508,1,4,77
1.4912109,-0.109375,1.4765625,1,4,78
1.4521484,-0.013183594,1.5400391,1,4,79
1.4165039,0.028320312,1.4848633,1,4,80
1.3789062,0.08300781,1.4545898,1,4,81
1.2949219,0.1328125,1.4135742,1,4,82
1.3134766,0.17871094,1.3569336,1,4,83
1.3881836,0.26708984,1.3745117,1,4,84
1.5112305,0.40722656,1.4453125,1,4,85
1.7236328,0.4790039,1.5273438,1,4,86
1.9301758,0.4404297,1.6005859,1,4,87
2.099121,0.33935547,1.6894531,1,4,88
2.25,0.09082031,1.4667969,1,4,89
2.3530273,0.1328125,1.7041016,1,4,90
2.5966797,-0.028808594,1.4350586,1,4,91
2.5307617,-0.22998047,1.4453125,1,4,92
2.519043,-0.37890625,1.4267578,1,4,93
2.4023438,-0.43896484,1.6274414,1,4,94
2.3457031,-0.31396484,1.9179688,1,4,95
2.2167969,-0.28271484,2.3320312,1,4,96
2.302246,-0.26123047,2.708496,1,4,97
2.505371,-0.2446289,2.9858398,1,4,98
2.6679688,-0.5932617,2.9179688,1,4,99
2.5800781,-0.6723633,2.5927734,1,4,100
2.3564453,-0.4951172,2.2548828,1,4,101
2.4389648,-0.17041016,2.114746,1,4,102
2.4643555,0.23242188,2.0205078,1,4,103
